target,event_family,sample_split,n_total_occurrences,n_clean_single_family,n_defined_weights,median,mean,Q25,Q75,IQR,fraction_above_1,fraction_below_1
I,BoJ,test,37,27,36,0.5418347696695014,0.6856605593660224,0.4067356533489833,0.9425317600131529,0.5357961066641695,0.2222222222222222,0.7777777777777778
I,BoJ,train,146,107,115,0.8147780506929139,1.0066705103899494,0.608696623751916,1.1878506987397461,0.5791540749878301,0.3391304347826087,0.6608695652173913
I,BoJ,validation,38,31,37,0.8930618923296136,1.1369617599005615,0.6841113524525008,1.3408149144081511,0.6567035619556504,0.4594594594594595,0.5405405405405406
I,FOMC,test,37,34,34,1.042321785742432,1.3120748438615961,0.8225831328748612,1.3706635662882407,0.5480804334133795,0.5588235294117647,0.4411764705882353
I,FOMC,train,114,97,78,1.0469362522194208,1.3304702014387821,0.8445876778674902,1.5571503664704056,0.7125626886029154,0.5897435897435898,0.41025641025641024
I,FOMC,validation,38,32,36,1.525252788973348,1.6562601771132068,1.0780904234835909,1.993601755505892,0.9155113320223012,0.8611111111111112,0.1388888888888889
I,JPY GDP,test,38,36,31,0.7346174380644739,1.296801872436812,0.5280635972115151,1.22007718535987,0.6920135881483549,0.3870967741935484,0.6129032258064516
I,JPY GDP,train,99,90,61,0.901372845271576,1.0131944324875057,0.6196294063451888,1.0916824705033568,0.47205306415816795,0.4098360655737705,0.5901639344262295
I,JPY GDP,validation,37,31,33,1.1981974959395156,1.4060176785257774,0.8651446681295601,1.3912879429391607,0.5261432748096005,0.5151515151515151,0.48484848484848486
I,JPY National CPI,test,56,48,52,0.7325360405135308,1.4637930959188616,0.5486395332777858,1.2086988316878526,0.6600592984100668,0.34615384615384615,0.6538461538461539
I,JPY National CPI,train,165,153,111,0.9544101272429276,1.0578725864901086,0.7246395171937136,1.305453854129941,0.5808143369362274,0.45045045045045046,0.5495495495495496
I,JPY National CPI,validation,56,52,52,0.9971932611872238,1.2268299782257743,0.7287383843627555,1.3526015609020274,0.6238631765392719,0.5,0.5
I,US CPI,test,54,51,47,0.7152469510349373,0.8837794621636136,0.599361318292765,1.0290466308076682,0.4296853125149033,0.2553191489361702,0.7446808510638298
I,US CPI,train,167,145,98,0.8486950391889843,1.0857227001802607,0.6428717205330907,1.2839581201688253,0.6410863996357345,0.37755102040816324,0.6224489795918368
I,US CPI,validation,56,48,46,0.9545134363337846,1.2357515028023027,0.7796829146400426,1.3708207575651314,0.5911378429250889,0.45652173913043476,0.5434782608695652
I,US Employment,test,54,52,48,0.8631619835044169,1.8649016190120964,0.7195201171411649,1.0424976995129156,0.32297758237175067,0.2708333333333333,0.7291666666666666
I,US Employment,train,166,158,98,0.7595051482164623,1.0019616427817362,0.5631424338247146,1.0253662498285163,0.4622238160038017,0.2653061224489796,0.7346938775510204
I,US Employment,validation,56,53,50,0.888439477455297,1.0893597839368443,0.6827408689684032,1.3292301828719506,0.6464893139035474,0.48,0.52
