event_family,sample_split,scheduled_count,clean_mapped_R_count,clean_mapped_I_count,proportion_all_primary_events,floor_activated_R_count,floor_activated_I_count,overlap_count
FOMC,train,114,114,114,0.13302217036172695,0,1,0
FOMC,validation,38,38,38,0.13523131672597866,0,14,0
FOMC,test,37,37,37,0.13405797101449277,0,1,0
US Employment,train,166,166,166,0.19369894982497082,0,10,0
US Employment,validation,56,56,56,0.199288256227758,0,16,0
US Employment,test,54,54,54,0.1956521739130435,0,4,0
US CPI,train,167,167,167,0.19486581096849476,0,5,0
US CPI,validation,56,56,56,0.199288256227758,0,13,0
US CPI,test,54,54,54,0.1956521739130435,0,1,0
BoJ,train,146,146,146,0.17036172695449242,0,3,0
BoJ,validation,38,38,38,0.13523131672597866,0,11,0
BoJ,test,37,37,37,0.13405797101449277,0,3,0
JPY National CPI,train,165,165,165,0.19253208868144692,0,3,0
JPY National CPI,validation,56,56,56,0.199288256227758,0,17,0
JPY National CPI,test,56,56,56,0.2028985507246377,0,1,0
JPY GDP,train,99,99,99,0.11551925320886815,0,1,0
JPY GDP,validation,37,37,37,0.13167259786476868,0,5,0
JPY GDP,test,38,38,38,0.13768115942028986,0,2,0
