scope,sample_split,family,total_economic_occurrences,unique_realised_model_days,n_complete_24h,n_primary_rv_available,retention_fraction
EVENT_FAMILY,train,BoJ,146,146,134,134,0.9178082191780822
EVENT_FAMILY,train,FOMC,114,114,106,106,0.9298245614035088
EVENT_FAMILY,train,JPY GDP,99,99,91,91,0.9191919191919192
EVENT_FAMILY,train,JPY National CPI,165,165,154,154,0.9333333333333333
EVENT_FAMILY,train,US CPI,167,167,158,158,0.9461077844311377
EVENT_FAMILY,train,US Employment,166,166,153,153,0.9216867469879518
EVENT_FAMILY,validation,BoJ,38,38,38,38,1.0
EVENT_FAMILY,validation,FOMC,38,38,38,38,1.0
EVENT_FAMILY,validation,JPY GDP,37,37,37,37,1.0
EVENT_FAMILY,validation,JPY National CPI,56,56,56,56,1.0
EVENT_FAMILY,validation,US CPI,56,56,56,56,1.0
EVENT_FAMILY,validation,US Employment,56,56,56,56,1.0
EVENT_FAMILY,test,BoJ,37,37,37,37,1.0
EVENT_FAMILY,test,FOMC,37,37,37,37,1.0
EVENT_FAMILY,test,JPY GDP,38,38,38,38,1.0
EVENT_FAMILY,test,JPY National CPI,56,56,56,56,1.0
EVENT_FAMILY,test,US CPI,54,54,54,54,1.0
EVENT_FAMILY,test,US Employment,54,54,54,54,1.0
EVENT_FAMILY,ALL,BoJ,221,221,209,209,0.9457013574660633
EVENT_FAMILY,ALL,FOMC,189,189,181,181,0.9576719576719577
EVENT_FAMILY,ALL,JPY GDP,174,174,166,166,0.9540229885057471
EVENT_FAMILY,ALL,JPY National CPI,277,277,266,266,0.9602888086642599
EVENT_FAMILY,ALL,US CPI,277,277,268,268,0.9675090252707581
EVENT_FAMILY,ALL,US Employment,276,276,263,263,0.9528985507246377
ORDINARY_DAY_CONTEXT,train,ORDINARY_DAYS,2823,2823,2629,2627,0.9305703152674459
ORDINARY_DAY_CONTEXT,validation,ORDINARY_DAYS,945,945,931,931,0.9851851851851852
ORDINARY_DAY_CONTEXT,test,ORDINARY_DAYS,947,947,933,933,0.9852164730728616
ORDINARY_DAY_CONTEXT,ALL,ORDINARY_DAYS,4715,4715,4493,4491,0.9524920466595971
