family,scope,paired_n,old_offset,corrected_offset,historical_same_day_median,corrected_median,absolute_change,ratio_corrected_to_old,timing_status
BoJ,PRE_TEST,87,0,-1,0.9630861428163129,1.3419135269120046,0.3788273840956917,1.3933473520737225,SUPPORTED_D_MINUS_1
FOMC,PRE_TEST,91,0,0,1.4602591852809295,1.4602591852809295,0.0,1.0,SUPPORTED_D
JPY GDP,PRE_TEST,83,0,0,1.0582196905200265,1.0582196905200265,0.0,1.0,TIMING_UNRESOLVED_DEFAULT_D
JPY National CPI,PRE_TEST,165,0,0,1.1960142137268641,1.1960142137268641,0.0,1.0,TIMING_UNRESOLVED_DEFAULT_D
US CPI,PRE_TEST,125,0,0,1.0565752811396993,1.0565752811396993,0.0,1.0,TIMING_UNRESOLVED_DEFAULT_D
US Employment,PRE_TEST,137,0,-1,0.8559189186736971,1.9033415473740283,1.0474226287003312,2.22374048037562,SUPPORTED_D_MINUS_1
BoJ,TEST_POST_HOC,20,0,-1,0.44914989890297313,4.463584067785851,4.014434168882878,9.93784943220056,SUPPORTED_D_MINUS_1
FOMC,TEST_POST_HOC,29,0,0,1.0518240772615195,1.0518240772615195,0.0,1.0,SUPPORTED_D
JPY GDP,TEST_POST_HOC,30,0,0,0.9429795991465588,0.9429795991465588,0.0,1.0,TIMING_UNRESOLVED_DEFAULT_D
JPY National CPI,TEST_POST_HOC,51,0,0,0.8037208230628486,0.8037208230628486,0.0,1.0,TIMING_UNRESOLVED_DEFAULT_D
US CPI,TEST_POST_HOC,44,0,0,0.716826962216126,0.716826962216126,0.0,1.0,TIMING_UNRESOLVED_DEFAULT_D
US Employment,TEST_POST_HOC,46,0,-1,0.8974771194454177,1.94289651678445,1.0454193973390322,2.164842395074131,SUPPORTED_D_MINUS_1
