predictor,coefficient,std_error,ci_lower,ci_upper,target,model,calibration_stage,calibration_N,coefficient_block,lag
const,0.00340077496558409,0.00040054512054144096,0.002615310821585768,0.004186239109582412,R,R_EVENTLESS_PRIMARY,TRAIN,2321,intercept,
R_lag1,0.12010197796501376,0.01978794906498998,0.08129804882763039,0.15890590710239713,R,R_EVENTLESS_PRIMARY,TRAIN,2321,R,1.0
I_lag1,0.35428184169645566,0.01638594581025818,0.32214919985560786,0.38641448353730345,R,R_EVENTLESS_PRIMARY,TRAIN,2321,I,1.0
const,-0.0012996713556149959,0.0005013840821226066,-0.0022830792610101683,-0.00031626345021982345,I,I_EVENTLESS_PRIMARY,TRAIN,1706,intercept,
Q_lag1,-7.575238777701804,4.3840168015137655,-16.173989583156438,1.0235120277528296,I,I_EVENTLESS_PRIMARY,TRAIN,1706,Q,1.0
Q_lag2,17.077345142077096,4.58713699968695,8.080197148216913,26.07449313593728,I,I_EVENTLESS_PRIMARY,TRAIN,1706,Q,2.0
Q_lag3,-9.230856900376592,4.397353402230494,-17.85576593271471,-0.6059478680384753,I,I_EVENTLESS_PRIMARY,TRAIN,1706,Q,3.0
Q_lag4,22.74838329169614,4.391567753235276,14.134822152445597,31.361944430946682,I,I_EVENTLESS_PRIMARY,TRAIN,1706,Q,4.0
Q_lag5,-0.6888399469771647,5.587428450496102,-11.647945959648917,10.270266065694587,I,I_EVENTLESS_PRIMARY,TRAIN,1706,Q,5.0
Q_lag6,-5.528811398763234,4.742852544116844,-14.831377739247003,3.7737549417205356,I,I_EVENTLESS_PRIMARY,TRAIN,1706,Q,6.0
Q_lag7,1.4059523185021134,4.777200273565286,-7.963983190402348,10.775887827406574,I,I_EVENTLESS_PRIMARY,TRAIN,1706,Q,7.0
Q_lag8,7.073045749682456,4.7254251300666175,-2.1953386983985217,16.341430197763433,I,I_EVENTLESS_PRIMARY,TRAIN,1706,Q,8.0
Q_lag9,-14.785000830255896,4.803822549928967,-24.207152909189514,-5.362848751322279,I,I_EVENTLESS_PRIMARY,TRAIN,1706,Q,9.0
Q_lag10,-12.857441647706246,5.274986052516395,-23.20372739920598,-2.511155896206512,I,I_EVENTLESS_PRIMARY,TRAIN,1706,Q,10.0
Q_lag11,-12.300431774092262,5.068184054362337,-22.241098904882598,-2.359764643301924,I,I_EVENTLESS_PRIMARY,TRAIN,1706,Q,11.0
Q_lag12,-7.407012035127901,4.862023846927598,-16.943319344778857,2.129295274523053,I,I_EVENTLESS_PRIMARY,TRAIN,1706,Q,12.0
