model_day,target_model_day,sample_split,forecast_stage,target,actual,raw_background_forecast,is_target_event_day,n_target_occurrences,n_target_families,family_set,is_clean_single_family,is_overlap,background_positive,equation_eligible,is_out_of_sample
2003-05-07,2003-05-07,train,train_in_sample_background,R,0.0086350563608536,0.007789700209210701,False,0,0,,False,False,True,True,False
2003-05-08,2003-05-08,train,train_in_sample_background,R,0.0076635339763512,0.011302340051803732,False,0,0,,False,False,True,True,False
2003-05-09,2003-05-09,train,train_in_sample_background,R,0.0034938146683127,0.012111917358009193,False,0,0,,False,False,True,True,False
2003-05-13,2003-05-13,train,train_in_sample_background,R,0.0206023201772064,0.009400007058352033,False,0,0,,False,False,True,True,False
2003-05-14,2003-05-14,train,train_in_sample_background,R,0.0077285594614554,0.012707449979447873,False,0,0,,False,False,True,True,False
2003-05-15,2003-05-15,train,train_in_sample_background,R,0.0097742746383768,0.010097058342547687,False,0,0,,False,False,True,True,False
2003-05-16,2003-05-16,train,train_in_sample_background,R,0.0055367596594757,0.010439640308594521,True,1,1,US CPI,True,False,True,True,False
2003-05-20,2003-05-20,train,train_in_sample_background,R,0.004090774829454,0.01770946879683089,False,0,0,,False,False,True,True,False
2003-05-22,2003-05-22,train,train_in_sample_background,R,0.0046337386369741,0.009611151457925293,False,0,0,,False,False,True,True,False
2003-05-23,2003-05-23,train,train_in_sample_background,R,0.0024574269730588,0.00692936788037133,False,0,0,,False,False,True,True,False
2003-06-04,2003-06-04,train,train_in_sample_background,R,0.0056102957429118,0.009186169892987688,False,0,0,,False,False,True,True,False
2003-06-06,2003-06-06,train,train_in_sample_background,R,0.014857618943864,0.008867147630263021,True,1,1,US Employment,True,False,True,True,False
2003-06-11,2003-06-11,train,train_in_sample_background,R,0.0037682735523725,0.008296990654204143,False,0,0,,False,False,True,True,False
2003-06-13,2003-06-13,train,train_in_sample_background,R,0.003084367853957,0.007330134659743567,False,0,0,,False,False,True,True,False
2003-06-18,2003-06-18,train,train_in_sample_background,R,0.0065112288316102,0.008652357778237484,False,0,0,,False,False,True,True,False
2003-06-19,2003-06-19,train,train_in_sample_background,R,0.0077708776670175,0.007708458465168235,False,0,0,,False,False,True,True,False
2003-06-20,2003-06-20,train,train_in_sample_background,R,0.0059146345515559,0.008716362195977614,False,0,0,,False,False,True,True,False
2003-06-24,2003-06-24,train,train_in_sample_background,R,0.0030028579042343,0.007478147454665678,False,0,0,,False,False,True,True,False
