family,target,admissible_median,raw_median,median_difference_adm_minus_raw,median_changed
BoJ,I,0.5418347696695014,0.5418347696695014,0.0,False
BoJ,R,0.8409949149068398,0.8409949149068398,0.0,False
FOMC,I,1.0630433877996452,1.0630433877996452,0.0,False
FOMC,R,1.096284123877112,1.096284123877112,0.0,False
JPY GDP,I,0.736640092420281,0.7346174380644739,0.002022654355807063,True
JPY GDP,R,0.7388691060764789,0.7388691060764789,0.0,False
JPY National CPI,I,0.7465419875147755,0.7465419875147755,0.0,False
JPY National CPI,R,0.8741712343585759,0.8741712343585759,0.0,False
US CPI,I,0.7152469510349373,0.7121913266658051,0.003055624369132204,True
US CPI,R,0.9727219061565167,0.9727219061565167,0.0,False
US Employment,I,0.8899343478873621,0.8815979207145708,0.008336427172791372,True
US Employment,R,1.0434254747544935,1.0434254747544935,0.0,False
