sample_split,target,group_type,group_value,forecast_floor,n_eligible_forecasts,n_raw_negative,n_raw_zero,n_raw_positive_below_floor,n_floor_activated,floor_activation_rate,minimum_raw_forecast,median_raw_forecast,n_forecasts,n_positive,n_zero,n_negative
test,I,STATUS,ALL_ELIGIBLE,0.0015767239436135,1071,38,0,14,52,0.04855275443510738,-0.038186298133092336,0.009178960323992787,1071,1033,0,38
test,I,STATUS,TARGETED_EVENT,0.0015767239436135,237,3,0,4,7,0.029535864978902954,-0.005726444613713783,0.011655385163989266,237,234,0,3
test,I,STATUS,CLEAN_PRIMARY_EVENT,0.0015767239436135,223,3,0,4,7,0.03139013452914798,-0.005726444613713783,0.011282782405134206,223,220,0,3
test,R,STATUS,ALL_ELIGIBLE,0.0003202993332501,1182,0,0,0,0,0.0,0.003242869511377079,0.006815750226143896,1182,1182,0,0
test,R,STATUS,TARGETED_EVENT,0.0003202993332501,260,0,0,0,0,0.0,0.0034441276676002164,0.008237003516468649,260,260,0,0
test,R,STATUS,CLEAN_PRIMARY_EVENT,0.0003202993332501,246,0,0,0,0,0.0,0.0034441276676002164,0.008166094637908837,246,246,0,0
train,I,STATUS,ALL_ELIGIBLE,0.0015767239436135,2226,23,0,24,47,0.021114106019766397,-0.04688984812212591,0.011816817172511176,2226,2203,0,23
train,I,STATUS,TARGETED_EVENT,0.0015767239436135,522,6,0,1,7,0.013409961685823755,-0.04688984812212591,0.012746019852611954,522,516,0,6
train,I,STATUS,CLEAN_PRIMARY_EVENT,0.0015767239436135,478,6,0,1,7,0.014644351464435146,-0.04688984812212591,0.012229909101567618,478,472,0,6
train,R,STATUS,ALL_ELIGIBLE,0.0003202993332501,3005,0,0,0,0,0.0,0.003984914959179226,0.008403060358227153,3005,3005,0,0
train,R,STATUS,TARGETED_EVENT,0.0003202993332501,684,0,0,0,0,0.0,0.004088345548113789,0.008865076610494575,684,684,0,0
train,R,STATUS,CLEAN_PRIMARY_EVENT,0.0003202993332501,634,0,0,0,0,0.0,0.004088345548113789,0.008820080951708728,634,634,0,0
validation,I,STATUS,ALL_ELIGIBLE,0.0015767239436135,1087,16,0,101,117,0.10763569457221711,-0.008956953534072415,0.0035462887820649804,1087,1071,0,16
validation,I,STATUS,TARGETED_EVENT,0.0015767239436135,244,5,0,20,25,0.10245901639344263,-0.002850501597056855,0.0036352756868860154,244,239,0,5
validation,I,STATUS,CLEAN_PRIMARY_EVENT,0.0015767239436135,229,5,0,19,24,0.10480349344978165,-0.002850501597056855,0.0036385924649490406,229,224,0,5
validation,R,STATUS,ALL_ELIGIBLE,0.0003202993332501,1181,0,0,0,0,0.0,0.003757307539600929,0.005126685616625271,1181,1181,0,0
validation,R,STATUS,TARGETED_EVENT,0.0003202993332501,262,0,0,0,0,0.0,0.003873633489761397,0.0053151689496583575,262,262,0,0
validation,R,STATUS,CLEAN_PRIMARY_EVENT,0.0003202993332501,245,0,0,0,0,0.0,0.003873633489761397,0.0053074680781271845,245,245,0,0
