N,MAE,RMSE,mean_error,positive_fraction,positive_only_QLIKE,QLIKE_valid_N,sample_split,target,day_status,forecast_stage
1181,0.0031569555940518415,0.006500427773463491,-0.0013260876521168257,1.0,0.3112935807338127,1181,validation,R,ALL,validation_oos_background
919,0.0029923241535429143,0.005880630558304056,-0.0015266646434091116,1.0,0.30818372799299626,919,validation,R,ORDINARY,validation_oos_background
262,0.00373442236438659,0.008316985548225546,-0.0006225370605228922,1.0,0.3222018046605694,262,validation,R,TARGETED_EVENT_DAY,validation_oos_background
1087,0.002389119609802029,0.005831910976695842,0.0003614043357909457,0.985280588776449,0.6258167154209033,1071,validation,I,ALL,validation_oos_background
843,0.0023429640102368026,0.005216914846539575,0.00023653235277552078,0.9869513641755635,0.7502629195336709,832,validation,I,ORDINARY,validation_oos_background
244,0.002548583423054021,0.007582038134811801,0.000792826801700795,0.9795081967213115,0.1925981303923574,239,validation,I,TARGETED_EVENT_DAY,validation_oos_background
1182,0.005486772791735591,0.015127757161886461,0.0014674595377176846,1.0,0.3313052389398167,1182,test,R,ALL,test_oos_background
922,0.004263451637270254,0.009233935131907605,0.00030009472777730467,1.0,0.2693342782539163,922,test,R,ORDINARY,test_oos_background
260,0.009824857808724214,0.02716648932208651,0.005607114748352416,1.0,0.5510637995259714,260,test,R,TARGETED_EVENT_DAY,test_oos_background
1071,0.006917273585153227,0.014424761699800488,0.0005020818055342313,0.9645191409897292,0.38770387179673516,1033,test,I,ALL,test_oos_background
834,0.006743011921293292,0.014145651638072129,0.0013913893707688083,0.9580335731414868,0.36673789448833977,799,test,I,ORDINARY,test_oos_background
237,0.00753049817443249,0.015366690439668982,-0.002627380259468457,0.9873417721518988,0.45929282850360653,234,test,I,TARGETED_EVENT_DAY,test_oos_background
