family,target,sample,n_occurrences,n_equation_eligible,n_canonical_weights_defined,median_event_weight,mean_event_weight,std_event_weight,variance_event_weight,q05_event_weight,q25_event_weight,q75_event_weight,iqr_event_weight,q95_event_weight,minimum_event_weight,maximum_event_weight,fraction_omega_gt_1,fraction_omega_lt_1,n_floor_activated,floor_activation_fraction
BoJ,I,PRIMARY_CLEAN_TEST,27,26,26,0.5418347696695014,0.6769317908112316,0.37079016358206635,0.13748534540921553,0.2125411266789229,0.4130149867609513,0.9497199387058415,0.5367049519448902,1.3344064084386518,0.18896343532616622,1.4199362396508506,0.23076923076923078,0.7692307692307693,0,0.0
BoJ,R,PRIMARY_CLEAN_TEST,27,27,27,0.8409949149068398,1.609327881597736,2.6959257978629236,7.268015907582842,0.42002718560976354,0.6235368432346287,1.2107194088274418,0.5871825655928131,7.573560076725599,0.08547841809075762,11.621736667855018,0.4074074074074074,0.5925925925925926,0,0.0
FOMC,I,PRIMARY_CLEAN_TEST,34,31,31,1.0630433877996452,1.3550350757226872,0.9266627988958944,0.8587039428575729,0.41424514020782033,0.828400800453852,1.4294873526639185,0.6010865522100665,3.1421051049069724,0.1673584958218134,4.287932686477881,0.5806451612903226,0.41935483870967744,0,0.0
FOMC,R,PRIMARY_CLEAN_TEST,34,33,33,1.096284123877112,1.7593544513999357,2.134790487261559,4.557330424502443,0.3245206869822289,0.5391779091265607,1.9913297107921062,1.4521518016655455,5.158783891795996,0.2583978663057983,11.064625568423844,0.5151515151515151,0.48484848484848486,0,0.0
JPY GDP,I,PRIMARY_CLEAN_TEST,36,30,30,0.736640092420281,1.3768340179014187,1.7499419986847475,3.062296998760769,0.4129728320948802,0.5485257776323043,1.321989785793786,0.7734640081614816,3.762416316518496,0.34048976855965735,9.418261171336747,0.43333333333333335,0.5666666666666667,2,0.06666666666666667
JPY GDP,R,PRIMARY_CLEAN_TEST,36,36,36,0.7388691060764789,0.8437015377934253,0.5966100175580464,0.3559435130506125,0.19123734745899332,0.46044981702667864,1.0590430384257359,0.5985932213990572,1.9529649563179947,0.18882614437472028,3.149158072755945,0.2777777777777778,0.7222222222222222,0,0.0
JPY National CPI,I,PRIMARY_CLEAN_TEST,48,44,44,0.7465419875147755,1.234417438006914,1.6659220385426239,2.7752962385020115,0.3826027291288187,0.5665259879382396,1.2086988316878526,0.642172843749613,3.0288824841871405,0.25741002901045135,9.83856231978041,0.36363636363636365,0.6363636363636364,1,0.022727272727272728
JPY National CPI,R,PRIMARY_CLEAN_TEST,48,47,47,0.8741712343585759,1.662732209657106,4.001015383680978,16.008124100451848,0.09234036927113805,0.45971926597164564,1.2765557069196933,0.8168364409480477,3.115553341861036,0.02433485467577677,27.252296098005775,0.44680851063829785,0.5531914893617021,0,0.0
US CPI,I,PRIMARY_CLEAN_TEST,51,45,45,0.7152469510349373,0.9095786915061882,0.541370475433758,0.2930819916713733,0.4436586005957403,0.6016324485971112,1.0645975241873948,0.46296507559028366,2.2211878744626246,0.10308896734518247,2.7358736107937554,0.26666666666666666,0.7333333333333333,1,0.022222222222222223
US CPI,R,PRIMARY_CLEAN_TEST,51,51,51,0.9727219061565167,1.4803464903263903,2.1076662749161432,4.442257126418891,0.257048465056703,0.5379858317113011,1.4033591338977227,0.8653733021864216,4.144598178113468,0.06509394347090286,13.655224479340019,0.49019607843137253,0.5098039215686274,0,0.0
US Employment,I,PRIMARY_CLEAN_TEST,52,47,47,0.8899343478873621,1.2465515130639586,1.422684112164633,2.02403008300567,0.5879113608008673,0.7208251619454282,1.1326414521435049,0.41181629019807664,3.540918516674496,0.1882097429425264,9.28453954256223,0.2978723404255319,0.7021276595744681,3,0.06382978723404255
US Employment,R,PRIMARY_CLEAN_TEST,52,52,52,1.0434254747544935,1.3898332032417402,1.1282666620645831,1.2729856607263563,0.23170010369809416,0.6771069037656805,1.726972094964872,1.0498651911991914,3.9125275694440296,0.09747840452322667,5.205058092377705,0.5384615384615384,0.46153846153846156,0,0.0
