family,target,n_clean_primary,median_primary,n_clean_month_end_excluded,median_month_end_excluded,median_difference,relative_change_percent
BoJ,I,24,4.365181509825091,24,4.408814601164421,0.04363309133932969,0.9995710657419554
BoJ,R,27,0.8409949149068398,27,0.8615039055074193,0.020508990600579535,2.4386580985274353
FOMC,I,30,1.0335271761305853,30,1.0110534718284585,-0.022473704302126807,-2.174466702101241
FOMC,R,33,1.096284123877112,33,1.119708530566366,0.023424406689254162,2.136709469659337
JPY GDP,I,30,0.9990157909210933,30,0.9836000266222709,-0.01541576429882241,-1.5430951581465013
JPY GDP,R,36,0.7388691060764789,36,0.7540415762348844,0.015172470158405504,2.0534719930264567
JPY National CPI,I,45,0.9734307929472263,45,0.9807268017584679,0.007296008811241594,0.7495148976283783
JPY National CPI,R,47,0.8741712343585759,47,0.893988591649344,0.019817357290768056,2.26698803527996
US CPI,I,45,1.9988641039619688,45,2.031162536105739,0.03229843214377026,1.6158393199293242
US CPI,R,51,0.9727219061565167,51,1.0010460781429165,0.028324171986399804,2.9118468297189004
US Employment,I,46,1.9098730046009522,46,1.9293547700670577,0.019481765466105472,1.0200555439640935
US Employment,R,52,1.0434254747544935,52,1.0622726198252677,0.01884714507077412,1.8062761094853164
