model_day,sample_split,forecast_stage,is_implied_target_event_day,family_set,I,raw_background_forecast,forecast_floor,admissible_background_forecast,floor_activated
2006-08-21,train,train_in_sample_background,False,,0.0079678937072165,-0.001029793401405306,0.0015767239436135,0.0015767239436135,True
2007-03-13,train,train_in_sample_background,False,,0.0243279105390273,-0.002688851303994296,0.0015767239436135,0.0015767239436135,True
2011-03-22,train,train_in_sample_background,False,,0.0112317274796103,-0.0027459762925778736,0.0015767239436135,0.0015767239436135,True
2011-03-23,train,train_in_sample_background,False,,0.0104198498166591,-0.013607881266885906,0.0015767239436135,0.0015767239436135,True
2011-08-17,train,train_in_sample_background,False,,0.0121690632670923,-0.004543916223908564,0.0015767239436135,0.0015767239436135,True
2011-08-18,train,train_in_sample_background,True,US CPI,0.0122485282118828,-0.004961769580290088,0.0015767239436135,0.0015767239436135,True
2011-11-03,train,train_in_sample_background,False,,0.012859334722,-0.015446286291698615,0.0015767239436135,0.0015767239436135,True
2012-05-14,train,train_in_sample_background,False,,0.0063042217964279,-0.0007377695100100057,0.0015767239436135,0.0015767239436135,True
2012-11-28,train,train_in_sample_background,False,,0.0065780770235952,-0.00018607920912801007,0.0015767239436135,0.0015767239436135,True
2014-04-21,train,train_in_sample_background,False,,0.0058219148220223,-0.00021853440269715366,0.0015767239436135,0.0015767239436135,True
2015-06-22,train,train_in_sample_background,False,,0.0057127622211147,-0.001332769413327231,0.0015767239436135,0.0015767239436135,True
2015-08-31,train,train_in_sample_background,False,,0.0153036710741157,-0.002037037765317196,0.0015767239436135,0.0015767239436135,True
2015-09-04,train,train_in_sample_background,True,US Employment,0.0290823300312946,-0.004008684073732014,0.0015767239436135,0.0015767239436135,True
2015-10-22,train,train_in_sample_background,False,,0.0053625727535564,-0.0022018570614881546,0.0015767239436135,0.0015767239436135,True
2015-12-23,train,train_in_sample_background,False,,0.0047795678880092,-4.640379035814588e-05,0.0015767239436135,0.0015767239436135,True
2016-05-06,train,train_in_sample_background,True,US Employment,0.0109941113777247,-0.008021437498924075,0.0015767239436135,0.0015767239436135,True
2016-05-13,train,train_in_sample_background,False,,0.0104014666681643,-0.03445714138481615,0.0015767239436135,0.0015767239436135,True
2016-07-01,train,train_in_sample_background,True,JPY National CPI,0.0071842489601286,-0.007049537105948481,0.0015767239436135,0.0015767239436135,True
2016-07-08,train,train_in_sample_background,True,US Employment,0.0201308281407915,-0.0077671596751463364,0.0015767239436135,0.0015767239436135,True
2016-07-11,train,train_in_sample_background,False,,0.0207299728903166,-0.005565577326771126,0.0015767239436135,0.0015767239436135,True
2016-07-25,train,train_in_sample_background,False,,0.0103837131284338,-0.0027157375061552984,0.0015767239436135,0.0015767239436135,True
2016-08-15,train,train_in_sample_background,True,JPY GDP,0.009762003087735,-0.04688984812212591,0.0015767239436135,0.0015767239436135,True
2016-10-06,train,train_in_sample_background,False,,0.0141514624558403,-0.01420975538918235,0.0015767239436135,0.0015767239436135,True
2017-05-09,validation,validation_oos_background,False,,0.00919088891177,-0.005584891395317659,0.0015767239436135,0.0015767239436135,True
2017-05-31,validation,validation_oos_background,False,,0.0060979566089543,-0.006690525408858331,0.0015767239436135,0.0015767239436135,True
2018-08-15,validation,validation_oos_background,False,,0.0072728915545516,-0.0010680788188830942,0.0015767239436135,0.0015767239436135,True
2018-11-22,validation,validation_oos_background,True,JPY National CPI,0.00197912009538,-0.0009403246417274951,0.0015767239436135,0.0015767239436135,True
2019-01-18,validation,validation_oos_background,True,JPY National CPI,0.0027466267358285,-0.0014519386774144538,0.0015767239436135,0.0015767239436135,True
2019-06-14,validation,validation_oos_background,False,,0.0021350242146917,-0.0022280879931489235,0.0015767239436135,0.0015767239436135,True
2019-07-16,validation,validation_oos_background,False,,0.0022662987658892,-0.0006914911215259697,0.0015767239436135,0.0015767239436135,True
2020-08-14,validation,validation_oos_background,False,,0.0047837154115608,-0.001507321797502986,0.0015767239436135,0.0015767239436135,True
2020-09-11,validation,validation_oos_background,True,US CPI,0.0026188943367644,-0.002850501597056855,0.0015767239436135,0.0015767239436135,True
2020-11-19,validation,validation_oos_background,False,,0.0028336576040561,-0.007475771816264446,0.0015767239436135,0.0015767239436135,True
2020-11-20,validation,validation_oos_background,True,JPY National CPI,0.0025561686050811,-0.0016011090150148304,0.0015767239436135,0.0015767239436135,True
2020-11-23,validation,validation_oos_background,False,,0.0041418118719641,-0.008956953534072415,0.0015767239436135,0.0015767239436135,True
2021-01-21,validation,validation_oos_background,True,BoJ,0.0017458335017457,-0.00019135208226756743,0.0015767239436135,0.0015767239436135,True
2021-07-22,validation,validation_oos_background,False,,0.0020673972406378,-7.264981337951537e-06,0.0015767239436135,0.0015767239436135,True
2021-08-27,validation,validation_oos_background,False,,0.0014009522839521,-0.0005042807152690988,0.0015767239436135,0.0015767239436135,True
2021-10-25,validation,validation_oos_background,False,,0.0036561678215134,-0.0007433127027042595,0.0015767239436135,0.0015767239436135,True
2021-12-09,test,test_oos_background,False,,0.005802417642401,-0.00017305316027784118,0.0015767239436135,0.0015767239436135,True
2021-12-10,test,test_oos_background,True,US CPI,0.0041024693727928,-0.0021445607738524793,0.0015767239436135,0.0015767239436135,True
2022-07-04,test,test_oos_background,False,,0.0094945303630271,-0.016943295328031356,0.0015767239436135,0.0015767239436135,True
2022-09-28,test,test_oos_background,False,,0.0124936604264197,-0.006563324298596797,0.0015767239436135,0.0015767239436135,True
2022-10-07,test,test_oos_background,True,US Employment,0.0065414447119177,-0.005150104459582253,0.0015767239436135,0.0015767239436135,True
2022-11-03,test,test_oos_background,False,,0.0160864646657608,-0.005496462842794587,0.0015767239436135,0.0015767239436135,True
2022-11-24,test,test_oos_background,False,,0.016926934423682,-0.027977076756676513,0.0015767239436135,0.0015767239436135,True
2022-11-25,test,test_oos_background,False,,0.0198232569846169,-0.00777821456437333,0.0015767239436135,0.0015767239436135,True
2022-12-19,test,test_oos_background,False,,0.0410313433769344,-0.005444761450577233,0.0015767239436135,0.0015767239436135,True
2022-12-28,test,test_oos_background,False,,0.0165067665516754,-0.010867744926073689,0.0015767239436135,0.0015767239436135,True
2023-01-02,test,test_oos_background,False,,0.0245911823567035,-0.005299901404023354,0.0015767239436135,0.0015767239436135,True
2023-01-03,test,test_oos_background,False,,0.0231564512091921,-0.020277409566261062,0.0015767239436135,0.0015767239436135,True
2023-01-04,test,test_oos_background,False,,0.0194533343094886,-0.00203307771579936,0.0015767239436135,0.0015767239436135,True
2023-01-24,test,test_oos_background,False,,0.016000642100828,-0.010933224489840012,0.0015767239436135,0.0015767239436135,True
2023-02-02,test,test_oos_background,False,,0.020803681434044,-0.038186298133092336,0.0015767239436135,0.0015767239436135,True
2023-02-20,test,test_oos_background,False,,0.0107608088626343,-0.00013905073870075155,0.0015767239436135,0.0015767239436135,True
2023-03-16,test,test_oos_background,False,,0.0185887314121122,-0.0028485478457963924,0.0015767239436135,0.0015767239436135,True
2023-03-27,test,test_oos_background,False,,0.0150472406689453,-0.0037328260876139455,0.0015767239436135,0.0015767239436135,True
2023-05-15,test,test_oos_background,False,,0.0068343710434307,-0.009949009025435385,0.0015767239436135,0.0015767239436135,True
2023-08-03,test,test_oos_background,False,,0.0159099341536008,-0.005432954961626713,0.0015767239436135,0.0015767239436135,True
2023-08-14,test,test_oos_background,False,,0.0084617931448595,-0.027574871338728425,0.0015767239436135,0.0015767239436135,True
2023-12-21,test,test_oos_background,False,,0.0100630001005,-0.0025217500888145825,0.0015767239436135,0.0015767239436135,True
2023-12-25,test,test_oos_background,False,,0.0090743019690725,-0.005080696825688943,0.0015767239436135,0.0015767239436135,True
2024-02-07,test,test_oos_background,False,,0.0069172652019582,-0.0015915268638963522,0.0015767239436135,0.0015767239436135,True
2024-03-27,test,test_oos_background,False,,0.0048181385552231,-0.0001042391440840831,0.0015767239436135,0.0015767239436135,True
2024-04-03,test,test_oos_background,False,,0.002729561468212,-0.0019061839618010005,0.0015767239436135,0.0015767239436135,True
2024-05-13,test,test_oos_background,False,,0.0047052059867809,-0.0006382714684004358,0.0015767239436135,0.0015767239436135,True
2024-05-14,test,test_oos_background,False,,0.0205780228998747,-0.005594271242271387,0.0015767239436135,0.0015767239436135,True
2024-05-30,test,test_oos_background,False,,0.00383573410258,-0.0018497609458974292,0.0015767239436135,0.0015767239436135,True
2024-07-25,test,test_oos_background,False,,0.0169496398999012,-0.0023277607628320544,0.0015767239436135,0.0015767239436135,True
2024-10-14,test,test_oos_background,False,,0.0061012509319049,-0.004238603256930136,0.0015767239436135,0.0015767239436135,True
2024-10-16,test,test_oos_background,False,,0.0058931791110724,-0.000398176185398778,0.0015767239436135,0.0015767239436135,True
2024-11-21,test,test_oos_background,False,,0.0130629159670861,-0.02023692195588001,0.0015767239436135,0.0015767239436135,True
2025-08-15,test,test_oos_background,True,JPY GDP,0.005115378457759,-0.005726444613713783,0.0015767239436135,0.0015767239436135,True
2025-08-18,test,test_oos_background,False,,0.0039869915634713,-0.0007340125298726775,0.0015767239436135,0.0015767239436135,True
2026-05-13,test,test_oos_background,False,,0.0055285618705045,-0.004999588926259144,0.0015767239436135,0.0015767239436135,True
2026-05-14,test,test_oos_background,False,,0.0047849584500561,-0.012174069908347351,0.0015767239436135,0.0015767239436135,True
