event_id,family,scheduled_event_timestamp,scheduled_event_model_day,realised_model_day,implied_event_offset,implied_event_model_day,mapped_target_model_day,target,sample_split,target_value,log_observed_target,background_raw,background_admissible,log_background_admissible,weight_admissible,log_weight,floor_activated,raw_nonpositive,is_overlap,other_primary_family_overlap,timing_status
BoJ__20060811,BoJ,2006-08-11 04:17:00+00:00,2006-08-11,2006-08-11,-1,2006-08-10,2006-08-11,R,train,0.0064333910864802,-5.0462534946066135,0.007440631770371136,0.007440631770371136,-4.900799518369778,0.8646296826699844,-0.14545397623683523,False,False,False,False,SUPPORTED_D_MINUS_1
BoJ__20060908,BoJ,2006-09-08 04:37:00+00:00,2006-09-08,2006-09-08,-1,2006-09-07,2006-09-08,R,train,0.0062262280321467,-5.078984581846936,0.00707339811455342,0.00707339811455342,-4.95141427599267,0.8802315282291718,-0.12757030585426632,False,False,False,False,SUPPORTED_D_MINUS_1
BoJ__20061013,BoJ,2006-10-13 04:47:00+00:00,2006-10-13,2006-10-13,-1,2006-10-12,2006-10-13,R,train,0.0043034987604052,-5.448326921918193,0.005097121675058775,0.005097121675058775,-5.279079276012207,0.8442997901076349,-0.16924764590598543,False,False,False,False,SUPPORTED_D_MINUS_1
BoJ__20061031,BoJ,2006-10-31 03:47:00+00:00,2006-10-31,2006-10-31,-1,2006-10-30,2006-10-31,R,train,,,,,,,,,,False,False,SUPPORTED_D_MINUS_1
BoJ__20061116,BoJ,2006-11-16 03:24:00+00:00,2006-11-16,2006-11-16,-1,2006-11-15,2006-11-16,R,train,0.0023747512509811,-6.042862583409786,0.0060443233262371596,0.0060443233262371596,-5.108635740595927,0.3928895134833035,-0.9342268428138588,False,False,False,False,SUPPORTED_D_MINUS_1
BoJ__20061219,BoJ,2006-12-19 03:27:00+00:00,2006-12-19,2006-12-19,-1,2006-12-18,2006-12-19,R,train,0.0047406386905154,-5.351583407517949,0.006900526176099526,0.006900526176099526,-4.976157612880643,0.6869966969960851,-0.3754257946373061,False,False,False,False,SUPPORTED_D_MINUS_1
BoJ__20070118,BoJ,2007-01-18 03:27:00+00:00,2007-01-18,2007-01-18,-1,2007-01-17,2007-01-18,R,train,0.0047498208479826,-5.349648377861051,0.0083229141574927,0.0083229141574927,-4.788742826161467,0.5706920386420874,-0.5609055516995837,False,False,False,False,SUPPORTED_D_MINUS_1
BoJ__20070221,BoJ,2007-02-21 05:20:00+00:00,2007-02-21,2007-02-21,-1,2007-02-20,2007-02-21,R,train,0.0100622419749524,-4.598965278806978,0.010188886751870473,0.010188886751870473,-4.586457686796043,0.9875703028208823,-0.01250759201093484,False,False,False,False,SUPPORTED_D_MINUS_1
BoJ__20070320,BoJ,2007-03-20 03:42:00+00:00,2007-03-20,2007-03-20,-1,2007-03-19,2007-03-20,R,train,0.0110939561096505,-4.50135481358096,0.012994771939523628,0.012994771939523628,-4.343208160906198,0.8537245717955394,-0.1581466526747614,False,False,False,False,SUPPORTED_D_MINUS_1
BoJ__20070409,BoJ,2007-04-09 04:48:00+00:00,2007-04-09,2007-04-09,-1,2007-04-06,2007-04-09,R,train,0.0012662850576729,-6.671667816567145,0.01377547012295302,0.01377547012295302,-4.284865795817507,0.09192318275678919,-2.386802020749638,False,False,False,False,SUPPORTED_D_MINUS_1
BoJ__20070427,BoJ,2007-04-27 06:07:00+00:00,2007-04-27,2007-04-27,-1,2007-04-26,2007-04-27,R,train,0.0063359540257379,-5.061514880535179,0.006630777772537123,0.006630777772537123,-5.016033170573202,0.9555370792216409,-0.04548170996197715,False,False,False,False,SUPPORTED_D_MINUS_1
BoJ__20070517,BoJ,2007-05-17 04:41:00+00:00,2007-05-17,2007-05-17,-1,2007-05-16,2007-05-17,R,train,0.0013645791190386,-6.596909235591716,0.004424236951585214,0.004424236951585214,-5.4206574557115115,0.30843264815408866,-1.1762517798802046,False,False,False,False,SUPPORTED_D_MINUS_1
BoJ__20070615,BoJ,2007-06-15 04:18:00+00:00,2007-06-15,2007-06-15,-1,2007-06-14,2007-06-15,R,train,0.0023951470859146,-6.034310636261957,0.005868773910188884,0.005868773910188884,-5.13810954086241,0.4081171165507572,-0.8962010953995473,False,False,False,False,SUPPORTED_D_MINUS_1
BoJ__20070712,BoJ,2007-07-12 04:55:00+00:00,2007-07-12,2007-07-12,-1,2007-07-11,2007-07-12,R,train,0.0027936437379565,-5.880408535956551,0.009243157704318751,0.009243157704318751,-4.683871708817706,0.3022391078160664,-1.196536827138845,False,False,False,False,SUPPORTED_D_MINUS_1
BoJ__20070823,BoJ,2007-08-23 04:35:00+00:00,2007-08-23,2007-08-23,-1,2007-08-22,2007-08-23,R,train,0.0259890970507811,-3.6500781731107494,0.01498745476023985,0.01498745476023985,-4.200541777132487,1.7340567472288528,0.5504636040217368,False,False,False,False,SUPPORTED_D_MINUS_1
BoJ__20070919,BoJ,2007-09-19 05:21:00+00:00,2007-09-19,2007-09-19,-1,2007-09-18,2007-09-19,R,train,0.0035908558808525,-5.629364697973662,0.018139112253967846,0.018139112253967846,-4.009684774083205,0.19796205186761645,-1.619679923890457,False,False,False,False,SUPPORTED_D_MINUS_1
BoJ__20071011,BoJ,2007-10-11 05:32:00+00:00,2007-10-11,2007-10-11,-1,2007-10-10,2007-10-11,R,train,0.0049224813825311,-5.3139425295747325,0.007057735087240519,0.007057735087240519,-4.953631088119988,0.6974590745734159,-0.36031144145474453,False,False,False,False,SUPPORTED_D_MINUS_1
BoJ__20071031,BoJ,2007-10-31 03:42:00+00:00,2007-10-31,2007-10-31,-1,2007-10-30,2007-10-31,R,train,0.0051948587535843,-5.260085843716009,0.0071226238608592595,0.0071226238608592595,-4.944479101661386,0.7293462149716273,-0.31560674205462325,False,False,False,False,SUPPORTED_D_MINUS_1
BoJ__20071113,BoJ,2007-11-13 03:29:00+00:00,2007-11-13,2007-11-13,-1,2007-11-12,2007-11-13,R,train,0.0179175685190686,-4.021973565961271,0.023695685945613373,0.023695685945613373,-3.742462275021338,0.7561531900867196,-0.27951129093993315,False,False,False,False,SUPPORTED_D_MINUS_1
BoJ__20071220,BoJ,2007-12-20 03:51:00+00:00,2007-12-20,2007-12-20,-1,2007-12-19,2007-12-20,R,train,0.0035225559083963,-5.648568442522845,0.009341200101273171,0.009341200101273171,-4.673320544495244,0.3770988599116069,-0.9752478980276016,False,False,False,False,SUPPORTED_D_MINUS_1
BoJ__20080122,BoJ,2008-01-22 03:19:00+00:00,2008-01-22,2008-01-22,-1,2008-01-21,2008-01-22,R,train,0.0206480477834083,-3.8801345023778637,0.017361022991709312,0.017361022991709312,-4.053527643392271,1.1893335889981076,0.1733931410144067,False,False,False,False,SUPPORTED_D_MINUS_1
BoJ__20080215,BoJ,2008-02-15 03:51:00+00:00,2008-02-15,2008-02-15,-1,2008-02-14,2008-02-15,R,train,0.0070663131550733,-4.952416412449059,0.008617226698790302,0.008617226698790302,-4.753991974750929,0.8200217311290277,-0.19842443769813053,False,False,False,False,SUPPORTED_D_MINUS_1
BoJ__20080307,BoJ,2008-03-07 03:52:00+00:00,2008-03-07,2008-03-07,-1,2008-03-06,2008-03-07,R,train,0.028071400221774,-3.5730040066400033,0.015327560799014869,0.015327560799014869,-4.178102711673098,1.8314329716166058,0.6050987050330952,False,False,False,False,SUPPORTED_D_MINUS_1
