pool_specification,family,target,n_clean_occurrences,n_event_occurrences,n_equation_eligible,n_valid_positive_denominator,valid_fraction,eligible_positive_fraction,observed_min,observed_max,q25,median,q75,iqr,mean_secondary,mean,sample_std,bootstrap_median_se,bootstrap_ci_lower,bootstrap_ci_upper,bootstrap_repetitions,bootstrap_seed
PRIMARY_CLEAN_TEST,BoJ,I,27,27,26,26,0.9629629629629629,1.0,0.18896343532616622,1.4199362396508506,0.4130149867609513,0.5418347696695014,0.9497199387058415,0.5367049519448902,0.6769317908112316,0.6769317908112316,0.37079016358206635,0.10841247013135652,0.4175351648008838,0.8511714698014874,10000,18
PRIMARY_CLEAN_TEST,BoJ,R,27,27,27,27,1.0,1.0,0.08547841809075762,11.621736667855018,0.6235368432346287,0.8409949149068398,1.2107194088274418,0.5871825655928131,1.609327881597736,1.609327881597736,2.6959257978629236,0.1292306827295556,0.7153355994133934,1.0991262777673578,10000,18
PRIMARY_CLEAN_TEST,FOMC,I,34,34,31,31,0.9117647058823529,1.0,0.1673584958218134,4.287932686477881,0.828400800453852,1.0630433877996452,1.4294873526639185,0.6010865522100665,1.3550350757226872,1.3550350757226872,0.9266627988958944,0.09780471650877699,0.9156859494468169,1.3647841920602255,10000,18
PRIMARY_CLEAN_TEST,FOMC,R,34,34,33,33,0.9705882352941176,1.0,0.2583978663057983,11.064625568423844,0.5391779091265607,1.096284123877112,1.9913297107921062,1.4521518016655455,1.7593544513999357,1.7593544513999357,2.134790487261559,0.2564506997827142,0.6943388070916905,1.7643125073143422,10000,18
PRIMARY_CLEAN_TEST,JPY GDP,I,36,36,30,29,0.8055555555555556,0.9666666666666667,0.34048976855965735,9.418261171336747,0.5291834389078703,0.7346174380644739,1.2346391675022261,0.7054557285943558,1.3419791780664811,1.3419791780664811,1.8011059788004653,0.13240406500577526,0.6258026754750663,1.1446621734596372,10000,18
PRIMARY_CLEAN_TEST,JPY GDP,R,36,36,36,36,1.0,1.0,0.18882614437472028,3.149158072755945,0.46044981702667864,0.7388691060764789,1.0590430384257359,0.5985932213990572,0.8437015377934253,0.8437015377934253,0.5966100175580464,0.08052438342579278,0.5529165648181942,0.8151611902159663,10000,18
PRIMARY_CLEAN_TEST,JPY National CPI,I,48,48,44,44,0.9166666666666666,1.0,0.25741002901045135,21.480091813917277,0.5665259879382396,0.7465419875147755,1.2086988316878526,0.642172843749613,1.572565482128777,1.572565482128777,3.394206821315178,0.08867999924852614,0.6386503496008619,1.0389922359655228,10000,18
PRIMARY_CLEAN_TEST,JPY National CPI,R,48,48,47,47,0.9791666666666666,1.0,0.02433485467577677,27.252296098005775,0.45971926597164564,0.8741712343585759,1.2765557069196933,0.8168364409480477,1.662732209657106,1.662732209657106,4.001015383680978,0.13961591079120397,0.6192776926042112,1.1401243738106586,10000,18
PRIMARY_CLEAN_TEST,US CPI,I,51,51,45,44,0.8627450980392157,0.9777777777777777,0.10308896734518247,2.7358736107937554,0.600496883444938,0.7121913266658051,1.011271184117805,0.410774300672867,0.871116968356882,0.871116968356882,0.4814364509553547,0.05277590972989964,0.6543263926273497,0.858810247872904,10000,18
PRIMARY_CLEAN_TEST,US CPI,R,51,51,51,51,1.0,1.0,0.06509394347090286,13.655224479340019,0.5379858317113011,0.9727219061565167,1.4033591338977227,0.8653733021864216,1.4803464903263903,1.4803464903263903,2.1076662749161432,0.10994005017948853,0.7097299357120562,1.1754010751018373,10000,18
PRIMARY_CLEAN_TEST,US Employment,I,52,52,47,46,0.8846153846153846,0.9787234042553191,0.1882097429425264,34.613327408052456,0.7206722847653235,0.8815979207145708,1.070174285094349,0.34950200032902545,1.9203183883653059,1.9203183883653059,5.251669832932747,0.0354362947526018,0.8034117101501995,0.9296106974101778,10000,18
PRIMARY_CLEAN_TEST,US Employment,R,52,52,52,52,1.0,1.0,0.09747840452322667,5.205058092377705,0.6771069037656805,1.0434254747544935,1.726972094964872,1.0498651911991914,1.3898332032417402,1.3898332032417402,1.1282666620645831,0.11607976916633735,0.8057444028662322,1.2233621833089527,10000,18
OVERLAP_INCLUSIVE_TEST_SENSITIVITY,BoJ,I,27,37,36,36,0.972972972972973,1.0,0.18896343532616622,2.256871003693776,0.4067356533489833,0.5418347696695014,0.9425317600131529,0.5357961066641695,0.6856605593660224,0.6856605593660224,0.43534679087200534,0.06540889471043257,0.42722134786190646,0.7178672643265865,10000,18
OVERLAP_INCLUSIVE_TEST_SENSITIVITY,BoJ,R,27,37,37,37,1.0,1.0,0.08547841809075762,11.621736667855018,0.6269060472744298,0.9469639975606499,1.2283314285061944,0.6014253812317646,1.5219286298054762,1.5219286298054762,2.33383162652995,0.13046498945001062,0.7328994435050328,1.099707927390538,10000,18
