sample_split,target,group_type,group_value,n_forecasts,n_positive,n_zero,n_negative,positive_fraction,minimum_raw_forecast,median_raw_forecast
test,I,STATUS,ALL,1071,1020,0,51,0.9523809523809523,-0.059652497594507095,0.008291075153912527
test,I,STATUS,ORDINARY,836,795,0,41,0.9509569377990431,-0.03014502729997589,0.008265643473553753
test,I,STATUS,ANY_TARGET_EVENT,235,225,0,10,0.9574468085106383,-0.059652497594507095,0.00874862583465628
test,I,FAMILY,FOMC,34,34,0,0,1.0,0.00011909740260920669,0.010355423507301707
test,I,FAMILY,US Employment,48,45,0,3,0.9375,-0.059652497594507095,0.009782162177341867
test,I,FAMILY,US CPI,47,45,0,2,0.9574468085106383,-0.006308138496852966,0.008392295838670509
test,I,FAMILY,BoJ,36,35,0,1,0.9722222222222222,-0.0008676867347870709,0.008348289453317365
test,I,FAMILY,JPY National CPI,53,50,0,3,0.9433962264150944,-0.03013646582274094,0.00809784471211631
test,I,FAMILY,JPY GDP,32,31,0,1,0.96875,-0.04041622649646344,0.008371278318805294
test,R,STATUS,ALL,1182,1182,0,0,1.0,0.003242869511377079,0.006815750226143896
test,R,STATUS,ORDINARY,922,922,0,0,1.0,0.003242869511377079,0.006567530165471448
test,R,STATUS,ANY_TARGET_EVENT,260,260,0,0,1.0,0.0034441276676002164,0.008237003516468649
test,R,FAMILY,FOMC,36,36,0,0,1.0,0.003844321337659366,0.007597675663974799
test,R,FAMILY,US Employment,54,54,0,0,1.0,0.004119805584627793,0.009445630885740675
test,R,FAMILY,US CPI,54,54,0,0,1.0,0.004058632020610253,0.00865575652783171
test,R,FAMILY,BoJ,37,37,0,0,1.0,0.0046243564952959115,0.013072177029536922
test,R,FAMILY,JPY National CPI,55,55,0,0,1.0,0.0034441276676002164,0.006559623365048176
test,R,FAMILY,JPY GDP,38,38,0,0,1.0,0.00416883980789694,0.0068754061825135404
train,I,STATUS,ALL,2226,2188,0,38,0.9829290206648698,-0.07384753068360132,0.01097314027195456
train,I,STATUS,ORDINARY,1706,1679,0,27,0.9841735052754983,-0.04138861899517787,0.010990168155436252
train,I,STATUS,ANY_TARGET_EVENT,520,509,0,11,0.9788461538461538,-0.07384753068360132,0.010941188136980987
train,I,FAMILY,FOMC,78,78,0,0,1.0,0.0005453746240273081,0.012286662105452857
train,I,FAMILY,US Employment,99,92,0,7,0.9292929292929293,-0.022517582115536734,0.009690867546569093
train,I,FAMILY,US CPI,96,92,0,4,0.9583333333333334,-0.07384753068360132,0.011304724751535647
train,I,FAMILY,BoJ,113,112,0,1,0.9911504424778761,-0.00017667736403573567,0.01211463035341789
train,I,FAMILY,JPY National CPI,113,113,0,0,1.0,0.0006387425853637791,0.00897684506270937
train,I,FAMILY,JPY GDP,62,62,0,0,1.0,0.0005903324671067594,0.012284775167299025
train,R,STATUS,ALL,3005,3005,0,0,1.0,0.003984914959179226,0.008403060358227153
train,R,STATUS,ORDINARY,2321,2321,0,0,1.0,0.003984914959179226,0.008239209307395972
train,R,STATUS,ANY_TARGET_EVENT,684,684,0,0,1.0,0.004088345548113789,0.008865076610494575
train,R,FAMILY,FOMC,96,96,0,0,1.0,0.0045015298702731224,0.008282439703209434
train,R,FAMILY,US Employment,137,137,0,0,1.0,0.004360910604168065,0.010354218843729225
train,R,FAMILY,US CPI,149,149,0,0,1.0,0.004088345548113789,0.008515563841279897
train,R,FAMILY,BoJ,131,131,0,0,1.0,0.004193381576939408,0.009977983325473325
train,R,FAMILY,JPY National CPI,138,138,0,0,1.0,0.004157789549438066,0.008245124564518914
train,R,FAMILY,JPY GDP,84,84,0,0,1.0,0.00429923007713736,0.008520281643961725
validation,I,STATUS,ALL,1087,1028,0,59,0.9457221711131555,-0.013262867103598778,0.00253634026217489
validation,I,STATUS,ORDINARY,844,798,0,46,0.9454976303317536,-0.013262867103598778,0.00253332698315928
validation,I,STATUS,ANY_TARGET_EVENT,243,230,0,13,0.9465020576131687,-0.01079332940228297,0.0025535913503096893
validation,I,FAMILY,FOMC,36,34,0,2,0.9444444444444444,-0.0002740240306987518,0.002312772613233801
validation,I,FAMILY,US Employment,51,50,0,1,0.9803921568627451,-0.00012880236708541005,0.0023908877080867554
validation,I,FAMILY,US CPI,47,44,0,3,0.9361702127659575,-0.0004347430589262929,0.002848206656733533
validation,I,FAMILY,BoJ,38,38,0,0,1.0,0.00013826875356612138,0.002462959420394235
validation,I,FAMILY,JPY National CPI,54,50,0,4,0.9259259259259259,-0.01079332940228297,0.0026269375239435138
validation,I,FAMILY,JPY GDP,33,30,0,3,0.9090909090909091,-0.0015324152794983711,0.0026722863113978965
validation,R,STATUS,ALL,1181,1181,0,0,1.0,0.003757307539600929,0.005126685616625271
validation,R,STATUS,ORDINARY,919,919,0,0,1.0,0.003757307539600929,0.00507742651740483
validation,R,STATUS,ANY_TARGET_EVENT,262,262,0,0,1.0,0.003873633489761397,0.0053151689496583575
validation,R,FAMILY,FOMC,38,38,0,0,1.0,0.00403507378632683,0.005191306365509397
validation,R,FAMILY,US Employment,55,55,0,0,1.0,0.004369231296888671,0.005521006031949927
validation,R,FAMILY,US CPI,56,56,0,0,1.0,0.004137512342353561,0.0055073842176314395
validation,R,FAMILY,BoJ,38,38,0,0,1.0,0.003873633489761397,0.005535476963037066
validation,R,FAMILY,JPY National CPI,55,55,0,0,1.0,0.003959909708853447,0.005190574807599578
validation,R,FAMILY,JPY GDP,37,37,0,0,1.0,0.0042513501410512584,0.005111343203459657
