family,target,occurrence_n,clean_test_occurrence_n,overlap_occurrence_n,effective_model_valid_support_min,effective_model_valid_support_max,effective_model_raw_support_min,effective_model_raw_support_max
BoJ,I,37,27,10,26,27,26,27
BoJ,R,37,27,10,26,27,26,27
FOMC,I,37,34,3,31,34,31,34
FOMC,R,37,34,3,33,33,33,33
JPY GDP,I,38,36,2,30,36,29,36
JPY GDP,R,38,36,2,36,36,36,36
JPY National CPI,I,56,48,8,44,48,44,48
JPY National CPI,R,56,48,8,47,47,47,47
US CPI,I,54,51,3,45,51,44,51
US CPI,R,54,51,3,51,51,51,51
US Employment,I,54,52,2,47,52,46,52
US Employment,R,54,52,2,52,52,52,52
