target,family,benchmark_model,comparator_model,valid_common_n,pearson_correlation,spearman_correlation,median_absolute_difference,parametric_family_median,flexible_family_median,family_median_same_side_of_one
R,FOMC,PARAMETRIC_N18,RF,33,0.9840611520332345,0.9475267379679144,0.19017107649157677,1.096284123877112,1.1690781435689408,True
R,FOMC,PARAMETRIC_N18,GB,33,0.9420843004647667,0.9692513368983957,0.16404634050177969,1.096284123877112,1.2290846188628033,True
R,FOMC,PARAMETRIC_N18,MLP,33,0.9912727264814487,0.9675802139037435,0.14325664803843785,1.096284123877112,1.2058207038261162,True
R,FOMC,PARAMETRIC_N18,TRANSFORMER,33,0.9893791193728957,0.9719251336898397,0.10924102594840712,1.096284123877112,1.1209549853487835,True
R,US Employment,PARAMETRIC_N18,RF,52,0.9715346486718653,0.9632886536327157,0.10795078404458758,1.0434254747544935,1.023047940674263,True
R,US Employment,PARAMETRIC_N18,GB,52,0.9873709398472407,0.981302825919918,0.09314457279565147,1.0434254747544935,1.0094197363927764,True
R,US Employment,PARAMETRIC_N18,MLP,52,0.9871878545822169,0.988218219072825,0.06322700780305779,1.0434254747544935,0.9290214802631216,False
R,US Employment,PARAMETRIC_N18,TRANSFORMER,52,0.9950208157177655,0.9900964740032442,0.11088050652502157,1.0434254747544935,0.9533916155673597,False
R,US CPI,PARAMETRIC_N18,RF,51,0.8238937795046123,0.9490497737556561,0.10618419051720407,0.9727219061565168,0.9500610363018057,True
R,US CPI,PARAMETRIC_N18,GB,51,0.9958804918085009,0.9829864253393665,0.0853366882841109,0.9727219061565168,1.0522515379043609,False
R,US CPI,PARAMETRIC_N18,MLP,51,0.9958450297178625,0.9934841628959274,0.057705582902521924,0.9727219061565168,0.9798916717167891,True
R,US CPI,PARAMETRIC_N18,TRANSFORMER,51,0.9971337484096747,0.991945701357466,0.08723251577067259,0.9727219061565168,0.9307002122330507,True
R,BoJ,PARAMETRIC_N18,RF,27,0.9897946300679243,0.9487179487179487,0.1295142033885115,0.8409949149068398,0.8940509532749119,True
R,BoJ,PARAMETRIC_N18,GB,26,0.9973511466534906,0.9316239316239315,0.10375445524284149,0.8083115398780949,0.861520190262387,True
R,BoJ,PARAMETRIC_N18,MLP,27,0.9973159008715272,0.9743589743589743,0.04546449853314427,0.8409949149068398,0.8107886662296006,True
R,BoJ,PARAMETRIC_N18,TRANSFORMER,27,0.9972784004735169,0.9798534798534798,0.08876446152342998,0.8409949149068398,0.7645372795235114,True
R,JPY National CPI,PARAMETRIC_N18,RF,47,0.9975738144312157,0.9551341350601296,0.09451744959816749,0.8741712343585759,0.9985042681838143,True
R,JPY National CPI,PARAMETRIC_N18,GB,47,0.9950292207426125,0.9762950971322849,0.08681002712357255,0.8741712343585759,0.9968240318499177,True
R,JPY National CPI,PARAMETRIC_N18,MLP,47,0.9951983167069939,0.9764107308048104,0.07385749181570511,0.8741712343585759,0.9656557899947507,True
R,JPY National CPI,PARAMETRIC_N18,TRANSFORMER,47,0.9972373765681087,0.9838112858464385,0.07572363271887506,0.8741712343585759,0.9201086748883537,True
R,JPY GDP,PARAMETRIC_N18,RF,36,0.961090506166547,0.9042471042471043,0.0992858314206222,0.7388691060764789,0.7122485760970121,True
R,JPY GDP,PARAMETRIC_N18,GB,36,0.951445354173812,0.9299871299871302,0.1044125808224643,0.7388691060764789,0.7716108394744492,True
R,JPY GDP,PARAMETRIC_N18,MLP,36,0.9695804350414913,0.9359073359073359,0.06472116284541422,0.7388691060764789,0.7332012123076088,True
R,JPY GDP,PARAMETRIC_N18,TRANSFORMER,36,0.9755166385033861,0.9590733590733591,0.08584600963626327,0.7388691060764789,0.6990180356778125,True
I,FOMC,PARAMETRIC_N18,RF,31,0.9080462312232778,0.7516129032258065,0.2507331829072441,1.0630433877996452,0.9889707939654665,False
I,FOMC,PARAMETRIC_N18,GB,31,0.9039755353556626,0.7737903225806453,0.22404725204682963,1.0630433877996452,0.9963930828698857,False
I,FOMC,PARAMETRIC_N18,MLP,31,0.8324606815291956,0.6391129032258066,0.28413490354021276,1.0630433877996452,1.0484878949271994,True
I,FOMC,PARAMETRIC_N18,TRANSFORMER,31,0.865515649235399,0.6568548387096774,0.2768493627425106,1.0630433877996452,1.0820088395668774,True
I,US Employment,PARAMETRIC_N18,RF,46,0.027691877854838124,0.6658649398704902,0.13024788967144435,0.8815979207145708,0.7539013085307095,True
I,US Employment,PARAMETRIC_N18,GB,46,0.0923269858270972,0.6603145235892691,0.1909445023299397,0.8815979207145708,0.7350020749315453,True
I,US Employment,PARAMETRIC_N18,MLP,46,0.10556826778498306,0.5449892075238977,0.15286610628862696,0.8815979207145708,0.7810538243977585,True
I,US Employment,PARAMETRIC_N18,TRANSFORMER,46,0.05299754831531057,0.6361393771199507,0.15193269041470409,0.8815979207145708,0.7504557311349654,True
I,US CPI,PARAMETRIC_N18,RF,44,0.8386857462386673,0.6069062720225511,0.1840355934649064,0.7121913266658051,0.6797245973679636,True
I,US CPI,PARAMETRIC_N18,GB,44,0.8698892468234033,0.6153629316420014,0.17936715105410506,0.7121913266658051,0.623032354318473,True
I,US CPI,PARAMETRIC_N18,MLP,44,0.8099311687646752,0.6931642001409443,0.13197862889769585,0.7121913266658051,0.6824948814204379,True
I,US CPI,PARAMETRIC_N18,TRANSFORMER,44,0.8486030285043353,0.7264270613107822,0.1387213521050018,0.7121913266658051,0.6732588259686947,True
I,BoJ,PARAMETRIC_N18,RF,26,0.9041096969033584,0.9035897435897435,0.08773288177241714,0.5418347696695014,0.5097551452412945,True
I,BoJ,PARAMETRIC_N18,GB,26,0.9127834358616284,0.9302564102564103,0.12184017550073009,0.5418347696695014,0.4204538241584447,True
I,BoJ,PARAMETRIC_N18,MLP,26,0.9073800623125052,0.9111111111111111,0.07308857670348295,0.5418347696695014,0.5444805177943814,True
I,BoJ,PARAMETRIC_N18,TRANSFORMER,26,0.9348919199093682,0.9521367521367521,0.06675639173319084,0.5418347696695014,0.5249060505722498,True
I,JPY National CPI,PARAMETRIC_N18,RF,44,0.20834902583481485,0.39591261451726567,0.2631592045328878,0.7465419875147755,0.8991911069456504,True
I,JPY National CPI,PARAMETRIC_N18,GB,44,0.26419270478802015,0.46243833685694147,0.2493864531668642,0.7465419875147755,0.8755757529292629,True
I,JPY National CPI,PARAMETRIC_N18,MLP,43,0.7797855254566778,0.7114164904862579,0.22080195030835092,0.7380491338825862,0.9018860084104565,True
I,JPY National CPI,PARAMETRIC_N18,TRANSFORMER,44,0.22952719521348208,0.46765327695560255,0.28269972760293,0.7465419875147755,0.8942253370047812,True
I,JPY GDP,PARAMETRIC_N18,RF,29,0.9006138118043324,0.815270935960591,0.16826154892418776,0.7346174380644739,0.7486041626032398,True
I,JPY GDP,PARAMETRIC_N18,GB,29,0.8990364804513272,0.8408866995073889,0.17786691130404997,0.7346174380644739,0.7681005533281869,True
I,JPY GDP,PARAMETRIC_N18,MLP,29,0.888419614943487,0.660591133004926,0.14865661354239668,0.7346174380644739,0.8581977235797257,True
I,JPY GDP,PARAMETRIC_N18,TRANSFORMER,29,0.8947665406493215,0.7689655172413792,0.15822150779432453,0.7346174380644739,0.7505289158736768,True
