forecast_scope,sample_split,target,model,eligible_forecast_n,raw_negative_n,raw_zero_n,raw_positive_below_floor_n,floor_activated_n,floor_activation_rate
EVENTLESS_BACKGROUND,test,I,GB,1208,2,0,0,2,0.0016556291390728477
EVENTLESS_BACKGROUND,test,I,MLP,1156,0,0,0,0,0.0
EVENTLESS_BACKGROUND,test,I,RF,1208,0,0,0,0,0.0
EVENTLESS_BACKGROUND,test,I,TRANSFORMER,1142,0,0,10,10,0.008756567425569177
EVENTLESS_BACKGROUND,test,R,GB,1169,0,0,0,0,0.0
EVENTLESS_BACKGROUND,test,R,MLP,1182,0,0,0,0,0.0
EVENTLESS_BACKGROUND,test,R,RF,1182,0,0,0,0,0.0
EVENTLESS_BACKGROUND,test,R,TRANSFORMER,1182,0,0,0,0,0.0
EVENTLESS_BACKGROUND,validation,I,GB,1209,0,0,0,0,0.0
EVENTLESS_BACKGROUND,validation,I,MLP,1155,0,0,0,0,0.0
EVENTLESS_BACKGROUND,validation,I,RF,1209,0,0,0,0,0.0
EVENTLESS_BACKGROUND,validation,I,TRANSFORMER,1143,0,0,77,77,0.0673665791776028
EVENTLESS_BACKGROUND,validation,R,GB,1168,1,0,0,1,0.0008561643835616438
EVENTLESS_BACKGROUND,validation,R,MLP,1181,0,0,0,0,0.0
EVENTLESS_BACKGROUND,validation,R,RF,1181,0,0,0,0,0.0
EVENTLESS_BACKGROUND,validation,R,TRANSFORMER,1181,0,0,0,0,0.0
