target,stage,state,mean,std
R,TRAIN_SELECTION,Q,4.149883240849213e-05,9.393784176267475e-05
R,TRAIN_SELECTION,R,0.011076058046490847,0.01895568900699564
R,TRAIN_SELECTION,I,0.01657641573563602,0.02133141751432765
R,TRAIN_SELECTION,TARGET,0.010509735594781818,0.02027920748682184
I,TRAIN_SELECTION,Q,4.161022250384416e-05,9.705406349620987e-05
I,TRAIN_SELECTION,R,0.01108172617527868,0.019296754528882274
I,TRAIN_SELECTION,I,0.016628940240440794,0.02211650752815824
I,TRAIN_SELECTION,TARGET,0.016114394267646034,0.026689973249759073
R,TRAIN_VALIDATION_FINAL,Q,3.399524456940813e-05,8.411332529666089e-05
R,TRAIN_VALIDATION_FINAL,R,0.00894913141972391,0.016373774156402152
R,TRAIN_VALIDATION_FINAL,I,0.012962809331001213,0.01885281519059877
R,TRAIN_VALIDATION_FINAL,TARGET,0.0084102909515769,0.017213061739798394
I,TRAIN_VALIDATION_FINAL,Q,3.411098104742105e-05,8.676773667867655e-05
I,TRAIN_VALIDATION_FINAL,R,0.008957012588078232,0.016663288380996222
I,TRAIN_VALIDATION_FINAL,I,0.013003225476634482,0.019458530700272467
I,TRAIN_VALIDATION_FINAL,TARGET,0.01254552419824802,0.022930621080762218
