stage,model,target,candidate_id,config_id,seed,parent_blocks,lag_order,best_epoch,validation_RMSE,validation_MAE
STRUCTURE_SEARCH,MLP,R,R__R__L01,MLP_01,19,R,1,139,0.005988456217126042,0.0037264328189897705
STRUCTURE_SEARCH,MLP,R,R__R__L01,MLP_01,119,R,1,46,0.005997516278944835,0.0037770728923456585
STRUCTURE_SEARCH,MLP,R,R__R__L01,MLP_01,219,R,1,50,0.005942358435998863,0.003656349456329793
STRUCTURE_SEARCH,MLP,R,R__R__L02,MLP_01,19,R,2,23,0.005810513320588881,0.0033019253320052434
STRUCTURE_SEARCH,MLP,R,R__R__L02,MLP_01,119,R,2,38,0.005814502135813525,0.0032100226083052407
STRUCTURE_SEARCH,MLP,R,R__R__L02,MLP_01,219,R,2,64,0.005856758970015082,0.003245922016346924
STRUCTURE_SEARCH,MLP,R,R__R__L03,MLP_01,19,R,3,19,0.0055436993741132074,0.0029436719205141126
STRUCTURE_SEARCH,MLP,R,R__R__L03,MLP_01,119,R,3,30,0.005541116561443824,0.0028904942626656084
STRUCTURE_SEARCH,MLP,R,R__R__L03,MLP_01,219,R,3,49,0.005644745686284341,0.0029451912031745286
STRUCTURE_SEARCH,MLP,R,R__R__L04,MLP_01,19,R,4,32,0.005535466719575788,0.0028487140465095697
STRUCTURE_SEARCH,MLP,R,R__R__L04,MLP_01,119,R,4,22,0.0055251973068227295,0.002768384018196577
STRUCTURE_SEARCH,MLP,R,R__R__L04,MLP_01,219,R,4,28,0.005569222133403408,0.0028419676715034053
STRUCTURE_SEARCH,MLP,R,R__R__L05,MLP_01,19,R,5,24,0.005413923430590297,0.002641398748291944
STRUCTURE_SEARCH,MLP,R,R__R__L05,MLP_01,119,R,5,20,0.0054998128493319335,0.002798743491291589
STRUCTURE_SEARCH,MLP,R,R__R__L05,MLP_01,219,R,5,26,0.005504313389379795,0.002924633963691086
STRUCTURE_SEARCH,MLP,R,R__R__L06,MLP_01,19,R,6,16,0.005452533551287924,0.002662233316277055
STRUCTURE_SEARCH,MLP,R,R__R__L06,MLP_01,119,R,6,40,0.005569427946280772,0.002857154947540402
STRUCTURE_SEARCH,MLP,R,R__R__L06,MLP_01,219,R,6,26,0.005516786401363604,0.0028261673605682815
STRUCTURE_SEARCH,MLP,R,R__R__L07,MLP_01,19,R,7,8,0.005512582265886369,0.0026983897790943115
STRUCTURE_SEARCH,MLP,R,R__R__L07,MLP_01,119,R,7,14,0.005537690812390535,0.002838901340289731
STRUCTURE_SEARCH,MLP,R,R__R__L07,MLP_01,219,R,7,26,0.005535628812720573,0.002847967892152223
STRUCTURE_SEARCH,MLP,R,R__R__L08,MLP_01,19,R,8,26,0.0054727894775132,0.002640194864247912
STRUCTURE_SEARCH,MLP,R,R__R__L08,MLP_01,119,R,8,45,0.005549677253175006,0.0027721549691487254
STRUCTURE_SEARCH,MLP,R,R__R__L08,MLP_01,219,R,8,29,0.005640363016790638,0.0028871746534895413
STRUCTURE_SEARCH,MLP,R,R__R__L09,MLP_01,19,R,9,18,0.005546535255335529,0.0027172511443037083
STRUCTURE_SEARCH,MLP,R,R__R__L09,MLP_01,119,R,9,19,0.005602906270740926,0.0029624272572055577
STRUCTURE_SEARCH,MLP,R,R__R__L09,MLP_01,219,R,9,61,0.0054564116882712165,0.0027436294398065922
STRUCTURE_SEARCH,MLP,R,R__R__L10,MLP_01,19,R,10,10,0.005462834994817788,0.002611553040731824
STRUCTURE_SEARCH,MLP,R,R__R__L10,MLP_01,119,R,10,29,0.005515787944213578,0.002773438142625695
STRUCTURE_SEARCH,MLP,R,R__R__L10,MLP_01,219,R,10,48,0.00562970535442838,0.002840216414009053
STRUCTURE_SEARCH,MLP,R,R__R__L11,MLP_01,19,R,11,32,0.005694918271111001,0.0027417058911114868
STRUCTURE_SEARCH,MLP,R,R__R__L11,MLP_01,119,R,11,21,0.005706777950736395,0.002826967860715415
STRUCTURE_SEARCH,MLP,R,R__R__L11,MLP_01,219,R,11,27,0.005747989699091464,0.0029013771399642053
STRUCTURE_SEARCH,MLP,R,R__R__L12,MLP_01,19,R,12,10,0.005746233885470083,0.002721597290826154
STRUCTURE_SEARCH,MLP,R,R__R__L12,MLP_01,119,R,12,32,0.005835594391127487,0.002888533048327895
STRUCTURE_SEARCH,MLP,R,R__R__L12,MLP_01,219,R,12,209,0.005581615471893993,0.0027572388376012366
STRUCTURE_SEARCH,MLP,R,R__R+Q__L01,MLP_01,19,R|Q,1,76,0.006089887191217249,0.0038313489208880204
STRUCTURE_SEARCH,MLP,R,R__R+Q__L01,MLP_01,119,R|Q,1,44,0.006103506903563295,0.0037606589073997903
STRUCTURE_SEARCH,MLP,R,R__R+Q__L01,MLP_01,219,R|Q,1,64,0.006123591612642003,0.003849349849323841
STRUCTURE_SEARCH,MLP,R,R__R+Q__L02,MLP_01,19,R|Q,2,58,0.005871179551070544,0.003243585259778845
STRUCTURE_SEARCH,MLP,R,R__R+Q__L02,MLP_01,119,R|Q,2,41,0.005877068843616683,0.00325841046905744
STRUCTURE_SEARCH,MLP,R,R__R+Q__L02,MLP_01,219,R|Q,2,48,0.005844465575464124,0.003247321752516868
STRUCTURE_SEARCH,MLP,R,R__R+Q__L03,MLP_01,19,R|Q,3,22,0.005633128008301585,0.003157455152563152
STRUCTURE_SEARCH,MLP,R,R__R+Q__L03,MLP_01,119,R|Q,3,14,0.005577913519352469,0.003053082840205353
STRUCTURE_SEARCH,MLP,R,R__R+Q__L03,MLP_01,219,R|Q,3,26,0.005581124467215085,0.003121475199599733
STRUCTURE_SEARCH,MLP,R,R__R+Q__L04,MLP_01,19,R|Q,4,26,0.005514716300213024,0.0028443943893525793
STRUCTURE_SEARCH,MLP,R,R__R+Q__L04,MLP_01,119,R|Q,4,45,0.005547122860569357,0.003040581076331009
STRUCTURE_SEARCH,MLP,R,R__R+Q__L04,MLP_01,219,R|Q,4,31,0.005568183395894058,0.0030346318239044593
STRUCTURE_SEARCH,MLP,R,R__R+Q__L05,MLP_01,19,R|Q,5,40,0.005360884870738119,0.0027960727393055505
STRUCTURE_SEARCH,MLP,R,R__R+Q__L05,MLP_01,119,R|Q,5,43,0.005370919919755896,0.002782532041738779
STRUCTURE_SEARCH,MLP,R,R__R+Q__L05,MLP_01,219,R|Q,5,24,0.005643795945723051,0.00319006075778914
