model_day,target_model_day,sample_split,forecast_stage,target,model,actual,raw_forecast,admissible_forecast,background_forecast,forecast_floor,floor_activated,ordinary_response_ratio_raw,ordinary_response_ratio_adm,response_ratio,raw_positive_background,background_positive,equation_eligible,known_event_target_flag,ordinary_flag,is_out_of_sample
2017-03-28,2017-03-28,validation,TRAIN_TO_VALIDATION,R,RF,0.0069839729715705,0.0081464227933492,0.0081464227933492,0.0081464227933492,0.0003202993332501,False,0.8573054884006595,0.8573054884006595,0.8573054884006595,True,True,True,False,True,True
2017-03-29,2017-03-29,validation,TRAIN_TO_VALIDATION,R,RF,0.0033864088061569,0.0061249243430198,0.0061249243430198,0.0061249243430198,0.0003202993332501,False,0.5528898997774857,0.5528898997774857,0.5528898997774857,True,True,True,False,True,True
2017-03-30,2017-03-30,validation,TRAIN_TO_VALIDATION,R,RF,0.0054390604304517,0.0056097632125068,0.0056097632125068,0.0056097632125068,0.0003202993332501,False,0.9695704122280023,0.9695704122280023,0.9695704122280023,True,True,True,False,True,True
2017-03-31,2017-03-31,validation,TRAIN_TO_VALIDATION,R,RF,0.0079958659453491,0.0061408909613402,0.0061408909613402,0.0061408909613402,0.0003202993332501,False,1.3020693569853043,1.3020693569853043,1.3020693569853043,True,True,True,True,False,True
2017-04-03,2017-04-03,validation,TRAIN_TO_VALIDATION,R,RF,0.0048055399325973,0.0057969809012657,0.0057969809012657,0.0057969809012657,0.0003202993332501,False,0.8289728764757649,0.8289728764757649,0.8289728764757649,True,True,True,False,True,True
2017-04-04,2017-04-04,validation,TRAIN_TO_VALIDATION,R,RF,0.0049746941797379,0.0052192010859715,0.0052192010859715,0.0052192010859715,0.0003202993332501,False,0.9531524265484231,0.9531524265484231,0.9531524265484231,True,True,True,False,True,True
2017-04-05,2017-04-05,validation,TRAIN_TO_VALIDATION,R,RF,0.0099750761391109,0.0066923104989247,0.0066923104989247,0.0066923104989247,0.0003202993332501,False,1.4905279933908722,1.4905279933908722,1.4905279933908722,True,True,True,False,True,True
2017-04-06,2017-04-06,validation,TRAIN_TO_VALIDATION,R,RF,0.0054728951503837,0.0081556614823517,0.0081556614823517,0.0081556614823517,0.0003202993332501,False,0.6710547221983986,0.6710547221983986,0.6710547221983986,True,True,True,False,True,True
2017-04-07,2017-04-07,validation,TRAIN_TO_VALIDATION,R,RF,0.01388017629187,0.0087822928684373,0.0087822928684373,0.0087822928684373,0.0003202993332501,False,1.5804729470767245,1.5804729470767245,1.5804729470767245,True,True,True,True,False,True
2017-04-10,2017-04-10,validation,TRAIN_TO_VALIDATION,R,RF,0.0041226546079108,0.0084131169275158,0.0084131169275158,0.0084131169275158,0.0003202993332501,False,0.49002701893127315,0.49002701893127315,0.49002701893127315,True,True,True,False,True,True
