target,model,group,n_forecasts,n_positive,n_zero,n_negative,positive_fraction,minimum_raw_forecast,median_raw_forecast
R,N18_SPARSE_LINEAR,ALL,1062,1062,0,0,1.0,0.003242869511377,0.006944913666775901
R,N18_SPARSE_LINEAR,ORDINARY,825,825,0,0,1.0,0.003242869511377,0.0066570019463456
R,N18_SPARSE_LINEAR,ANY_TARGET_EVENT,237,237,0,0,1.0,0.0034441276676002,0.0082784211389275
R,N18_SPARSE_LINEAR,FOMC,34,34,0,0,1.0,0.0038443213376593,0.00759767566397475
R,N18_SPARSE_LINEAR,US Employment,49,49,0,0,1.0,0.0041198055846277,0.0099858634277538
R,N18_SPARSE_LINEAR,US CPI,48,48,0,0,1.0,0.0040586320206102,0.008655756527831699
R,N18_SPARSE_LINEAR,BoJ,36,36,0,0,1.0,0.0046243564952959,0.013057290113375149
R,N18_SPARSE_LINEAR,JPY National CPI,52,52,0,0,1.0,0.0034441276676002,0.00653988020817745
R,N18_SPARSE_LINEAR,JPY GDP,32,32,0,0,1.0,0.0042546351769774,0.00709211853587265
R,LINEAR_36,ALL,1062,1046,0,16,0.9849340866290018,-0.01597641379594105,0.006378058132650216
R,LINEAR_36,ORDINARY,825,812,0,13,0.9842424242424243,-0.01597641379594105,0.006188363410009353
R,LINEAR_36,ANY_TARGET_EVENT,237,234,0,3,0.9873417721518988,-0.0028955155140850328,0.007511302681787219
R,LINEAR_36,FOMC,34,33,0,1,0.9705882352941176,-0.0028955155140850328,0.005973175171966605
R,LINEAR_36,US Employment,49,49,0,0,1.0,0.0020345051568549347,0.008806571691154412
R,LINEAR_36,US CPI,48,48,0,0,1.0,0.0026356843664060974,0.007970194637764407
R,LINEAR_36,BoJ,36,36,0,0,1.0,0.003227241928697901,0.011138303197253325
R,LINEAR_36,JPY National CPI,52,50,0,2,0.9615384615384616,-0.0011300482204473937,0.005776506751241477
R,LINEAR_36,JPY GDP,32,32,0,0,1.0,0.000917906733888377,0.00731459982340636
R,RANDOM_FOREST,ALL,1062,1062,0,0,1.0,0.0019196391666092677,0.007150309545131853
R,RANDOM_FOREST,ORDINARY,825,825,0,0,1.0,0.0019196391666092677,0.006709499297526324
R,RANDOM_FOREST,ANY_TARGET_EVENT,237,237,0,0,1.0,0.0020366685474116687,0.008484736640200802
R,RANDOM_FOREST,FOMC,34,34,0,0,1.0,0.0023970983094691784,0.008114504327603987
R,RANDOM_FOREST,US Employment,49,49,0,0,1.0,0.002334847192951949,0.010032669108277483
R,RANDOM_FOREST,US CPI,48,48,0,0,1.0,0.0021933785981132613,0.008920914447033836
R,RANDOM_FOREST,BoJ,36,36,0,0,1.0,0.002661814859658247,0.011805032963972
R,RANDOM_FOREST,JPY National CPI,52,52,0,0,1.0,0.0020366685474116687,0.0060024444529391836
R,RANDOM_FOREST,JPY GDP,32,32,0,0,1.0,0.0026616058430566727,0.007580817165272126
R,GRADIENT_BOOSTING,ALL,1062,1062,0,0,1.0,0.00047794122423693193,0.0066917554298737145
R,GRADIENT_BOOSTING,ORDINARY,825,825,0,0,1.0,0.00047794122423693193,0.0063604618753017985
R,GRADIENT_BOOSTING,ANY_TARGET_EVENT,237,237,0,0,1.0,0.0030815515743887996,0.007802080475998496
R,GRADIENT_BOOSTING,FOMC,34,34,0,0,1.0,0.0030815515743887996,0.007706233530892246
R,GRADIENT_BOOSTING,US Employment,49,49,0,0,1.0,0.003119651092020008,0.0087743492061135
R,GRADIENT_BOOSTING,US CPI,48,48,0,0,1.0,0.0030815515743887996,0.008436658362828552
R,GRADIENT_BOOSTING,BoJ,36,36,0,0,1.0,0.0031735331451564603,0.009246198455099594
R,GRADIENT_BOOSTING,JPY National CPI,52,52,0,0,1.0,0.0030815515743887996,0.006060370756785461
R,GRADIENT_BOOSTING,JPY GDP,32,32,0,0,1.0,0.003119651092020008,0.007087486013509149
R,MLP,ALL,1062,1062,0,0,1.0,0.0022053404674154792,0.006566683271009297
R,MLP,ORDINARY,825,825,0,0,1.0,0.0022053404674154792,0.006447133806214399
R,MLP,ANY_TARGET_EVENT,237,237,0,0,1.0,0.0024735645734465304,0.0073876700782422545
R,MLP,FOMC,34,34,0,0,1.0,0.0024735645734465304,0.007338688307628105
R,MLP,US Employment,49,49,0,0,1.0,0.0026367043777015156,0.00781657249527712
R,MLP,US CPI,48,48,0,0,1.0,0.0026598087279706994,0.008036087612709231
R,MLP,BoJ,36,36,0,0,1.0,0.0030403834570154106,0.008130181035050388
R,MLP,JPY National CPI,52,52,0,0,1.0,0.0026164631912390392,0.006384799567563843
R,MLP,JPY GDP,32,32,0,0,1.0,0.002600959631175791,0.007342685583716974
R,TRANSFORMER,ALL,1062,1062,0,0,1.0,0.0012815332439370022,0.006610219789350885
R,TRANSFORMER,ORDINARY,825,825,0,0,1.0,0.0012815332439370022,0.006397525355150172
R,TRANSFORMER,ANY_TARGET_EVENT,237,237,0,0,1.0,0.0016841104224165429,0.00789513170644942
R,TRANSFORMER,FOMC,34,34,0,0,1.0,0.0016984963499761692,0.00761293471467522
R,TRANSFORMER,US Employment,49,49,0,0,1.0,0.0018369328165780392,0.00948053391761068
R,TRANSFORMER,US CPI,48,48,0,0,1.0,0.0017830169660697727,0.008165876983477014
R,TRANSFORMER,BoJ,36,36,0,0,1.0,0.0029146569822069493,0.01060372826099168
R,TRANSFORMER,JPY National CPI,52,52,0,0,1.0,0.0016841104224165429,0.006046075588801211
R,TRANSFORMER,JPY GDP,32,32,0,0,1.0,0.002030944824795911,0.0071035410194615735
I,N18_LINEAR36,ALL,1071,1033,0,38,0.9645191409897292,-0.0381862981330923,0.0091789603239927
I,N18_LINEAR36,ORDINARY,834,799,0,35,0.9580335731414868,-0.0381862981330923,0.008395310816284949
I,N18_LINEAR36,ANY_TARGET_EVENT,237,234,0,3,0.9873417721518988,-0.0057264446137137,0.0116553851639892
I,N18_LINEAR36,FOMC,34,34,0,0,1.0,0.0019184041431619,0.01156158943375315
I,N18_LINEAR36,US Employment,49,48,0,1,0.9795918367346939,-0.0051501044595822,0.0122927474993686
I,N18_LINEAR36,US CPI,48,47,0,1,0.9791666666666666,-0.0021445607738524,0.01046889162272215
I,N18_LINEAR36,BoJ,36,36,0,0,1.0,0.0033323428944396,0.01745941482281535
I,N18_LINEAR36,JPY National CPI,52,52,0,0,1.0,0.0004845820021375,0.0097642693096589
I,N18_LINEAR36,JPY GDP,32,31,0,1,0.96875,-0.0057264446137137,0.00993656117377175
I,RANDOM_FOREST,ALL,1071,1071,0,0,1.0,0.002071985415463294,0.010064889469205692
I,RANDOM_FOREST,ORDINARY,834,834,0,0,1.0,0.002071985415463294,0.009726389386532313
I,RANDOM_FOREST,ANY_TARGET_EVENT,237,237,0,0,1.0,0.0026977386446540423,0.01230956894393693
I,RANDOM_FOREST,FOMC,34,34,0,0,1.0,0.0035476840901876926,0.011004331065616952
I,RANDOM_FOREST,US Employment,49,49,0,0,1.0,0.0034900382933290832,0.014211042809909804
I,RANDOM_FOREST,US CPI,48,48,0,0,1.0,0.0035149924963985006,0.01321658916994042
I,RANDOM_FOREST,BoJ,36,36,0,0,1.0,0.0037236679244039912,0.014289719069351971
I,RANDOM_FOREST,JPY National CPI,52,52,0,0,1.0,0.0026977386446540423,0.008801821855320986
I,RANDOM_FOREST,JPY GDP,32,32,0,0,1.0,0.0037171919417667092,0.010889626707015376
I,GRADIENT_BOOSTING,ALL,1071,1071,0,0,1.0,0.0026233295870217847,0.009681810880740865
I,GRADIENT_BOOSTING,ORDINARY,834,834,0,0,1.0,0.0026233295870217847,0.00933778432078975
I,GRADIENT_BOOSTING,ANY_TARGET_EVENT,237,237,0,0,1.0,0.004137518156826608,0.012508817279737131
I,GRADIENT_BOOSTING,FOMC,34,34,0,0,1.0,0.004179404246588894,0.010719939145284699
I,GRADIENT_BOOSTING,US Employment,49,49,0,0,1.0,0.004481822375703196,0.013834161358429797
I,GRADIENT_BOOSTING,US CPI,48,48,0,0,1.0,0.004179404246588894,0.013605836480805298
I,GRADIENT_BOOSTING,BoJ,36,36,0,0,1.0,0.004434730170748631,0.016931896060858823
