component,n_expected,n_n20,n_reference,n_compared,coverage_fraction,n_left_only,n_right_only,n_finite_compared,max_abs_diff,mean_abs_diff,tolerance,passed,source,comparison_object,target,sample_split,model,reference_model,forecast_scheme,comparison_available,difference_classification,derived_quantity,pass_basis,equation_eligible_status_passed,n_equation_eligible_compared,actual_missingness_mismatch_count,actual_missingness_mismatch_on_eligible,actual_missingness_mismatch_on_ineligible,actual_max_abs_diff,actual_mean_abs_diff,actual_tolerance,actual_passed,background_max_abs_diff,background_mean_abs_diff,background_tolerance,background_passed,defined_status_passed,n20_ratio_identity_max_abs_diff,n20_ratio_identity_tolerance,n20_ratio_identity_passed,reference_ratio_identity_max_abs_diff,reference_ratio_identity_tolerance,reference_ratio_identity_passed,weight_max_abs_diff,weight_mean_abs_diff,propagated_ratio_bound_max,total_propagated_ratio_bound_max,min_propagation_slack,propagated_ratio_consistency_passed,n_requested,n_equation_eligible,n_equation_ineligible,n_n19_reference_days,status,reason
ordinary_forecast,1181.0,1181.0,1181.0,1181.0,1.0,0.0,0.0,1181.0,9.974659986866641e-17,5.000880225495883e-17,1e-10,True,N17,ordinary_forecast,R,validation,PARAMETRIC_N17,R_PRIMARY_AR1_IV,fixed_train,True,CSV_ROUND_TRIP_SCALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ordinary_forecast_raw,1181.0,1181.0,1181.0,1181.0,1.0,0.0,0.0,1181.0,9.974659986866641e-17,5.000880225495883e-17,1e-10,True,N17,ordinary_forecast_raw,R,validation,PARAMETRIC_N17,R_PRIMARY_AR1_IV,fixed_train,True,CSV_ROUND_TRIP_SCALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ordinary_forecast_admissible,1181.0,1181.0,1181.0,1181.0,1.0,0.0,0.0,1181.0,9.974659986866641e-17,5.000880225495883e-17,1e-10,True,N17,ordinary_forecast_admissible,R,validation,PARAMETRIC_N17,R_PRIMARY_AR1_IV,fixed_train,True,CSV_ROUND_TRIP_SCALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ordinary_forecast,1087.0,1087.0,1087.0,1087.0,1.0,0.0,0.0,1087.0,1.6861512186494565e-15,9.362399948634348e-17,1e-10,True,N17,ordinary_forecast,I,validation,PARAMETRIC_N17,I_PRIMARY_FULL_12,fixed_train,True,CSV_ROUND_TRIP_SCALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ordinary_forecast_raw,1087.0,1087.0,1087.0,1087.0,1.0,0.0,0.0,1087.0,1.6861512186494565e-15,9.740549119419598e-17,1e-10,True,N17,ordinary_forecast_raw,I,validation,PARAMETRIC_N17,I_PRIMARY_FULL_12,fixed_train,True,CSV_ROUND_TRIP_SCALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ordinary_forecast_admissible,1087.0,1087.0,1087.0,1087.0,1.0,0.0,0.0,1087.0,1.6861512186494565e-15,9.362399948634348e-17,1e-10,True,N17,ordinary_forecast_admissible,I,validation,PARAMETRIC_N17,I_PRIMARY_FULL_12,fixed_train,True,CSV_ROUND_TRIP_SCALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ordinary_forecast,1182.0,1182.0,1182.0,1182.0,1.0,0.0,0.0,1182.0,9.974659986866641e-17,5.0015658798267005e-17,1e-10,True,N17,ordinary_forecast,R,test,PARAMETRIC_N17,R_PRIMARY_AR1_IV,fixed_train_validation,True,CSV_ROUND_TRIP_SCALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ordinary_forecast_raw,1182.0,1182.0,1182.0,1182.0,1.0,0.0,0.0,1182.0,9.974659986866641e-17,5.0015658798267005e-17,1e-10,True,N17,ordinary_forecast_raw,R,test,PARAMETRIC_N17,R_PRIMARY_AR1_IV,fixed_train_validation,True,CSV_ROUND_TRIP_SCALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ordinary_forecast_admissible,1182.0,1182.0,1182.0,1182.0,1.0,0.0,0.0,1182.0,9.974659986866641e-17,5.0015658798267005e-17,1e-10,True,N17,ordinary_forecast_admissible,R,test,PARAMETRIC_N17,R_PRIMARY_AR1_IV,fixed_train_validation,True,CSV_ROUND_TRIP_SCALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ordinary_forecast,1071.0,1071.0,1071.0,1071.0,1.0,0.0,0.0,1071.0,2.400857290751901e-15,1.9533415566129224e-16,1e-10,True,N17,ordinary_forecast,I,test,PARAMETRIC_N17,I_PRIMARY_FULL_12,fixed_train_validation,True,CSV_ROUND_TRIP_SCALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ordinary_forecast_raw,1071.0,1071.0,1071.0,1071.0,1.0,0.0,0.0,1071.0,2.400857290751901e-15,2.107372797678179e-16,1e-10,True,N17,ordinary_forecast_raw,I,test,PARAMETRIC_N17,I_PRIMARY_FULL_12,fixed_train_validation,True,CSV_ROUND_TRIP_SCALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ordinary_forecast_admissible,1071.0,1071.0,1071.0,1071.0,1.0,0.0,0.0,1071.0,2.400857290751901e-15,1.9533415566129224e-16,1e-10,True,N17,ordinary_forecast_admissible,I,test,PARAMETRIC_N17,I_PRIMARY_FULL_12,fixed_train_validation,True,CSV_ROUND_TRIP_SCALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eventless_background,281.0,281.0,281.0,281.0,1.0,0.0,0.0,259.0,9.93129189996722e-17,4.1671875624164863e-17,1e-10,True,N18,eventless_background,I,validation,PARAMETRIC_N17,,,True,CSV_ROUND_TRIP_SCALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eventless_background_raw,281.0,281.0,281.0,281.0,1.0,0.0,0.0,259.0,9.93129189996722e-17,4.6398620346412e-17,1e-10,True,N18,eventless_background_raw,I,validation,PARAMETRIC_N17,,,True,CSV_ROUND_TRIP_SCALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eventless_background_admissible,281.0,281.0,281.0,281.0,1.0,0.0,0.0,259.0,9.93129189996722e-17,4.1671875624164863e-17,1e-10,True,N18,eventless_background_admissible,I,validation,PARAMETRIC_N17,,,True,CSV_ROUND_TRIP_SCALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_weight,281.0,281.0,281.0,281.0,1.0,0.0,0.0,259.0,4.440892098500626e-16,3.257797292336367e-17,1e-10,True,N18,event_weight,I,validation,PARAMETRIC_N17,,,True,DERIVED_RATIO_NUMERICAL_PROPAGATION,True,PRIMITIVE_EQUIVALENCE_AND_RATIO_IDENTITY,True,259.0,22.0,0.0,22.0,0.0,0.0,1e-12,True,9.93129189996722e-17,4.1671875624164863e-17,1e-10,True,True,0.0,1e-12,True,9.015010959956271e-14,1e-11,True,4.440892098500626e-16,3.257797292336367e-17,9.013320033870798e-14,2.402479978597456e-13,1.4348296388414638e-14,True,,,,,,
eventless_background,276.0,276.0,276.0,276.0,1.0,0.0,0.0,251.0,9.8879238130678e-17,4.408944850422129e-17,1e-10,True,N18,eventless_background,I,test,PARAMETRIC_N17,,,True,CSV_ROUND_TRIP_SCALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eventless_background_raw,276.0,276.0,276.0,276.0,1.0,0.0,0.0,251.0,9.8879238130678e-17,4.5533035619937047e-17,1e-10,True,N18,eventless_background_raw,I,test,PARAMETRIC_N17,,,True,CSV_ROUND_TRIP_SCALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eventless_background_admissible,276.0,276.0,276.0,276.0,1.0,0.0,0.0,251.0,9.8879238130678e-17,4.408944850422129e-17,1e-10,True,N18,eventless_background_admissible,I,test,PARAMETRIC_N17,,,True,CSV_ROUND_TRIP_SCALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_weight,276.0,276.0,276.0,276.0,1.0,0.0,0.0,251.0,1.7763568394002505e-15,2.6926225746636018e-17,1e-10,True,N18,event_weight,I,test,PARAMETRIC_N17,,,True,DERIVED_RATIO_NUMERICAL_PROPAGATION,True,PRIMITIVE_EQUIVALENCE_AND_RATIO_IDENTITY,True,251.0,25.0,0.0,25.0,0.0,0.0,1e-12,True,9.8879238130678e-17,4.408944850422129e-17,1e-10,True,True,0.0,1e-12,True,1.6697754290362354e-13,1e-11,True,1.7763568394002505e-15,2.6926225746636018e-17,1.6694376573433094e-13,6.135500681036773e-13,1.4210854715202004e-14,True,,,,,,
eventless_background,281.0,281.0,281.0,281.0,1.0,0.0,0.0,279.0,9.8879238130678e-17,5.040646315320421e-17,1e-10,True,N18,eventless_background,R,validation,PARAMETRIC_N17,,,True,CSV_ROUND_TRIP_SCALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eventless_background_raw,281.0,281.0,281.0,281.0,1.0,0.0,0.0,279.0,9.8879238130678e-17,5.040646315320421e-17,1e-10,True,N18,eventless_background_raw,R,validation,PARAMETRIC_N17,,,True,CSV_ROUND_TRIP_SCALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eventless_background_admissible,281.0,281.0,281.0,281.0,1.0,0.0,0.0,279.0,9.8879238130678e-17,5.040646315320421e-17,1e-10,True,N18,eventless_background_admissible,R,validation,PARAMETRIC_N17,,,True,CSV_ROUND_TRIP_SCALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_weight,281.0,281.0,281.0,281.0,1.0,0.0,0.0,279.0,8.881784197001252e-16,2.4597011007040317e-17,1e-10,True,N18,event_weight,R,validation,PARAMETRIC_N17,,,True,DERIVED_RATIO_NUMERICAL_PROPAGATION,True,PRIMITIVE_EQUIVALENCE_AND_RATIO_IDENTITY,True,279.0,2.0,0.0,2.0,0.0,0.0,1e-12,True,9.8879238130678e-17,5.040646315320421e-17,1e-10,True,True,0.0,1e-12,True,7.72715225139109e-14,1e-11,True,8.881784197001252e-16,2.4597011007040317e-17,7.696042648033128e-14,3.2266117062068655e-13,1.4210854715202004e-14,True,,,,,,
eventless_background,276.0,276.0,276.0,276.0,1.0,0.0,0.0,274.0,9.8879238130678e-17,4.931457969070199e-17,1e-10,True,N18,eventless_background,R,test,PARAMETRIC_N17,,,True,CSV_ROUND_TRIP_SCALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eventless_background_raw,276.0,276.0,276.0,276.0,1.0,0.0,0.0,274.0,9.8879238130678e-17,4.931457969070199e-17,1e-10,True,N18,eventless_background_raw,R,test,PARAMETRIC_N17,,,True,CSV_ROUND_TRIP_SCALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eventless_background_admissible,276.0,276.0,276.0,276.0,1.0,0.0,0.0,274.0,9.8879238130678e-17,4.931457969070199e-17,1e-10,True,N18,eventless_background_admissible,R,test,PARAMETRIC_N17,,,True,CSV_ROUND_TRIP_SCALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_weight,276.0,276.0,276.0,276.0,1.0,0.0,0.0,274.0,3.552713678800501e-15,5.632153300105721e-17,1e-10,True,N18,event_weight,R,test,PARAMETRIC_N17,,,True,DERIVED_RATIO_NUMERICAL_PROPAGATION,True,PRIMITIVE_EQUIVALENCE_AND_RATIO_IDENTITY,True,274.0,2.0,0.0,2.0,0.0,0.0,1e-12,True,9.8879238130678e-17,4.931457969070199e-17,1e-10,True,True,0.0,1e-12,True,3.055333763768431e-13,1e-11,True,3.552713678800501e-15,5.632153300105721e-17,3.040327671328763e-13,1.3841229845185766e-12,1.4396862611694554e-14,True,,,,,,
ordinary_forecast,1181.0,1181.0,1181.0,1181.0,1.0,0.0,0.0,1181.0,1.1102230246251565e-16,4.947780942128769e-17,1e-10,True,N19,ordinary_forecast,R,validation,RF,,,True,CSV_ROUND_TRIP_SCALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ordinary_forecast_raw,1181.0,1181.0,1181.0,1181.0,1.0,0.0,0.0,1181.0,1.1102230246251565e-16,4.947780942128769e-17,1e-10,True,N19,ordinary_forecast_raw,R,validation,RF,,,True,CSV_ROUND_TRIP_SCALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ordinary_forecast_admissible,1181.0,1181.0,1181.0,1181.0,1.0,0.0,0.0,1181.0,1.1102230246251565e-16,4.947780942128769e-17,1e-10,True,N19,ordinary_forecast_admissible,R,validation,RF,,,True,CSV_ROUND_TRIP_SCALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ordinary_forecast,1182.0,1182.0,1182.0,1182.0,1.0,0.0,0.0,1182.0,1.0061396160665481e-16,5.0283498928864096e-17,1e-10,True,N19,ordinary_forecast,R,test,RF,,,True,CSV_ROUND_TRIP_SCALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ordinary_forecast_raw,1182.0,1182.0,1182.0,1182.0,1.0,0.0,0.0,1182.0,1.0061396160665481e-16,5.0283498928864096e-17,1e-10,True,N19,ordinary_forecast_raw,R,test,RF,,,True,CSV_ROUND_TRIP_SCALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ordinary_forecast_admissible,1182.0,1182.0,1182.0,1182.0,1.0,0.0,0.0,1182.0,1.0061396160665481e-16,5.0283498928864096e-17,1e-10,True,N19,ordinary_forecast_admissible,R,test,RF,,,True,CSV_ROUND_TRIP_SCALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ordinary_forecast,1209.0,1209.0,1209.0,1209.0,1.0,0.0,0.0,1209.0,1.0148132334464322e-16,5.0400962927129294e-17,1e-10,True,N19,ordinary_forecast,I,validation,RF,,,True,CSV_ROUND_TRIP_SCALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ordinary_forecast_raw,1209.0,1209.0,1209.0,1209.0,1.0,0.0,0.0,1209.0,1.0148132334464322e-16,5.0400962927129294e-17,1e-10,True,N19,ordinary_forecast_raw,I,validation,RF,,,True,CSV_ROUND_TRIP_SCALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ordinary_forecast_admissible,1209.0,1209.0,1209.0,1209.0,1.0,0.0,0.0,1209.0,1.0148132334464322e-16,5.0400962927129294e-17,1e-10,True,N19,ordinary_forecast_admissible,I,validation,RF,,,True,CSV_ROUND_TRIP_SCALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ordinary_forecast,1208.0,1208.0,1208.0,1208.0,1.0,0.0,0.0,1208.0,1.1102230246251565e-16,4.801471892540689e-17,1e-10,True,N19,ordinary_forecast,I,test,RF,,,True,CSV_ROUND_TRIP_SCALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ordinary_forecast_raw,1208.0,1208.0,1208.0,1208.0,1.0,0.0,0.0,1208.0,1.1102230246251565e-16,4.801471892540689e-17,1e-10,True,N19,ordinary_forecast_raw,I,test,RF,,,True,CSV_ROUND_TRIP_SCALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ordinary_forecast_admissible,1208.0,1208.0,1208.0,1208.0,1.0,0.0,0.0,1208.0,1.1102230246251565e-16,4.801471892540689e-17,1e-10,True,N19,ordinary_forecast_admissible,I,test,RF,,,True,CSV_ROUND_TRIP_SCALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ordinary_forecast,1168.0,1168.0,1168.0,1168.0,1.0,0.0,0.0,1168.0,9.8879238130678e-17,5.661837413480295e-17,1e-10,True,N19,ordinary_forecast,R,validation,GB,,,True,CSV_ROUND_TRIP_SCALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ordinary_forecast_raw,1168.0,1168.0,1168.0,1168.0,1.0,0.0,0.0,1168.0,9.8879238130678e-17,5.661837413480295e-17,1e-10,True,N19,ordinary_forecast_raw,R,validation,GB,,,True,CSV_ROUND_TRIP_SCALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ordinary_forecast_admissible,1168.0,1168.0,1168.0,1168.0,1.0,0.0,0.0,1168.0,9.8879238130678e-17,5.661837413480295e-17,1e-10,True,N19,ordinary_forecast_admissible,R,validation,GB,,,True,CSV_ROUND_TRIP_SCALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ordinary_forecast,1169.0,1169.0,1169.0,1169.0,1.0,0.0,0.0,1169.0,9.8879238130678e-17,4.543595444755848e-17,1e-10,True,N19,ordinary_forecast,R,test,GB,,,True,CSV_ROUND_TRIP_SCALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ordinary_forecast_raw,1169.0,1169.0,1169.0,1169.0,1.0,0.0,0.0,1169.0,9.8879238130678e-17,4.543595444755848e-17,1e-10,True,N19,ordinary_forecast_raw,R,test,GB,,,True,CSV_ROUND_TRIP_SCALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ordinary_forecast_admissible,1169.0,1169.0,1169.0,1169.0,1.0,0.0,0.0,1169.0,9.8879238130678e-17,4.543595444755848e-17,1e-10,True,N19,ordinary_forecast_admissible,R,test,GB,,,True,CSV_ROUND_TRIP_SCALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
