event_id,event_label,event_timestamp,realised_model_day,implied_model_day,event_timestamp_utc,sample_split,target,target_model_day,n_target_occurrences,is_overlap
JPY_National_CPI__20170331,JPY National CPI,2017-03-31 00:30:04+00:00,2017-03-31,2017-03-31,2017-03-31 00:30:04+00:00,validation,I,2017-03-31,1,False
US_Employment__20170407,US Employment,2017-04-07 13:30:01+00:00,2017-04-07,2017-04-07,2017-04-07 13:30:01+00:00,validation,I,2017-04-07,1,False
US_CPI__20170414,US CPI,2017-04-14 13:30:02+00:00,2017-04-14,2017-04-14,2017-04-14 13:30:02+00:00,validation,I,2017-04-14,1,False
BoJ__20170427,BoJ,2017-04-27 04:14:00+00:00,2017-04-27,2017-04-27,2017-04-27 04:14:00+00:00,validation,I,2017-04-27,1,False
JPY_National_CPI__20170428,JPY National CPI,2017-04-28 00:30:04+00:00,2017-04-28,2017-04-28,2017-04-28 00:30:04+00:00,validation,I,2017-04-28,1,False
FOMC__20170503,FOMC,2017-05-03 19:00:00+00:00,2017-05-03,2017-05-03,2017-05-03 19:00:00+00:00,validation,I,2017-05-03,1,False
US_Employment__20170505,US Employment,2017-05-05 13:30:01+00:00,2017-05-05,2017-05-05,2017-05-05 13:30:01+00:00,validation,I,2017-05-05,1,False
US_CPI__20170512,US CPI,2017-05-12 13:30:02+00:00,2017-05-12,2017-05-12,2017-05-12 13:30:02+00:00,validation,I,2017-05-12,1,False
JPY_GDP__20170518,JPY GDP,2017-05-18 00:50:01+00:00,2017-05-18,2017-05-18,2017-05-18 00:50:01+00:00,validation,I,2017-05-18,1,False
JPY_National_CPI__20170526,JPY National CPI,2017-05-26 00:30:04+00:00,2017-05-26,2017-05-26,2017-05-26 00:30:04+00:00,validation,I,2017-05-26,1,False
US_Employment__20170602,US Employment,2017-06-02 13:30:01+00:00,2017-06-02,2017-06-02,2017-06-02 13:30:01+00:00,validation,I,2017-06-02,1,False
JPY_GDP__20170608,JPY GDP,2017-06-08 00:50:01+00:00,2017-06-08,2017-06-08,2017-06-08 00:50:01+00:00,validation,I,2017-06-08,1,False
FOMC__20170614,FOMC,2017-06-14 19:00:00+00:00,2017-06-14,2017-06-14,2017-06-14 19:00:00+00:00,validation,I,2017-06-14,2,True
US_CPI__20170614,US CPI,2017-06-14 13:30:02+00:00,2017-06-14,2017-06-14,2017-06-14 13:30:02+00:00,validation,I,2017-06-14,2,True
BoJ__20170616,BoJ,2017-06-16 03:54:00+00:00,2017-06-16,2017-06-16,2017-06-16 03:54:00+00:00,validation,I,2017-06-16,1,False
JPY_National_CPI__20170630,JPY National CPI,2017-06-30 00:30:04+00:00,2017-06-30,2017-06-30,2017-06-30 00:30:04+00:00,validation,I,2017-06-30,1,False
US_Employment__20170707,US Employment,2017-07-07 13:30:01+00:00,2017-07-07,2017-07-07,2017-07-07 13:30:01+00:00,validation,I,2017-07-07,1,False
US_CPI__20170714,US CPI,2017-07-14 13:30:02+00:00,2017-07-14,2017-07-14,2017-07-14 13:30:02+00:00,validation,I,2017-07-14,1,False
BoJ__20170720,BoJ,2017-07-20 04:10:00+00:00,2017-07-20,2017-07-20,2017-07-20 04:10:00+00:00,validation,I,2017-07-20,1,False
FOMC__20170726,FOMC,2017-07-26 19:00:00+00:00,2017-07-26,2017-07-26,2017-07-26 19:00:00+00:00,validation,I,2017-07-26,1,False
JPY_National_CPI__20170728,JPY National CPI,2017-07-28 00:30:04+00:00,2017-07-28,2017-07-28,2017-07-28 00:30:04+00:00,validation,I,2017-07-28,1,False
US_Employment__20170804,US Employment,2017-08-04 13:30:01+00:00,2017-08-04,2017-08-04,2017-08-04 13:30:01+00:00,validation,I,2017-08-04,1,False
US_CPI__20170811,US CPI,2017-08-11 13:30:02+00:00,2017-08-11,2017-08-11,2017-08-11 13:30:02+00:00,validation,I,2017-08-11,1,False
