event_id,event_label,event_timestamp,realised_model_day,implied_model_day,target_model_day,model_day,model_day_role,sample_split,forecast_stage,is_out_of_sample,target,model,actual,background_forecast,equation_eligible,background_positive,weight_defined,response_ratio,event_weight,undefined_reason,n_target_occurrences,n_target_families,family_set,is_clean_single_family,is_overlap
BoJ__20211217,BoJ,2021-12-17 02:57:00+00:00,2021-12-17,2021-12-16,2021-12-17,2021-12-17,TARGET_SPECIFIC_RESPONSE_DAY,test,test_oos_background,True,R,N18_SPARSE_LINEAR,0.0050827517417439,0.0046243564952959115,True,True,True,1.0991262777673578,1.0991262777673578,,1,1,BoJ,True,False
BoJ__20220118,BoJ,2022-01-18 02:46:00+00:00,2022-01-18,2022-01-17,2022-01-18,2022-01-18,TARGET_SPECIFIC_RESPONSE_DAY,test,test_oos_background,True,R,N18_SPARSE_LINEAR,0.0040427899908479,0.004807151528729202,True,True,True,0.8409949149068398,0.8409949149068398,,1,1,BoJ,True,False
BoJ__20220318,BoJ,2022-03-18 02:51:00+00:00,2022-03-18,2022-03-17,2022-03-18,2022-03-18,TARGET_SPECIFIC_RESPONSE_DAY,test,test_oos_background,True,R,N18_SPARSE_LINEAR,0.0021032887114348,0.0049612005326121564,True,True,True,0.4239475299595243,0.4239475299595243,,2,2,BoJ | JPY National CPI,False,True
BoJ__20220428,BoJ,2022-04-28 04:09:00+00:00,2022-04-28,2022-04-27,2022-04-28,2022-04-28,TARGET_SPECIFIC_RESPONSE_DAY,test,test_oos_background,True,R,N18_SPARSE_LINEAR,0.0323044693713756,0.01848149385320723,True,True,True,1.7479360504058803,1.7479360504058803,,1,1,BoJ,True,False
BoJ__20220617,BoJ,2022-06-17 03:43:00+00:00,2022-06-17,2022-06-16,2022-06-17,2022-06-17,TARGET_SPECIFIC_RESPONSE_DAY,test,test_oos_background,True,R,N18_SPARSE_LINEAR,0.0267804000737028,0.046824414290004016,True,True,True,0.571932409188081,0.571932409188081,,1,1,BoJ,True,False
BoJ__20220721,BoJ,2022-07-21 04:04:00+00:00,2022-07-21,2022-07-20,2022-07-21,2022-07-21,TARGET_SPECIFIC_RESPONSE_DAY,test,test_oos_background,True,R,N18_SPARSE_LINEAR,0.0086077586586148,0.011697924248969607,True,True,True,0.7358364163943872,0.7358364163943872,,1,1,BoJ,True,False
BoJ__20220922,BoJ,2022-09-22 03:51:00+00:00,2022-09-22,2022-09-21,2022-09-22,2022-09-22,TARGET_SPECIFIC_RESPONSE_DAY,test,test_oos_background,True,R,N18_SPARSE_LINEAR,0.2394274907014956,0.02377571023111057,True,True,True,10.070256088005488,10.070256088005488,,1,1,BoJ,True,False
BoJ__20221028,BoJ,2022-10-28 03:50:00+00:00,2022-10-28,2022-10-27,2022-10-28,2022-10-28,TARGET_SPECIFIC_RESPONSE_DAY,test,test_oos_background,True,R,N18_SPARSE_LINEAR,0.0110479556928747,0.02720072942650059,True,True,True,0.4061639494899396,0.4061639494899396,,1,1,BoJ,True,False
BoJ__20221220,BoJ,2022-12-20 03:01:00+00:00,2022-12-20,2022-12-19,2022-12-20,2022-12-20,TARGET_SPECIFIC_RESPONSE_DAY,test,test_oos_background,True,R,N18_SPARSE_LINEAR,0.228954977934858,0.01970058214863299,True,True,True,11.621736667855018,11.621736667855018,,1,1,BoJ,True,False
BoJ__20230118,BoJ,2023-01-18 02:40:00+00:00,2023-01-18,2023-01-17,2023-01-18,2023-01-18,TARGET_SPECIFIC_RESPONSE_DAY,test,test_oos_background,True,R,N18_SPARSE_LINEAR,0.10362595232115,0.08643568508504168,True,True,True,1.198879284860128,1.198879284860128,,1,1,BoJ,True,False
