model_day,sample_split,canonical_index,next_model_day,P_R,Z_R,P_I_prev,Z_I_prev,D,n_models_R,n_models_I_prev,is_known_primary_event_pair,S,signal_group,validation_defined_quintile,candidate_type,episode_id,opposite_channel_active,strict_cross_channel_dislocation,model_agreement_label,signal_threshold_source,signal_application_eligible,raw_S,signal_group_raw,validation_defined_quintile_raw,hidden_state_information_timing,signal_information_timing,diagnostic_information_role,calendar_and_mof_role
2003-05-05,train,0,2003-05-06,,,,,,,,,,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,,False,False,NOT_PRIMARY_CANDIDATE,VALIDATION,False,,,,AVAILABLE_AFTER_MODEL_DAY_T,EX_ANTE_BEFORE_R_T,POST_DISCOVERY_DIAGNOSTIC,POST_DISCOVERY_DIAGNOSTIC_ONLY
2003-05-06,train,1,2003-05-07,,,,,,,,,,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,,False,False,NOT_PRIMARY_CANDIDATE,VALIDATION,False,,,,AVAILABLE_AFTER_MODEL_DAY_T,EX_ANTE_BEFORE_R_T,POST_DISCOVERY_DIAGNOSTIC,POST_DISCOVERY_DIAGNOSTIC_ONLY
2003-05-07,train,2,2003-05-08,,,,,,,,,,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,,False,False,NOT_PRIMARY_CANDIDATE,VALIDATION,False,,,,AVAILABLE_AFTER_MODEL_DAY_T,EX_ANTE_BEFORE_R_T,POST_DISCOVERY_DIAGNOSTIC,POST_DISCOVERY_DIAGNOSTIC_ONLY
2003-05-08,train,3,2003-05-09,,,,,,,,,,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,,False,False,NOT_PRIMARY_CANDIDATE,VALIDATION,False,,,,AVAILABLE_AFTER_MODEL_DAY_T,EX_ANTE_BEFORE_R_T,POST_DISCOVERY_DIAGNOSTIC,POST_DISCOVERY_DIAGNOSTIC_ONLY
2003-05-09,train,4,2003-05-12,,,,,,,,,,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,,False,False,NOT_PRIMARY_CANDIDATE,VALIDATION,False,,,,AVAILABLE_AFTER_MODEL_DAY_T,EX_ANTE_BEFORE_R_T,POST_DISCOVERY_DIAGNOSTIC,POST_DISCOVERY_DIAGNOSTIC_ONLY
2003-05-12,train,5,2003-05-13,,,,,,,,,,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,,False,False,NOT_PRIMARY_CANDIDATE,VALIDATION,False,,,,AVAILABLE_AFTER_MODEL_DAY_T,EX_ANTE_BEFORE_R_T,POST_DISCOVERY_DIAGNOSTIC,POST_DISCOVERY_DIAGNOSTIC_ONLY
2003-05-13,train,6,2003-05-14,,,,,,,,,,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,,False,False,NOT_PRIMARY_CANDIDATE,VALIDATION,False,,,,AVAILABLE_AFTER_MODEL_DAY_T,EX_ANTE_BEFORE_R_T,POST_DISCOVERY_DIAGNOSTIC,POST_DISCOVERY_DIAGNOSTIC_ONLY
2003-05-14,train,7,2003-05-15,,,,,,,,,,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,,False,False,NOT_PRIMARY_CANDIDATE,VALIDATION,False,,,,AVAILABLE_AFTER_MODEL_DAY_T,EX_ANTE_BEFORE_R_T,POST_DISCOVERY_DIAGNOSTIC,POST_DISCOVERY_DIAGNOSTIC_ONLY
2003-05-15,train,8,2003-05-16,,,,,,,,,,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,,False,False,NOT_PRIMARY_CANDIDATE,VALIDATION,False,,,,AVAILABLE_AFTER_MODEL_DAY_T,EX_ANTE_BEFORE_R_T,POST_DISCOVERY_DIAGNOSTIC,POST_DISCOVERY_DIAGNOSTIC_ONLY
2003-05-16,train,9,2003-05-19,,,,,,,,,,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,,False,False,NOT_PRIMARY_CANDIDATE,VALIDATION,False,,,,AVAILABLE_AFTER_MODEL_DAY_T,EX_ANTE_BEFORE_R_T,POST_DISCOVERY_DIAGNOSTIC,POST_DISCOVERY_DIAGNOSTIC_ONLY
