hidden_episode_id,primary_state,start_day,end_day,peak_day,peak_tail_p,number_of_days
E21_PRIMARY_001,REALISED_ONLY,2021-11-25,2021-11-26,2021-11-25,0.002176278563656148,2
E21_PRIMARY_002,IMPLIED_ONLY,2021-11-29,2021-11-29,2021-11-29,0.006485056485056484,1
E21_PRIMARY_003,REALISED_ONLY,2021-11-30,2021-11-30,2021-11-30,0.014145810663764968,1
E21_PRIMARY_004,REALISED_ONLY,2021-12-31,2021-12-31,2021-12-31,0.04159403406943696,1
E21_PRIMARY_005,IMPLIED_ONLY,2022-01-05,2022-01-05,2022-01-05,0.0616711101694416,1
E21_PRIMARY_006,IMPLIED_ONLY,2022-02-14,2022-02-14,2022-02-14,0.03593951093951098,1
E21_PRIMARY_007,REALISED_ONLY,2022-02-24,2022-02-24,2022-02-24,0.016322089227421177,1
E21_PRIMARY_008,REALISED_ONLY,2022-03-22,2022-03-22,2022-03-22,0.028291621327529937,1
E21_PRIMARY_009,REALISED_ONLY,2022-03-28,2022-03-28,2022-03-28,0.005440696409140355,1
E21_PRIMARY_010,IMPLIED_ONLY,2022-03-29,2022-03-29,2022-03-29,0.010582010582010581,1
E21_PRIMARY_011,IMPLIED_ONLY,2022-04-20,2022-04-20,2022-04-20,0.02177534677534676,1
E21_PRIMARY_012,IMPLIED_ONLY,2022-06-07,2022-06-07,2022-06-07,0.05760074391887526,1
E21_PRIMARY_013,IMPLIED_ONLY,2022-06-14,2022-06-14,2022-06-14,0.05598938760785255,1
E21_PRIMARY_014,REALISED_ONLY,2022-07-29,2022-07-29,2022-07-29,0.028291621327529826,1
E21_PRIMARY_015,IMPLIED_ONLY,2022-08-01,2022-08-01,2022-08-01,0.01948078700025302,1
E21_PRIMARY_016,IMPLIED_ONLY,2022-09-07,2022-09-07,2022-09-07,0.02952237952237946,1
E21_PRIMARY_017,JOINT,2022-10-17,2022-10-17,2022-10-17,0.03373231773667029,1
E21_PRIMARY_018,REALISED_ONLY,2022-10-19,2022-10-19,2022-10-19,0.01088139281828074,1
E21_PRIMARY_019,REALISED_ONLY,2023-01-02,2023-01-02,2023-01-02,0.009793253536452665,1
E21_PRIMARY_020,IMPLIED_ONLY,2023-01-03,2023-01-03,2023-01-03,0.03055011152897702,1
E21_PRIMARY_021,REALISED_ONLY,2023-02-10,2023-02-10,2023-02-10,0.04896626768226331,1
E21_PRIMARY_022,REALISED_ONLY,2023-06-07,2023-06-07,2023-06-07,0.044613710554951,1
E21_PRIMARY_023,IMPLIED_ONLY,2023-08-01,2023-08-01,2023-08-01,0.04665737165737166,1
E21_PRIMARY_024,REALISED_ONLY,2023-08-29,2023-08-29,2023-08-29,0.04570184983677916,1
E21_PRIMARY_025,REALISED_ONLY,2023-10-03,2023-10-03,2023-10-03,0.042437431991294905,1
E21_PRIMARY_026,IMPLIED_ONLY,2023-10-04,2023-10-04,2023-10-04,0.020105820105820182,1
E21_PRIMARY_027,REALISED_ONLY,2023-11-17,2023-11-17,2023-11-17,0.044613710554951,1
E21_PRIMARY_028,IMPLIED_ONLY,2023-11-21,2023-11-21,2023-11-21,0.04235276115142628,1
E21_PRIMARY_029,REALISED_ONLY,2023-12-07,2023-12-07,2023-12-07,0.0043525571273121955,1
E21_PRIMARY_030,IMPLIED_ONLY,2023-12-21,2023-12-21,2023-12-21,0.024146759185691334,1
E21_PRIMARY_031,IMPLIED_ONLY,2024-02-29,2024-02-29,2024-02-29,0.035895262814061524,1
E21_PRIMARY_032,IMPLIED_ONLY,2024-03-18,2024-03-18,2024-03-18,0.05144354588181062,1
E21_PRIMARY_033,REALISED_ONLY,2024-04-09,2024-04-09,2024-04-09,0.028291621327529923,1
E21_PRIMARY_034,REALISED_ONLY,2024-04-16,2024-04-16,2024-04-16,0.04461371055495103,1
E21_PRIMARY_035,JOINT,2024-04-25,2024-04-25,2024-04-25,0.01088139281828074,1
E21_PRIMARY_036,JOINT,2024-04-30,2024-04-30,2024-04-30,0.03808487486398259,1
E21_PRIMARY_037,IMPLIED_ONLY,2024-06-05,2024-06-05,2024-06-05,0.03811995691862213,1
E21_PRIMARY_038,IMPLIED_ONLY,2024-06-18,2024-06-18,2024-06-18,0.035815570854503,1
E21_PRIMARY_039,IMPLIED_ONLY,2024-06-27,2024-06-27,2024-06-27,0.02177534677534676,1
E21_PRIMARY_040,REALISED_ONLY,2024-07-02,2024-07-02,2024-07-02,0.01958650707290533,1
E21_PRIMARY_041,REALISED_ONLY,2024-07-17,2024-07-17,2024-07-17,0.016322089227421177,1
E21_PRIMARY_042,IMPLIED_ONLY,2024-07-18,2024-07-18,2024-07-18,0.033862433862433816,1
E21_PRIMARY_043,REALISED_ONLY,2024-07-25,2024-07-25,2024-07-25,0.03917301414581076,1
E21_PRIMARY_044,IMPLIED_ONLY,2024-08-06,2024-08-06,2024-08-06,0.012115687115687113,1
E21_PRIMARY_045,JOINT,2024-09-27,2024-09-27,2024-09-27,0.0043525571273121955,1
E21_PRIMARY_046,IMPLIED_ONLY,2024-10-24,2024-10-24,2024-10-24,0.05261100922947415,1
E21_PRIMARY_047,IMPLIED_ONLY,2024-10-28,2024-10-28,2024-10-28,0.005426855426855393,1
E21_PRIMARY_048,REALISED_ONLY,2024-11-29,2024-11-29,2024-11-29,0.029379760609357986,1
E21_PRIMARY_049,IMPLIED_ONLY,2025-01-14,2025-01-14,2025-01-14,0.05377847257713775,1
E21_PRIMARY_050,IMPLIED_ONLY,2025-04-01,2025-04-01,2025-04-01,0.033823108823108794,1
E21_PRIMARY_051,REALISED_ONLY,2025-04-09,2025-04-09,2025-04-09,0.010881392818280822,1
E21_PRIMARY_052,IMPLIED_ONLY,2025-04-14,2025-04-14,2025-04-14,0.03064850564850563,1
E21_PRIMARY_053,REALISED_ONLY,2025-05-12,2025-05-12,2025-05-12,0.008705114254624613,1
E21_PRIMARY_054,IMPLIED_ONLY,2025-10-06,2025-10-06,2025-10-06,0.015683091322690856,1
E21_PRIMARY_055,IMPLIED_ONLY,2026-02-09,2026-02-09,2026-02-09,0.009523809523809601,1
E21_PRIMARY_056,REALISED_ONLY,2026-04-17,2026-04-17,2026-04-17,0.0380848748639826,1
E21_PRIMARY_057,IMPLIED_ONLY,2026-04-20,2026-04-20,2026-04-20,0.03915343915343916,1
E21_PRIMARY_058,IMPLIED_ONLY,2026-05-01,2026-05-01,2026-05-01,0.02515372515372516,1
