realised_model_day,implied_reference_model_day,sample_split,previous_sample_split,canonical_index,sample_split_R,P_R,n_models_R,Z_R,sample_split_I_prev,P_I_prev,n_models_I_prev,Z_I_prev,D,is_known_primary_event_pair,candidate_type,model_day,one_day_model_day,D_next,Z_R_next,Z_I_next,Z_R_next5_mean,Z_I_next5_mean,n_Z_R_next5,n_Z_I_next5,convergence_next,is_realised_only_candidate,is_implied_only_candidate,is_realised_high_control,is_implied_high_control,is_ordinary_control,is_dual_high_control,episode_id,opposite_channel_active,strict_cross_channel_dislocation
2021-11-16,2021-11-15,test,test,4836,test,0.4792724196277496,4,-0.051979736823750906,test,0.8971074380165289,3,1.2652405123474524,-1.3172202491712033,True,NONE,2021-11-16,2021-11-17,-1.2393844097578208,0.26606892717601965,0.5818904168823169,0.7270151642116369,0.732081018070077,5,5,-0.07783583941338246,False,False,False,False,False,False,,False,False
2021-11-17,2021-11-16,test,test,4837,test,0.6049069373942471,4,0.26606892717601965,test,0.9338962174189447,4,1.5054533369338405,-1.2393844097578208,False,NONE,2021-11-17,2021-11-18,-0.6253777912952349,-0.04348737441291793,-0.2675680829176023,0.6124118565618251,0.6192746316050077,5,5,-0.614006618462586,False,False,False,False,True,False,,False,False
2021-11-18,2021-11-17,test,test,4838,test,0.48265651438240276,4,-0.04348737441291793,test,0.7196797520661157,4,0.5818904168823169,-0.6253777912952349,False,NONE,2021-11-18,2021-11-19,1.6588874760564003,1.391319393138798,1.1236793538559702,0.049015072217049836,0.48435357832812376,5,5,1.0335096847611656,False,False,False,False,True,False,,False,False
2021-11-19,2021-11-18,test,test,4839,test,0.9179357021996616,4,1.391319393138798,test,0.39451590076590076,4,-0.2675680829176023,1.6588874760564003,True,NONE,2021-11-19,2021-11-22,-0.041533710841753946,1.0821456430142162,1.008522976241478,0.3428454528166486,0.7934428760501453,5,5,-1.6173537652146464,False,False,False,False,False,False,,False,False
2021-11-22,2021-11-19,test,test,4840,test,0.8604060913705585,4,1.0821456430142162,test,0.8694254609027336,4,1.1236793538559702,-0.041533710841753946,True,NONE,2021-11-22,2021-11-23,-0.06949374409940923,0.9390292321420688,1.2138804262882221,0.23354166129761983,0.5473856409931863,5,5,0.02796003325765528,False,False,False,False,False,False,,False,False
2021-11-23,2021-11-22,test,test,4841,test,0.8261421319796954,4,0.9390292321420688,test,0.8433982683982684,4,1.008522976241478,-0.06949374409940923,False,NONE,2021-11-23,2021-11-24,-1.5208280373612622,-0.3069476110730401,0.01785848455697031,0.5038210765309385,0.45867498281770036,5,5,1.451334293261853,False,False,False,False,True,False,,False,False
2021-11-24,2021-11-23,test,test,4842,test,0.37944162436548223,4,-0.3069476110730401,test,0.887603305785124,4,1.2138804262882221,-1.5208280373612622,False,NONE,2021-11-24,2021-11-25,-2.8783297806937638,-2.8604712961367933,-0.9421733493020223,0.5465215668578898,0.32033534311884226,5,5,1.3575017433325016,False,False,False,False,True,False,,False,False
2021-11-25,2021-11-24,test,test,4843,test,0.0021150592216582064,4,-2.8604712961367933,test,0.5071241258741259,4,0.01785848455697031,-2.8783297806937638,False,NONE,2021-11-25,2021-11-26,3.8026446454388134,2.860471296136791,2.6691258424660784,0.9230897602064217,0.7595285573123687,5,5,0.9243148647450496,False,False,False,False,True,False,,False,False
2021-11-26,2021-11-25,test,test,4844,test,0.9978849407783418,4,2.860471296136791,test,0.17305194805194807,4,-0.9421733493020223,3.8026446454388134,False,REALISED_ONLY,2021-11-26,2021-11-29,-2.133499157047006,0.5356266854190722,-0.22176319904331665,0.4346378360654873,0.22326180712773774,5,5,-1.6691454883918073,True,False,False,False,False,False,E21_001,False,True
2021-11-29,2021-11-26,test,test,4845,test,0.7038917089678511,4,0.5356266854190722,test,0.9961975524475525,4,2.6691258424660784,-2.133499157047006,False,NONE,2021-11-29,2021-11-30,2.5121895073519798,2.290426308308663,0.7703271354107922,0.16433049728494598,0.24671751222178476,5,5,0.37869035030497367,False,False,False,True,False,False,,False,False
