episode_id,candidate_type,start_day,end_day,n_days,peak_day,implied_reference_day,peak_D,P_R,P_I_prev,Z_R,Z_I_prev,n_models_R,n_models_I_prev,canonical_index,data_quality_flag,matched_calendar_event,matched_event_family,raw_event_labels,n_raw_component_rows,n_exact_coherent_families,event_timestamp,timing_relation,number_of_nearby_events,annotation_status,P_I_same,Z_I_same,P_I_next,Z_I_next,P_R_next,Z_R_next,D_next,Z_R_next5_mean,Z_I_next5_mean,n_Z_R_next5,n_Z_I_next5,implied_catches_up_same_day,implied_catches_up_next_day,realised_materialises_next_day,possible_timing_or_delayed_response,n_models_flagging_same_direction,models_flagging_same_direction,model_agreement_fraction,model_agreement_label
E21_001,REALISED_ONLY,2021-11-26,2021-11-26,1,2021-11-26,2021-11-25,3.8026446454388134,0.9978849407783418,0.17305194805194807,2.860471296136791,-0.9421733493020223,4,4,4844,,Tokyo CPI Ex-Fresh Food YoY,JPY: Tokyo CPI Ex-Fresh Food YoY,Tokyo CPI Ex-Fresh Food YoY,1,1,2021-11-25 23:30:00+00:00,EXACT_MODEL_DAY,1,NONCANONICAL_SCHEDULED_EVENT,0.9961975524475525,2.6691258424660784,0.4122491145218418,-0.22176319904331665,0.7038917089678511,0.5356266854190722,-2.133499157047006,0.4346378360654873,0.22326180712773774,5,5,True,False,False,True,4,GB | MLP | RF | TRANSFORMER,1.0,HIGH_4_OF_4
E21_002,IMPLIED_ONLY,2022-03-02,2022-03-02,1,2022-03-02,2022-03-01,-3.527813946596049,0.04272419627749577,0.9646890987800079,-1.7199122549297794,1.8079016916662698,4,4,4912,,Capital Spending YoY | ADP Employment Change | MBA Mortgage Applications,JPY: Capital Spending YoY | USD: ADP Employment Change | USD: MBA Mortgage Applications,Capital Spending YoY | ADP Employment Change | MBA Mortgage Applications,3,3,2022-03-01 23:50:00+00:00 | 2022-03-02 13:15:00+00:00 | 2022-03-02 12:00:00+00:00,EXACT_MODEL_DAY,11,MULTIPLE_EVENTS,0.3449102034329307,-0.3990987994256294,0.8173722111222111,0.905396106369111,0.10829103214890018,-1.2356678188857964,-0.8365690194601669,-0.7723682204900573,0.8552556408697416,5,5,False,False,False,False,3,GB | MLP | RF,0.75,STRONG_3_OF_4
E21_003,IMPLIED_ONLY,2022-10-17,2022-10-17,1,2022-10-17,2022-10-14,-4.084043405625424,0.015651438240270727,0.9732487209759937,-2.1532011100885393,1.9308422955368851,4,4,5075,,Industrial Production MoM | Tertiary Industry Index MoM | Empire Manufacturing,JPY: Industrial Production MoM | JPY: Tertiary Industry Index MoM | USD: Empire Manufacturing,Industrial Production MoM | Tertiary Industry Index MoM | Empire Manufacturing,3,3,2022-10-17 05:30:00+00:00 | 2022-10-17 05:30:00+00:00 | 2022-10-17 13:30:00+00:00,EXACT_MODEL_DAY,6,MULTIPLE_EVENTS,0.7829028925619834,0.7820346423164221,0.5894429434202162,0.2261122551731205,0.11330909609352724,-1.2091162366135513,-1.9911508789299734,-0.10671202165101627,0.7776198840397214,5,5,False,False,False,False,4,GB | MLP | RF | TRANSFORMER,1.0,HIGH_4_OF_4
E21_004,IMPLIED_ONLY,2023-09-12,2023-09-12,1,2023-09-12,2023-09-11,-3.1700938906786726,0.06598984771573604,0.9519191036236491,-1.5063408546219308,1.6637530360567419,4,4,5311,,,,,0,0,,PLUS_MINUS_ONE_MODEL_DAY,3,NEAR_PRIMARY_EVENT,0.9825452956134775,2.1094076612202803,0.2194409756909757,-0.7740825916350458,0.010998307952622674,-2.290426308308663,-4.3998339695289435,-1.2785133345975115,-0.542420954421313,5,5,False,False,False,False,2,GB | MLP,0.5,MODERATE_2_OF_4
E21_005,IMPLIED_ONLY,2023-10-04,2023-10-04,1,2023-10-04,2023-10-03,-3.441254330597106,0.1218274111675127,0.9885576544667454,-1.1659001401262195,2.2753541904708863,4,4,5327,,ADP Employment Change | Durable Goods Orders | Factory Orders | ISM Services Index | MBA Mortgage Applications,USD: ADP Employment Change | USD: Durable Goods Orders | USD: Factory Orders | USD: ISM Services Index | USD: MBA Mortgage Applications,ADP Employment Change | Durable Goods Orders | Factory Orders | ISM Services Index | MBA Mortgage Applications,5,5,2023-10-04 13:15:00+00:00 | 2023-10-04 15:00:00+00:00 | 2023-10-04 15:00:00+00:00 | 2023-10-04 15:00:00+00:00 | 2023-10-04 12:00:00+00:00,EXACT_MODEL_DAY,7,MULTIPLE_EVENTS,0.0959366391184573,-1.3050574730530355,0.9012436427209154,1.2886703500525512,0.8991981591566685,1.2769959370165138,2.582053410069549,0.21221744241782164,0.27053304748731205,5,5,False,False,False,False,4,GB | MLP | RF | TRANSFORMER,1.0,HIGH_4_OF_4
E21_006,REALISED_ONLY,2023-12-07,2023-12-07,1,2023-12-07,2023-12-06,3.5031761959063656,0.9974619289340101,0.2416469893742621,2.8021617159609327,-0.7010144799454329,4,4,5373,,Initial Jobless Claims | Wholesale Inventories MoM,USD: Initial Jobless Claims | USD: Wholesale Inventories MoM,Initial Jobless Claims | Wholesale Inventories MoM,2,2,2023-12-07 13:30:00+00:00 | 2023-12-07 15:00:00+00:00,EXACT_MODEL_DAY,9,MULTIPLE_EVENTS,0.9957792207792209,2.633878922239655,0.5412337662337663,0.10354244088398747,0.7072758037225042,0.545443699044668,-2.088435223194987,0.7336702178634145,0.6450610667006834,5,5,True,False,False,True,4,GB | MLP | RF | TRANSFORMER,1.0,HIGH_4_OF_4
E21_007,IMPLIED_ONLY,2024-04-25,2024-04-25,1,2024-04-25,2024-04-24,-4.902868385054117,0.005499153976311337,0.9908653846153846,-2.5427525755232856,2.3601158095308317,4,4,5473,,GDP Annualized QoQ | Initial Jobless Claims | Wholesale Inventories MoM,USD: GDP Annualized QoQ | USD: Initial Jobless Claims | USD: Wholesale Inventories MoM,GDP Annualized QoQ | Initial Jobless Claims | Wholesale Inventories MoM,3,3,2024-04-25 13:30:00+00:00 | 2024-04-25 13:30:00+00:00 | 2024-04-25 13:30:00+00:00,EXACT_MODEL_DAY,10,MULTIPLE_EVENTS,0.9983113477431659,2.9311308880766127,0.9747835497835498,1.9562738715130874,0.12013536379018613,-1.1743103789066796,-4.105441266983292,0.6200799934479627,0.9976511208307036,5,5,False,False,False,False,4,GB | MLP | RF | TRANSFORMER,1.0,HIGH_4_OF_4
E21_008,IMPLIED_ONLY,2024-04-30,2024-04-30,1,2024-04-30,2024-04-29,-4.097375098836613,0.018612521150592216,0.9779998410680228,-2.083287314924646,2.0140877839119673,4,4,5476,,Industrial Production MoM | Job-To-Applicant Ratio | Jobless Rate | Conf. Board Consumer Confidence | MNI Chicago PMI,JPY: Industrial Production MoM | JPY: Job-To-Applicant Ratio | JPY: Jobless Rate | USD: Conf. Board Consumer Confidence | USD: MNI Chicago PMI,Industrial Production MoM | Job-To-Applicant Ratio | Jobless Rate | Conf. Board Consumer Confidence | MNI Chicago PMI,5,5,2024-04-30 00:50:00+00:00 | 2024-04-30 00:30:00+00:00 | 2024-04-30 00:30:00+00:00 | 2024-04-30 15:00:00+00:00 | 2024-04-30 14:45:00+00:00,EXACT_MODEL_DAY,12,MULTIPLE_EVENTS,0.030273514364423458,-1.8767889267853162,0.9855808963763509,2.1856911713408267,0.998730964467005,3.0187652568514327,4.895554183636749,0.8079497775439419,-0.06003611161841869,5,5,False,False,True,True,3,GB | MLP | TRANSFORMER,0.75,STRONG_3_OF_4
E21_009,IMPLIED_ONLY,2024-06-27,2024-06-27,1,2024-06-27,2024-06-26,-4.016638542270149,0.03637901861252115,0.9868682453909727,-1.7943455172169198,2.22229302505323,4,4,5518,,Durable Goods Orders | GDP Annualized QoQ | Initial Jobless Claims | Wholesale Inventories MoM,USD: Durable Goods Orders | USD: GDP Annualized QoQ | USD: Initial Jobless Claims | USD: Wholesale Inventories MoM,Durable Goods Orders | GDP Annualized QoQ | Initial Jobless Claims | Wholesale Inventories MoM,4,4,2024-06-27 13:30:00+00:00 | 2024-06-27 13:30:00+00:00 | 2024-06-27 13:30:00+00:00 | 2024-06-27 13:30:00+00:00,EXACT_MODEL_DAY,14,MULTIPLE_EVENTS,0.8150150985378258,0.8965299292067633,0.656753663003663,0.4036193232083571,0.6522842639593909,0.3914948805140331,-0.5050350486927302,-0.7499985609388156,0.34368177969496144,5,5,False,False,False,False,4,GB | MLP | RF | TRANSFORMER,1.0,HIGH_4_OF_4
E21_010,REALISED_ONLY,2024-07-17,2024-07-17,1,2024-07-17,2024-07-16,3.682730811868301,0.9877326565143825,0.07577479338842975,2.2486513452798578,-1.434079466588443,4,4,5532,,Housing Starts | Industrial Production MoM | MBA Mortgage Applications,USD: Housing Starts | USD: Industrial Production MoM | USD: MBA Mortgage Applications,Housing Starts | Industrial Production MoM | MBA Mortgage Applications,3,3,2024-07-17 13:30:00+00:00 | 2024-07-17 14:15:00+00:00 | 2024-07-17 12:00:00+00:00,EXACT_MODEL_DAY,7,MULTIPLE_EVENTS,0.9805785123966942,2.065846506639169,0.39477567886658793,-0.2668932450455788,0.5473773265651438,0.11903787792608977,-1.9468086287130792,0.6227363536412861,0.5541967104945604,5,5,True,False,False,True,3,MLP | RF | TRANSFORMER,0.75,STRONG_3_OF_4
