intervention_date,mapped_model_day,mapped_canonical_index,amount_100m_yen,currency_direction,campaign_id,nearest_episode_id,nearest_episode_type,nearest_episode_peak_day,signed_model_day_distance,absolute_model_day_distance,timing_relation,nearest_episode_tie,hit_within_5,hit_within_7,hit_within_10
2022-09-22,2022-09-22,5058,28382,the US dollar (sold) the Japanese yen (bought),MOF_CAMPAIGN_01,E21_003,IMPLIED_ONLY,2022-10-17,17,17,POST_INTERVENTION,False,False,False,False
2022-10-21,2022-10-21,5079,56202,the US dollar (sold) the Japanese yen (bought),MOF_CAMPAIGN_02,E21_003,IMPLIED_ONLY,2022-10-17,-4,4,PRE_INTERVENTION,False,True,True,True
2022-10-24,2022-10-24,5080,7296,the US dollar (sold) the Japanese yen (bought),MOF_CAMPAIGN_02,E21_003,IMPLIED_ONLY,2022-10-17,-5,5,PRE_INTERVENTION,False,True,True,True
2024-04-29,2024-04-29,5475,59185,the US dollar (sold) the Japanese yen (bought),MOF_CAMPAIGN_03,E21_010,IMPLIED_ONLY,2024-04-30,1,1,POST_INTERVENTION,False,True,True,True
2024-05-01,2024-05-01,5477,38700,the US dollar (sold) the Japanese yen (bought),MOF_CAMPAIGN_03,E21_010,IMPLIED_ONLY,2024-04-30,-1,1,PRE_INTERVENTION,False,True,True,True
2024-07-11,2024-07-11,5528,31678,the US dollar (sold) the Japanese yen (bought),MOF_CAMPAIGN_04,E21_012,REALISED_ONLY,2024-07-17,4,4,POST_INTERVENTION,False,True,True,True
2024-07-12,2024-07-12,5529,23670,the US dollar (sold) the Japanese yen (bought),MOF_CAMPAIGN_04,E21_012,REALISED_ONLY,2024-07-17,3,3,POST_INTERVENTION,False,True,True,True
2026-04-30,2026-04-30,5998,62787,the US dollar (sold) the Japanese yen (bought),MOF_CAMPAIGN_05,E21_013,IMPLIED_ONLY,2026-05-05,3,3,POST_INTERVENTION,False,True,True,True
2026-05-04,2026-05-04,6000,7802,the US dollar (sold) the Japanese yen (bought),MOF_CAMPAIGN_05,E21_013,IMPLIED_ONLY,2026-05-05,1,1,POST_INTERVENTION,False,True,True,True
2026-05-06,2026-05-06,6002,46759,the US dollar (sold) the Japanese yen (bought),MOF_CAMPAIGN_05,E21_014,REALISED_ONLY,2026-05-06,0,0,CONTEMPORANEOUS,False,True,True,True
