alpha,intervention_date,nearest_episode_id,nearest_episode_type,signed_distance_model_days,absolute_distance_model_days,within_5,within_7,within_10
0.1,2022-09-22,E21_A10_035,REALISED_ONLY,3,3,True,True,True
0.1,2022-10-21,E21_A10_040,JOINT,1,1,True,True,True
0.1,2022-10-24,E21_A10_040,JOINT,0,0,True,True,True
0.1,2024-04-29,E21_A10_095,JOINT,0,0,True,True,True
0.1,2024-05-01,E21_A10_095,JOINT,-2,2,True,True,True
0.1,2024-07-11,E21_A10_104,JOINT,1,1,True,True,True
0.1,2024-07-12,E21_A10_104,JOINT,0,0,True,True,True
0.1,2026-04-30,E21_A10_161,JOINT,1,1,True,True,True
0.1,2026-05-04,E21_A10_161,JOINT,-1,1,True,True,True
0.1,2026-05-06,E21_A10_163,JOINT,0,0,True,True,True
0.05,2022-09-22,E21_A05_019,IMPLIED_ONLY,-11,11,False,False,False
0.05,2022-10-21,E21_A05_023,IMPLIED_ONLY,1,1,True,True,True
0.05,2022-10-24,E21_A05_023,IMPLIED_ONLY,0,0,True,True,True
0.05,2024-04-29,E21_A05_046,JOINT,0,0,True,True,True
0.05,2024-05-01,E21_A05_046,JOINT,-2,2,True,True,True
0.05,2024-07-11,E21_A05_051,IMPLIED_ONLY,1,1,True,True,True
0.05,2024-07-12,E21_A05_051,IMPLIED_ONLY,0,0,True,True,True
0.05,2026-04-30,E21_A05_077,IMPLIED_ONLY,1,1,True,True,True
0.05,2026-05-04,E21_A05_077,IMPLIED_ONLY,-1,1,True,True,True
0.05,2026-05-06,E21_A05_078,REALISED_ONLY,0,0,True,True,True
0.01,2022-09-22,E21_A01_006,REALISED_ONLY,19,19,False,False,False
0.01,2022-10-21,E21_A01_007,IMPLIED_ONLY,1,1,True,True,True
0.01,2022-10-24,E21_A01_007,IMPLIED_ONLY,0,0,True,True,True
0.01,2024-04-29,E21_A01_012,REALISED_ONLY,0,0,True,True,True
0.01,2024-05-01,E21_A01_012,REALISED_ONLY,-2,2,True,True,True
0.01,2024-07-11,E21_A01_013,IMPLIED_ONLY,18,18,False,False,False
0.01,2024-07-12,E21_A01_013,IMPLIED_ONLY,17,17,False,False,False
0.01,2026-04-30,E21_A01_020,REALISED_ONLY,4,4,True,True,True
0.01,2026-05-04,E21_A01_020,REALISED_ONLY,2,2,True,True,True
0.01,2026-05-06,E21_A01_020,REALISED_ONLY,0,0,True,True,True
