shift,window,date_hit_count,campaign_hit_count
0,5,9,4
0,7,9,4
0,10,9,4
1,5,9,4
1,7,9,4
1,10,10,5
2,5,9,4
2,7,9,4
2,10,10,5
3,5,9,4
3,7,9,4
3,10,10,5
4,5,9,4
4,7,10,5
4,10,10,5
5,5,9,4
5,7,10,5
5,10,10,5
6,5,10,5
6,7,10,5
6,10,10,5
7,5,10,5
7,7,10,5
7,10,10,5
8,5,10,5
8,7,10,5
8,10,10,5
9,5,10,5
9,7,10,5
9,10,10,5
10,5,9,5
10,7,10,5
10,10,10,5
11,5,8,4
11,7,10,5
11,10,10,5
12,5,8,4
12,7,9,5
12,10,10,5
13,5,8,4
13,7,8,4
13,10,10,5
14,5,8,4
14,7,8,4
14,10,10,5
15,5,7,4
15,7,8,4
15,10,9,5
16,5,7,4
16,7,8,4
16,10,8,4
17,5,5,3
17,7,7,4
17,10,8,4
18,5,5,3
18,7,7,4
18,10,8,4
19,5,4,2
19,7,5,3
19,10,8,4
20,5,3,2
20,7,5,3
20,10,7,4
21,5,3,2
21,7,4,2
21,10,7,4
22,5,2,1
22,7,3,2
22,10,6,4
23,5,2,1
23,7,4,2
23,10,7,4
24,5,2,1
24,7,3,2
24,10,6,3
25,5,3,2
25,7,5,3
25,10,6,3
26,5,3,2
26,7,6,3
26,10,6,3
27,5,5,3
27,7,6,3
27,10,6,3
28,5,6,3
28,7,6,3
28,10,7,4
29,5,6,3
29,7,6,3
29,10,7,4
30,5,6,3
30,7,6,3
30,10,7,4
31,5,6,3
31,7,7,4
31,10,7,4
32,5,5,3
32,7,7,4
32,10,7,4
33,5,5,3
33,7,7,4
33,10,7,4
34,5,5,3
34,7,6,4
34,10,7,4
35,5,5,3
35,7,5,3
35,10,7,4
36,5,4,3
36,7,5,3
36,10,7,4
37,5,5,3
37,7,5,3
37,10,6,4
38,5,3,3
38,7,5,3
38,10,5,3
39,5,3,2
39,7,5,3
39,10,5,3
40,5,3,2
40,7,4,3
40,10,5,3
41,5,3,2
41,7,3,2
41,10,5,3
42,5,3,2
42,7,3,2
42,10,6,4
43,5,3,2
43,7,3,2
43,10,6,4
44,5,3,2
44,7,3,2
44,10,5,3
45,5,2,1
45,7,4,3
45,10,5,3
46,5,2,1
46,7,5,3
46,10,5,3
47,5,3,2
47,7,4,2
47,10,5,3
48,5,3,2
48,7,4,2
48,10,6,4
49,5,3,2
49,7,4,2
49,10,7,5
50,5,2,1
50,7,3,2
50,10,8,4
51,5,2,1
51,7,4,3
51,10,8,4
52,5,2,1
52,7,4,3
52,10,9,4
53,5,3,2
53,7,6,3
53,10,8,4
54,5,4,3
54,7,6,3
54,10,8,4
55,5,6,3
55,7,7,3
55,10,7,3
56,5,6,3
56,7,7,3
56,10,7,3
57,5,7,3
57,7,7,3
57,10,7,3
58,5,7,3
58,7,7,3
58,10,7,3
59,5,7,3
59,7,7,3
59,10,7,3
60,5,7,3
60,7,7,3
60,10,7,3
61,5,7,3
61,7,7,3
61,10,7,3
62,5,7,3
62,7,7,3
62,10,8,4
63,5,7,3
63,7,7,3
63,10,8,4
64,5,6,3
64,7,7,3
64,10,8,4
65,5,6,3
65,7,8,4
65,10,8,4
66,5,4,3
66,7,7,4
66,10,8,4
67,5,4,3
67,7,7,4
67,10,8,4
68,5,3,2
68,7,5,4
68,10,8,4
69,5,3,2
69,7,4,3
69,10,7,4
70,5,3,2
70,7,3,2
70,10,7,4
71,5,3,2
71,7,3,2
71,10,5,4
72,5,3,2
72,7,3,2
72,10,4,3
73,5,2,2
73,7,3,2
73,10,3,2
74,5,1,1
74,7,3,2
74,10,3,2
75,5,1,1
75,7,2,2
75,10,3,2
76,5,1,1
76,7,2,2
76,10,3,2
77,5,1,1
77,7,3,2
77,10,3,2
78,5,2,2
78,7,3,2
78,10,3,2
79,5,3,2
79,7,3,2
79,10,3,2
80,5,3,2
80,7,3,2
80,10,3,2
81,5,3,2
81,7,3,2
81,10,3,2
82,5,3,2
82,7,3,2
82,10,4,3
83,5,2,1
83,7,3,2
83,10,5,4
84,5,2,1
84,7,3,2
84,10,7,4
85,5,2,1
85,7,3,2
85,10,7,4
86,5,2,1
86,7,4,3
86,10,7,4
87,5,3,2
87,7,6,3
87,10,7,4
88,5,4,3
88,7,6,3
88,10,6,3
89,5,5,3
89,7,6,3
89,10,6,3
90,5,5,3
90,7,6,3
90,10,6,3
91,5,6,3
91,7,6,3
91,10,6,3
92,5,6,3
92,7,6,3
92,10,6,3
93,5,6,3
93,7,6,3
93,10,6,3
94,5,6,3
94,7,6,3
94,10,6,3
95,5,6,3
95,7,6,3
95,10,6,3
96,5,6,3
96,7,6,3
96,10,6,3
97,5,6,3
97,7,6,3
97,10,6,3
98,5,6,3
98,7,6,3
98,10,6,3
99,5,6,3
99,7,6,3
99,10,6,3
100,5,6,3
100,7,6,3
100,10,6,3
101,5,5,3
101,7,6,3
101,10,7,4
102,5,4,2
102,7,6,3
102,10,7,4
103,5,4,2
103,7,5,3
103,10,7,4
104,5,3,2
104,7,5,3
104,10,7,4
105,5,2,1
105,7,5,3
105,10,7,4
106,5,3,2
106,7,4,3
106,10,6,4
107,5,3,2
107,7,3,2
107,10,5,3
108,5,2,2
108,7,3,2
108,10,5,3
109,5,3,2
109,7,3,2
109,10,4,3
110,5,2,2
110,7,3,2
110,10,3,2
111,5,3,2
111,7,3,2
111,10,3,2
112,5,3,2
112,7,3,2
112,10,3,2
113,5,3,2
113,7,3,2
113,10,3,2
114,5,3,2
114,7,3,2
114,10,3,2
115,5,3,2
115,7,3,2
115,10,3,2
116,5,3,2
116,7,3,2
116,10,3,2
117,5,2,1
117,7,3,2
117,10,3,2
118,5,2,1
118,7,3,2
118,10,3,2
119,5,2,1
119,7,2,1
119,10,3,2
120,5,2,1
120,7,3,2
120,10,3,2
121,5,2,1
121,7,3,2
121,10,3,2
122,5,2,2
122,7,3,2
122,10,4,3
123,5,2,2
123,7,3,2
123,10,5,3
124,5,1,1
124,7,2,2
124,10,5,3
125,5,1,1
125,7,3,3
125,10,5,3
126,5,1,1
126,7,3,2
126,10,5,3
127,5,2,2
127,7,3,2
127,10,4,3
128,5,3,2
128,7,3,2
128,10,4,3
129,5,3,2
129,7,3,2
129,10,3,2
130,5,3,2
130,7,3,2
130,10,3,2
131,5,3,2
131,7,3,2
131,10,3,2
132,5,3,2
132,7,3,2
132,10,3,2
133,5,3,2
133,7,3,2
133,10,3,2
134,5,3,2
134,7,3,2
134,10,3,2
135,5,3,2
135,7,3,2
135,10,4,3
136,5,3,2
136,7,3,2
136,10,5,3
137,5,3,2
137,7,3,2
137,10,5,3
138,5,1,1
138,7,4,3
138,10,7,5
139,5,0,0
139,7,5,3
139,10,7,5
140,5,1,1
140,7,3,2
140,10,9,5
141,5,2,1
141,7,5,4
141,10,9,5
142,5,2,1
142,7,6,4
