check,specification,candidate_days,overlap_with_primary
exercise_7a_directional_controls,n_realised_only_candidates,4,
exercise_7a_directional_controls,n_realised_high_controls,38,
exercise_7a_directional_controls,n_implied_only_candidates,13,
exercise_7a_directional_controls,n_implied_high_controls,52,
exercise_7a_directional_controls,n_ordinary_controls,685,
exercise_7a_directional_controls,n_dual_high_controls,6,
disagreement_threshold,2.5_97.5,28,18.0
disagreement_threshold,0.5_99.5,13,13.0
known_event_proximity,exclude_plus_minus_1_model_day,7,7.0
individual_flexible_model,RANDOM_FOREST,14,12.0
individual_flexible_model,GRADIENT_BOOSTING,23,12.0
individual_flexible_model,MLP,18,12.0
individual_flexible_model,TRANSFORMER,16,10.0
primary_candidate_model_agreement,HIGH_4_OF_4,4,4.0
primary_candidate_model_agreement,STRONG_3_OF_4,5,5.0
primary_candidate_model_agreement,MODERATE_2_OF_4,7,7.0
primary_candidate_model_agreement,CONSENSUS_ONLY_OR_WEAK,2,2.0
model_consensus_all_four,primary_days_in_all_individual_detectors,4,4.0
optional_frozen_parametric,N18_SPARSE_LINEAR_R__N18_LINEAR36_I,37,1.0
