model_day,canonical_index,previous_model_day,next_model_day,source_split,R_t,I_t,application_stage,calibration_stage,P_R,Z_R,P_I_prev,Z_I_prev,D,n_models_R,n_models_I_prev,hidden_type,S_next,n_signal_models,state_scored,n21_candidate_type,is_known_primary_event_pair,is_hidden,G_hat_ordinary_next,hidden_state_information_timing,S_next_information_timing,feature_complete,test_target_locked,episode_id,model_agreement_label,strict_cross_channel_dislocation,target_source_split,target_stage,G_next,C_next,target_complete,state_provenance
2012-08-08,2417,2012-08-07,2012-08-09,train,0.0032023954728238,0.0122870718337737,DEVELOPMENT,B,,,,,,,,NOT_SCORED,0.5145192807775181,4.0,False,,False,False,-0.5145192807775181,AVAILABLE_AFTER_MODEL_DAY_T,AVAILABLE_BY_END_OF_MODEL_DAY_T,False,False,,,,train,DEVELOPMENT,-0.9206242120691643,-0.40610493129164627,True,A_TO_B_CDF_AND_THRESHOLDS
2012-08-09,2418,2012-08-08,2012-08-10,train,0.0048935765018515,0.0043892200330604,DEVELOPMENT,B,,,,,,,,NOT_SCORED,-0.0835901448632609,4.0,False,,True,False,0.0835901448632609,AVAILABLE_AFTER_MODEL_DAY_T,AVAILABLE_BY_END_OF_MODEL_DAY_T,False,False,,,,train,DEVELOPMENT,-0.7673631171897639,-0.8509532620530248,True,A_TO_B_CDF_AND_THRESHOLDS
2012-08-10,2419,2012-08-09,2012-08-13,train,0.0020376321544425,0.0036510177399166,DEVELOPMENT,B,0.16963442003307347,-0.9556109246701737,0.018954918032786885,-2.0758282773131835,1.1202173526430097,4.0,3.0,NONE,,,True,,True,False,,AVAILABLE_AFTER_MODEL_DAY_T,AVAILABLE_BY_END_OF_MODEL_DAY_T,False,False,,,,train,DEVELOPMENT,,,False,A_TO_B_CDF_AND_THRESHOLDS
2012-08-13,2420,2012-08-10,2012-08-14,train,,0.0046509677541157,DEVELOPMENT,B,,,,,,,,NOT_SCORED,,,False,,True,False,,AVAILABLE_AFTER_MODEL_DAY_T,AVAILABLE_BY_END_OF_MODEL_DAY_T,False,False,,,,train,DEVELOPMENT,-0.2513522588762114,,False,A_TO_B_CDF_AND_THRESHOLDS
2012-08-14,2421,2012-08-13,2012-08-15,train,0.0036172825177727,0.0057631900524385,DEVELOPMENT,B,,,,,,,,NOT_SCORED,0.09956523367258122,3.0,False,,True,False,-0.09956523367258122,AVAILABLE_AFTER_MODEL_DAY_T,AVAILABLE_BY_END_OF_MODEL_DAY_T,False,False,,,,train,DEVELOPMENT,0.11800346049625157,0.2175686941688328,True,A_TO_B_CDF_AND_THRESHOLDS
2012-08-15,2422,2012-08-14,2012-08-16,train,0.0064850181105393,0.0069365736788266,DEVELOPMENT,B,,,,,,,,NOT_SCORED,0.2535291556361378,4.0,False,,True,False,-0.2535291556361378,AVAILABLE_AFTER_MODEL_DAY_T,AVAILABLE_BY_END_OF_MODEL_DAY_T,False,False,,,,train,DEVELOPMENT,-0.9215604462679199,-0.668031290631782,True,A_TO_B_CDF_AND_THRESHOLDS
2012-08-16,2423,2012-08-15,2012-08-17,train,0.0027600464246606,0.0069251398105607,DEVELOPMENT,B,,,,,,,,NOT_SCORED,0.3720523681825474,4.0,False,,True,False,-0.3720523681825474,AVAILABLE_AFTER_MODEL_DAY_T,AVAILABLE_BY_END_OF_MODEL_DAY_T,False,False,,,,train,DEVELOPMENT,-1.5686912079453934,-1.196638839762846,True,A_TO_B_CDF_AND_THRESHOLDS
2012-08-17,2424,2012-08-16,2012-08-20,train,0.0014426288408736,0.0055550452561978,DEVELOPMENT,B,,,,,,,,NOT_SCORED,0.2134773345578309,4.0,False,,False,False,-0.2134773345578309,AVAILABLE_AFTER_MODEL_DAY_T,AVAILABLE_BY_END_OF_MODEL_DAY_T,False,False,,,,train,DEVELOPMENT,-1.1062000010697004,-0.8927226665118695,True,A_TO_B_CDF_AND_THRESHOLDS
2012-08-20,2425,2012-08-17,2012-08-21,train,0.0018376848926975,0.0044503747251552,DEVELOPMENT,B,,,,,,,,NOT_SCORED,,,False,,False,False,,AVAILABLE_AFTER_MODEL_DAY_T,AVAILABLE_BY_END_OF_MODEL_DAY_T,False,False,,,,train,DEVELOPMENT,,,False,A_TO_B_CDF_AND_THRESHOLDS
2012-08-21,2426,2012-08-20,2012-08-22,train,,0.0045576513029603,DEVELOPMENT,B,,,,,,,,NOT_SCORED,,,False,,False,False,,AVAILABLE_AFTER_MODEL_DAY_T,AVAILABLE_BY_END_OF_MODEL_DAY_T,False,False,,,,train,DEVELOPMENT,1.6474475219082472,,False,A_TO_B_CDF_AND_THRESHOLDS
2012-08-22,2427,2012-08-21,2012-08-23,train,0.0236711012505138,0.0044208774752399,DEVELOPMENT,B,,,,,,,,NOT_SCORED,-0.4438146368273264,3.0,False,,False,False,0.4438146368273264,AVAILABLE_AFTER_MODEL_DAY_T,AVAILABLE_BY_END_OF_MODEL_DAY_T,False,False,,,,train,DEVELOPMENT,-0.19569067038125948,-0.6395053072085859,True,A_TO_B_CDF_AND_THRESHOLDS
2012-08-23,2428,2012-08-22,2012-08-24,train,0.0036351396551281,0.0034720222772084,DEVELOPMENT,B,,,,,,,,NOT_SCORED,-0.2678823234083335,4.0,False,,False,False,0.2678823234083335,AVAILABLE_AFTER_MODEL_DAY_T,AVAILABLE_BY_END_OF_MODEL_DAY_T,False,False,,,,train,DEVELOPMENT,-0.2901538960198737,-0.5580362194282071,True,A_TO_B_CDF_AND_THRESHOLDS
2012-08-24,2429,2012-08-23,2012-08-27,train,0.0025975879866416,0.0034096963216155,DEVELOPMENT,B,,,,,,,,NOT_SCORED,-0.047033435182453204,4.0,False,,False,False,0.047033435182453204,AVAILABLE_AFTER_MODEL_DAY_T,AVAILABLE_BY_END_OF_MODEL_DAY_T,False,False,,,,train,DEVELOPMENT,-1.1695203612511358,-1.216553796433589,True,A_TO_B_CDF_AND_THRESHOLDS
2012-08-27,2430,2012-08-24,2012-08-28,train,0.0010587647208033,0.00409093405154,DEVELOPMENT,B,,,,,,,,NOT_SCORED,0.14175270623241357,4.0,False,,False,False,-0.14175270623241357,AVAILABLE_AFTER_MODEL_DAY_T,AVAILABLE_BY_END_OF_MODEL_DAY_T,False,False,,,,train,DEVELOPMENT,-0.802439521079894,-0.6606868148474805,True,A_TO_B_CDF_AND_THRESHOLDS
2012-08-28,2431,2012-08-27,2012-08-29,train,0.0018336963578867,0.003993999323926,DEVELOPMENT,B,,,,,,,,NOT_SCORED,0.06261107108123129,4.0,False,,False,False,-0.06261107108123129,AVAILABLE_AFTER_MODEL_DAY_T,AVAILABLE_BY_END_OF_MODEL_DAY_T,False,False,,,,train,DEVELOPMENT,-1.2259886728360143,-1.163377601754783,True,A_TO_B_CDF_AND_THRESHOLDS
2012-08-29,2432,2012-08-28,2012-08-30,train,0.001172108651464,0.0041715222882535,DEVELOPMENT,B,0.08215061055581352,-1.3907500947299392,0.3734631147540984,-0.32269501275152146,-1.0680550819784176,4.0,3.0,NONE,0.11516457749892925,4.0,True,,False,False,-0.11516457749892925,AVAILABLE_AFTER_MODEL_DAY_T,AVAILABLE_BY_END_OF_MODEL_DAY_T,True,False,,,,train,DEVELOPMENT,-1.4831940722640742,-1.368029494765145,True,A_TO_B_CDF_AND_THRESHOLDS
2012-08-30,2433,2012-08-29,2012-08-31,train,0.0009465674522625,0.0053817533263378,DEVELOPMENT,B,0.04791223718403024,-1.6654426602053172,0.1290200345481642,-1.131035692127949,-0.5344069680773682,4.0,4.0,NONE,0.25039594374993157,4.0,True,,False,False,-0.25039594374993157,AVAILABLE_AFTER_MODEL_DAY_T,AVAILABLE_BY_END_OF_MODEL_DAY_T,True,False,,,,train,DEVELOPMENT,-0.46503156547094576,-0.2146356217210142,True,A_TO_B_CDF_AND_THRESHOLDS
2012-08-31,2434,2012-08-30,2012-09-03,train,0.0033803614873575,0.0061315353110282,DEVELOPMENT,B,0.4688963765813762,-0.07804437664269877,0.36050543625525,-0.3571081111189652,0.2790637344762664,4.0,4.0,NONE,0.27037145464688855,4.0,True,,True,False,-0.27037145464688855,AVAILABLE_AFTER_MODEL_DAY_T,AVAILABLE_BY_END_OF_MODEL_DAY_T,True,False,,,,train,DEVELOPMENT,-1.7167900681177866,-1.446418613470898,True,A_TO_B_CDF_AND_THRESHOLDS
2012-09-03,2435,2012-08-31,2012-09-04,train,0.0011014804174643,0.0046577303381069,DEVELOPMENT,B,0.032128514056224904,-1.8503922992551045,0.3981908786072348,-0.2580325877306078,-1.5923597115244967,4.0,4.0,NONE,0.18669498073050037,4.0,True,,True,False,-0.18669498073050037,AVAILABLE_AFTER_MODEL_DAY_T,AVAILABLE_BY_END_OF_MODEL_DAY_T,True,False,,,,train,DEVELOPMENT,-1.5945496924655893,-1.407854711735089,True,A_TO_B_CDF_AND_THRESHOLDS
2012-09-04,2436,2012-09-03,2012-09-05,train,0.0009455188874956,0.0031590989745873,DEVELOPMENT,B,0.04334325130135146,-1.7131415446620897,0.09046980595287818,-1.337867565382099,-0.3752739792799906,4.0,4.0,NONE,-0.14511383026163477,4.0,True,,False,False,0.14511383026163477,AVAILABLE_AFTER_MODEL_DAY_T,AVAILABLE_BY_END_OF_MODEL_DAY_T,True,False,,,,train,DEVELOPMENT,-0.9832720684149182,-1.128385898676553,True,A_TO_B_CDF_AND_THRESHOLDS
2012-09-05,2437,2012-09-04,2012-09-06,train,0.0011817717363756,0.0035355201668537,DEVELOPMENT,B,0.08971127919385452,-1.3425350971974375,0.028293895957371612,-1.906481282036291,0.5639461848388536,4.0,4.0,NONE,-0.042334170876221,4.0,True,,False,False,0.042334170876221,AVAILABLE_AFTER_MODEL_DAY_T,AVAILABLE_BY_END_OF_MODEL_DAY_T,True,False,,,,train,DEVELOPMENT,0.6932000970378704,0.6508659261616494,True,A_TO_B_CDF_AND_THRESHOLDS
2012-09-06,2438,2012-09-05,2012-09-07,train,0.0070714145181573,0.008817792293546,DEVELOPMENT,B,0.8711453318344371,1.1318218578207138,0.05143908345752608,-1.6310575964856495,2.762879454306363,4.0,4.0,NONE,0.24950338732650962,4.0,True,,False,False,-0.24950338732650962,AVAILABLE_AFTER_MODEL_DAY_T,AVAILABLE_BY_END_OF_MODEL_DAY_T,True,False,,,,train,DEVELOPMENT,0.801202264484986,1.0507056518114957,True,A_TO_B_CDF_AND_THRESHOLDS
2012-09-07,2439,2012-09-06,2012-09-10,train,0.0196479655050735,0.0040008927553957,DEVELOPMENT,B,0.9440098120677436,1.5893545221048457,0.8208766596667119,0.9187111414777954,0.6706433806270503,4.0,4.0,NONE,-0.5501981270851241,4.0,True,,True,False,0.5501981270851241,AVAILABLE_AFTER_MODEL_DAY_T,AVAILABLE_BY_END_OF_MODEL_DAY_T,True,False,,,,train,DEVELOPMENT,-1.8803066975767189,-2.430504824661843,True,A_TO_B_CDF_AND_THRESHOLDS
2012-09-10,2440,2012-09-07,2012-09-11,train,0.0006103094395348,0.0039184396450388,DEVELOPMENT,B,0.0010065617439331362,-3.088289361734539,0.03117226368159204,-1.8638375032770222,-1.2244518584575166,4.0,4.0,NONE,0.03490926367126354,4.0,True,,True,False,-0.03490926367126354,AVAILABLE_AFTER_MODEL_DAY_T,AVAILABLE_BY_END_OF_MODEL_DAY_T,True,False,,,,train,DEVELOPMENT,-0.8397303645101704,-0.8048211008389068,True,A_TO_B_CDF_AND_THRESHOLDS
2012-09-11,2441,2012-09-10,2012-09-12,train,0.0016920878156073,0.0070485306040567,DEVELOPMENT,B,0.18072289156626506,-0.9126136302258916,0.04807517919928114,-1.6638102328800843,0.7511966026541927,4.0,4.0,NONE,0.45301188393684244,4.0,True,,True,False,-0.45301188393684244,AVAILABLE_AFTER_MODEL_DAY_T,AVAILABLE_BY_END_OF_MODEL_DAY_T,True,False,,,,train,DEVELOPMENT,-1.5145826952605634,-1.061570811323721,True,A_TO_B_CDF_AND_THRESHOLDS
2012-09-12,2442,2012-09-11,2012-09-13,train,0.0015499713933903,0.0067294662465513,DEVELOPMENT,B,0.10391566265060241,-1.2595511553320924,0.6073554565776995,0.2724330191883015,-1.531984174520394,4.0,4.0,NONE,0.4516664907374823,4.0,True,,False,False,-0.4516664907374823,AVAILABLE_AFTER_MODEL_DAY_T,AVAILABLE_BY_END_OF_MODEL_DAY_T,True,False,,,,train,DEVELOPMENT,-0.28455940981082783,0.16710708092665444,True,A_TO_B_CDF_AND_THRESHOLDS
2012-09-13,2443,2012-09-12,2012-09-14,train,0.005062884707368,0.0079903839863696,DEVELOPMENT,B,0.6811958788500859,0.47104550103378623,0.31070441848136365,-0.4938546461029168,0.964900147136703,4.0,4.0,NONE,0.30251452909365495,4.0,True,,True,False,-0.30251452909365495,AVAILABLE_AFTER_MODEL_DAY_T,AVAILABLE_BY_END_OF_MODEL_DAY_T,True,False,,,,train,DEVELOPMENT,0.3435023692464749,0.6460168983401299,True,A_TO_B_CDF_AND_THRESHOLDS
2012-09-14,2444,2012-09-13,2012-09-17,train,0.0112654575074675,0.009897273330101,DEVELOPMENT,B,0.8770080321285141,1.1601593454661328,0.5134890223695112,0.03381841003006234,1.1263409354360705,4.0,4.0,NONE,0.20647822586887277,4.0,True,,True,False,-0.20647822586887277,AVAILABLE_AFTER_MODEL_DAY_T,AVAILABLE_BY_END_OF_MODEL_DAY_T,True,False,,,,train,DEVELOPMENT,-0.5527471103683004,-0.3462688844994276,True,A_TO_B_CDF_AND_THRESHOLDS
2012-09-17,2445,2012-09-14,2012-09-18,train,0.0056945648658647,0.0114183663711249,DEVELOPMENT,B,0.3830530030874003,-0.29747223001481155,0.5911269302395128,0.23044481654646584,-0.5279170465612774,4.0,4.0,NONE,0.3255482128800091,4.0,True,,True,False,-0.3255482128800091,AVAILABLE_AFTER_MODEL_DAY_T,AVAILABLE_BY_END_OF_MODEL_DAY_T,True,False,,,,train,DEVELOPMENT,-1.1872985381190735,-0.8617503252390644,True,A_TO_B_CDF_AND_THRESHOLDS
2012-09-18,2446,2012-09-17,2012-09-19,train,0.0034831066325571,0.0202785582458234,DEVELOPMENT,B,0.15110441767068272,-1.0317081990121957,0.5520146780595778,0.1307530763255988,-1.1624612753377945,4.0,4.0,NONE,0.7054001215297844,4.0,True,,False,False,-0.7054001215297844,AVAILABLE_AFTER_MODEL_DAY_T,AVAILABLE_BY_END_OF_MODEL_DAY_T,True,False,,,,train,DEVELOPMENT,-0.4287788280657786,0.27662129346400577,True,A_TO_B_CDF_AND_THRESHOLDS
