sample_split,target,model,n_model_reference,n21_validation_model_reference,ratio_to_n21_validation_comparator
B,I,GB,913,945,0.9661375661375662
B,I,MLP,741,899,0.8242491657397107
B,I,RF,913,945,0.9661375661375662
B,I,TRANSFORMER,734,888,0.8265765765765766
B,R,GB,748,907,0.824696802646086
B,R,MLP,755,919,0.8215451577801959
B,R,RF,755,919,0.8215451577801959
B,R,TRANSFORMER,755,919,0.8215451577801959
C,I,GB,932,945,0.9862433862433863
C,I,MLP,836,899,0.9299221357063404
C,I,RF,932,945,0.9862433862433863
C,I,TRANSFORMER,813,888,0.9155405405405406
C,R,GB,852,907,0.9393605292171996
C,R,MLP,877,919,0.9542981501632208
C,R,RF,877,919,0.9542981501632208
C,R,TRANSFORMER,877,919,0.9542981501632208
