episode_id,stage,state,start_day,end_day,peak_day,peak_tail_p,number_of_days
N22_C_001,C,IMPLIED_ONLY,2012-08-10,2012-08-10,2012-08-10,0.04381161007667032,1
N22_C_002,C,REALISED_ONLY,2012-09-03,2012-09-04,2012-09-03,0.04370860927152318,2
N22_C_003,C,IMPLIED_ONLY,2012-09-20,2012-09-20,2012-09-20,0.05024588600999508,1
N22_C_004,C,REALISED_ONLY,2012-09-27,2012-09-27,2012-09-27,0.038410596026490065,1
N22_C_005,C,REALISED_ONLY,2012-10-02,2012-10-02,2012-10-02,0.02267769238941814,1
N22_C_006,C,IMPLIED_ONLY,2012-10-08,2012-10-08,2012-10-08,0.04805847118968816,1
N22_C_007,C,IMPLIED_ONLY,2012-10-31,2012-10-31,2012-10-31,0.033072095167889795,1
N22_C_008,C,REALISED_ONLY,2012-12-25,2012-12-25,2012-12-25,0.04536777986329993,1
N22_C_009,C,REALISED_ONLY,2013-02-18,2013-02-18,2013-02-18,0.052980132450331126,1
N22_C_010,C,IMPLIED_ONLY,2013-02-19,2013-02-19,2013-02-19,0.05885152682869868,1
N22_C_011,C,REALISED_ONLY,2013-05-23,2013-05-23,2013-05-23,0.051655629139072845,1
N22_C_012,C,REALISED_ONLY,2013-10-21,2013-10-21,2013-10-21,0.047892835641180014,1
N22_C_013,C,IMPLIED_ONLY,2013-12-10,2013-12-10,2013-12-10,0.03224391248421976,1
N22_C_014,C,REALISED_ONLY,2013-12-23,2013-12-23,2013-12-23,0.010596026490066225,1
N22_C_015,C,REALISED_ONLY,2013-12-25,2013-12-25,2013-12-25,0.006622516556291391,1
N22_C_016,C,REALISED_ONLY,2014-04-01,2014-04-01,2014-04-01,0.030624712256967807,1
N22_C_017,C,IMPLIED_ONLY,2014-04-07,2014-04-07,2014-04-07,0.02174912384170469,1
N22_C_018,C,JOINT,2014-04-18,2014-04-18,2014-04-18,0.01576419775532014,1
N22_C_019,C,REALISED_ONLY,2014-04-21,2014-04-21,2014-04-21,0.05033112582781457,1
N22_C_020,C,IMPLIED_ONLY,2014-05-06,2014-05-06,2014-05-06,0.048776048274112235,1
N22_C_021,C,IMPLIED_ONLY,2014-05-23,2014-05-23,2014-05-23,0.047470536095335025,1
N22_C_022,C,REALISED_ONLY,2014-05-26,2014-05-26,2014-05-26,0.0,1
N22_C_023,C,REALISED_ONLY,2014-06-05,2014-06-05,2014-06-05,0.039735099337748346,1
N22_C_024,C,IMPLIED_ONLY,2014-06-10,2014-06-10,2014-06-10,0.024817128310119348,1
N22_C_025,C,IMPLIED_ONLY,2014-06-20,2014-06-20,2014-06-20,0.012224089586169485,1
N22_C_026,C,REALISED_ONLY,2014-06-23,2014-06-23,2014-06-23,0.009308708432198888,1
N22_C_027,C,IMPLIED_ONLY,2014-06-24,2014-06-24,2014-06-24,0.032780366959187505,1
N22_C_028,C,IMPLIED_ONLY,2014-06-26,2014-06-26,2014-06-26,0.013677698159494555,1
N22_C_029,C,JOINT,2014-07-04,2014-07-07,2014-07-04,0.00929631334773524,2
N22_C_030,C,IMPLIED_ONLY,2014-07-08,2014-07-08,2014-07-08,0.04076598691023693,1
N22_C_031,C,IMPLIED_ONLY,2014-07-10,2014-07-11,2014-07-11,0.04365492888003985,2
N22_C_032,C,JOINT,2014-07-14,2014-07-14,2014-07-14,0.0039859050182384816,1
N22_C_033,C,IMPLIED_ONLY,2014-07-16,2014-07-16,2014-07-16,0.04920748139946459,1
N22_C_034,C,JOINT,2014-07-21,2014-07-21,2014-07-21,0.0039859050182384816,1
N22_C_035,C,REALISED_ONLY,2014-07-23,2014-07-23,2014-07-23,0.02650246130962921,1
