stage,year,primary_rejection_reason,count
C,2012,FRIDAY_ENTRY,21
C,2013,FRIDAY_ENTRY,52
C,2013,INTERIOR_GAP_TOO_LARGE,2
C,2014,FRIDAY_ENTRY,52
C,2014,INSUFFICIENT_HOURLY_QUOTES,2
C,2015,ENTRY_DELAY_TOO_LONG,1
C,2015,EXPIRY_DELAY_TOO_LONG,1
C,2015,FRIDAY_ENTRY,52
C,2016,FRIDAY_ENTRY,53
C,2017,FRIDAY_ENTRY,12
TEST,2021,FRIDAY_ENTRY,7
TEST,2022,FRIDAY_ENTRY,52
TEST,2023,FRIDAY_ENTRY,52
TEST,2024,ENTRY_DELAY_TOO_LONG,1
TEST,2024,FRIDAY_ENTRY,52
TEST,2024,INSUFFICIENT_HOURLY_QUOTES,1
TEST,2025,ENTRY_DELAY_TOO_LONG,1
TEST,2025,FRIDAY_ENTRY,52
TEST,2025,INSUFFICIENT_HOURLY_QUOTES,1
TEST,2026,EXPIRY_DELAY_TOO_LONG,1
TEST,2026,FRIDAY_ENTRY,26
TEST,2026,MISSING_IV_T_RAW,1
VALIDATION,2017,FRIDAY_ENTRY,40
VALIDATION,2018,ENTRY_DELAY_TOO_LONG,1
VALIDATION,2018,FRIDAY_ENTRY,52
VALIDATION,2018,INSUFFICIENT_HOURLY_QUOTES,1
VALIDATION,2019,ENTRY_DELAY_TOO_LONG,1
VALIDATION,2019,FRIDAY_ENTRY,52
VALIDATION,2019,INSUFFICIENT_HOURLY_QUOTES,1
VALIDATION,2020,ENTRY_DELAY_TOO_LONG,1
VALIDATION,2020,EXPIRY_DELAY_TOO_LONG,1
VALIDATION,2020,FRIDAY_ENTRY,52
VALIDATION,2021,FRIDAY_ENTRY,46
