decision_model_day,stage,contract_admissible,episode_entry,Delta_L_t,common_log_response_t,P_R_t,P_I_prev_t,Y_gross,c_entry_L,c_entry_S,Y_net_L,Y_net_S,forecast_target_model_day,Q_t,R_t,I_t,Fhat_R_adm_t1,Fhat_I_adm_t1,S_t1_given_t,R_model_support,I_model_support,BASE_feature_finite,hidden_coordinates_complete,BASE_complete,COMMON_complete,Yhat_BASE,Yhat_HIDDEN_AWARE,Yhat_NOISE_19,Yhat_NOISE_119,Yhat_NOISE_219,G_t,z_BASE,z_GATE_ONLY,z_HIDDEN_RAW,z_HIDDEN_AWARE,z_FLAT,z_ALWAYS_LONG,z_ALWAYS_SHORT,z_GATED_ALWAYS_LONG,z_GATED_ALWAYS_SHORT
2012-08-29,C,True,False,-1.1980796507515894,-0.7032719160750065,0.117238021036229,0.6990553306342779,-0.445201073782061,0.0143963863506424,0.0143963870355837,-0.5206587710583913,0.3697433758207895,2012-08-30,6.505849589623896e-06,0.001172108651464,0.0041715222882535,0.00351199148547905,0.00509675061277735,0.18580700005903478,4.0,4.0,True,True,True,True,-0.10970177213776296,-0.11020993818995946,-0.06864145709836711,-0.1073912649138353,-0.12405544591731911,0,-1,0,-1,0,0,1,-1,0,0
2012-08-30,C,True,False,-0.9609767837400672,-0.8168986803350177,0.1289230442327442,0.3926401225069583,-0.0591256539679738,0.0119192050022803,0.0119192056871412,-0.1297191060732397,-0.0114677988221529,2012-08-31,1.153889468430691e-06,0.0009465674522625,0.0053817533263378,0.0046940370625230005,0.0052887973945368,0.13680266366275196,4.0,4.0,True,True,True,True,-0.12572411092145508,-0.1456586668792914,-0.030774426119625997,-0.030862647363330636,-0.13469892736946854,0,-1,0,-1,0,0,1,-1,0,0
2012-09-03,C,True,True,-1.6832504773505563,-0.6824852992445903,0.0437086092715231,0.3692650617190883,-0.3916979778770055,0.0145594359819514,0.0145594366668422,-0.469671222690422,0.3137247323786982,2012-09-04,1.2774330574376606e-06,0.0011014804174643,0.0046577303381069,0.0047132667322654,0.0064577820101672,-0.010048613133302724,4.0,4.0,True,True,True,True,-0.12068759553267783,-0.14876714696666968,-0.04655059781449195,-0.03513184326450493,-0.06342022621167466,1,-1,-1,-1,-1,0,1,-1,1,-1
2012-09-04,C,True,False,-1.1633750147978912,-1.0229107981999634,0.0519902964195913,0.2234761645034314,-0.4265306017362819,0.0173799556444724,0.0173799563294727,-0.5172143515444795,0.3358468512430841,2012-09-05,4.0424196588238645e-06,0.0009455188874956,0.0031590989745873,0.00324819235773845,0.0067299305910172,-0.02767170301410134,4.0,4.0,True,True,True,True,-0.00929689306545824,-0.15115902774257464,-0.00011971121797156418,-0.023855217151052713,-0.027376709038668158,0,0,0,-1,0,0,1,-1,0,0
2012-09-05,C,True,False,-0.2959454233604565,-0.8629710597487985,0.2397350993377483,0.0692959545210654,0.5733473160648432,0.0156353921468132,0.0156353928318336,0.4997443774690808,-0.646950255345626,2012-09-06,7.174104424400938e-08,0.0011817717363756,0.0035355201668537,0.00366601421947705,0.0056530476973254504,-0.02952565381206053,4.0,4.0,True,True,True,True,0.015703216880755093,-0.013632365415164058,-0.022818191853959734,0.014464590332652755,-0.019644259489863845,0,1,0,0,0,0,1,-1,0,0
2012-09-06,C,True,False,1.2926374833990262,0.0173557015262835,0.231777455112087,0.1358159912376779,0.9136880878080906,0.0093210356841571,0.0093210363690252,0.7459838668755975,-1.0813923094254518,2012-09-07,3.542924572949342e-05,0.0070714145181573,0.008817792293546,0.0065950431224441,0.00831592398149945,0.2907426396494434,4.0,4.0,True,True,True,True,0.208930646808507,0.17665849018335172,0.20675280759201228,0.18966832144329357,0.11660599894215762,0,1,0,1,0,0,1,-1,0,0
2012-09-10,C,True,False,-1.6795401389910922,-1.5711522674473446,0.0026490066225165,0.0602409638554216,-0.0999794967208764,0.0158608508862514,0.0158608515711765,-0.1628190319457421,0.0371399608110855,2012-09-11,1.1462561225480913e-07,0.0006103094395348,0.0039184396450388,0.0038188395558394,0.006530950380014701,0.026722361152317756,4.0,4.0,True,True,True,True,-0.029996161595758093,-0.02960470217252278,-0.08916606794636574,-0.08327656302261532,-0.09440710787274935,0,-1,0,-1,0,0,1,-1,0,0
2012-09-11,C,True,False,-0.1081092935680688,-0.7589533565738298,0.3894039735099338,0.0876232201533406,-0.6233100930605842,0.0116397730676332,0.011639773752563,-0.6801091473873265,0.566511038048912,2012-09-12,4.356288770815372e-05,0.0016920878156073,0.0070485306040567,0.0042383148754328,0.0069010774580534505,0.5089069259151219,4.0,4.0,True,True,True,True,-0.04913703797362697,-0.14325142272126368,-0.10354819789142408,-0.09468450517427077,-0.046518073468222614,0,-1,0,-1,0,0,1,-1,0,0
2012-09-12,C,True,False,-1.1069834656829185,-0.4521840365039945,0.2648032723022984,0.4260679079956188,-0.1023568980642381,0.0113410997017291,0.0113411003866621,-0.1563566091394378,0.0483571863041053,2012-09-13,1.1653445183772916e-06,0.0015499713933903,0.0067294662465513,0.0045326068602470505,0.00797118209072945,0.3993974238077928,4.0,4.0,True,True,True,True,-0.12969043062473565,-0.14550816274200565,-0.06016409906839589,-0.18570182602698693,-0.12699721535394798,0,-1,0,-1,0,0,1,-1,0,0
2012-09-13,C,True,False,0.1262600773800461,0.0517079753069293,0.6449746786131672,0.5497322377474565,0.1458653344753542,0.0097971666123421,0.009797167297284,0.0874166376605022,-0.204314031975148,2012-09-14,2.208244555910813e-05,0.005062884707368,0.0079903839863696,0.006008280404625451,0.0094086603155325,0.28511043471260816,4.0,4.0,True,True,True,True,-0.024034087611968746,-0.0760422119374698,-0.013961164875506268,-0.021330839383368154,-0.06322598901424682,0,-1,0,-1,0,0,1,-1,0,0
2012-09-17,C,True,False,-0.4478813323473037,-0.1732853587420294,0.7536423841059603,0.6966046002190581,-0.4086632801595969,0.0093145182920975,0.009314518976914,-0.4528405435949139,0.3644860160394634,2012-09-18,2.0959220200083472e-05,0.0056945648658647,0.0114183663711249,0.0080449515495197,0.0108490845618997,0.35018062676138956,4.0,4.0,True,True,True,True,-0.12027089726481975,-0.11567346262570781,-0.12742928372895745,-0.09146137740880717,-0.10550972026172775,0,-1,0,-1,0,0,1,-1,0,0
2012-09-18,C,True,False,-0.8454504116248415,-0.4143927055452716,0.3509933774834437,0.8466593647316538,0.0332789524051357,0.0068688077831257,0.0068688084680784,-0.0022480920337651,-0.0688059975289893,2012-09-19,1.8114339522506123e-06,0.0034831066325571,0.0202785582458234,0.01007144020242455,0.015567857886748249,0.7027693778588162,4.0,4.0,True,True,True,True,-0.054326813192497804,-0.013622561752311538,-0.011144874926125809,-0.02765635568575741,-0.1384588678547674,0,-1,0,-1,0,0,1,-1,0,0
2012-09-19,C,True,False,-0.3515435340880681,0.4497623168370658,0.4760066579310833,0.1438141228883144,-0.3538045867118708,0.0112835349065813,0.0112835355914921,-0.4221279845675974,0.2854811881712335,2012-09-20,2.9794248117535933e-05,0.0132075053577379,0.0067828593654156,0.0064282452131487,0.0105478306500729,0.05491755670529797,4.0,4.0,True,True,True,True,-0.0692859924663394,-0.042791232766718035,-0.06228444114681164,-0.049169090928089076,-0.07103608510635775,0,-1,0,-1,0,0,1,-1,0,0
2012-09-20,C,True,True,-0.0726709153391496,-0.8657641094212513,0.3259535361405248,0.050245886009995,-0.4951418757025675,0.0121078816774175,0.0121078823624129,-0.6551399339923452,0.3351438167277947,2012-09-21,3.12792986419974e-06,0.0026048670164709,0.0052261140018628,0.0042857159793733,0.00897372791518365,0.1985678535035583,4.0,4.0,True,True,True,True,-0.14774159189496408,-0.13388488924707237,-0.18747144482792752,-0.21092228773224456,-0.15378931690636738,1,-1,-1,-1,-1,0,1,-1,1,-1
2012-09-24,C,True,False,-0.0325491625049281,-0.6724632265390051,0.4803396253143039,0.0943277693384387,-0.4262471014256307,0.0133102936392479,0.013310294324242,-0.5109224155388756,0.3415717866273917,2012-09-25,1.5793545956506843e-05,0.0020583165762763,0.0055675994131529,0.0045272939779406,0.0075284232049573005,0.20830455058764574,4.0,4.0,True,True,True,True,-0.19998376158404862,-0.14417841572590073,-0.17827234070866055,-0.15107915989552892,-0.24124098452177364,0,-1,0,-1,0,0,1,-1,0,0
2012-09-25,C,True,False,-0.5886329179368179,-0.6174027748538614,0.331635797003931,0.452354874041621,-0.4028764426907045,0.0135260524040656,0.0135260530889373,-0.4759013535230373,0.3298515311734999,2012-09-26,4.6378755886635285e-07,0.001816551986936,0.0052181605713799,0.004330981858520299,0.0064423868584913505,0.1863558123945458,4.0,4.0,True,True,True,True,-0.009299104484957176,-0.10365827952275825,-0.03523760807471685,-0.0008448568389263231,-0.0290590598646741,0,0,0,-1,0,0,1,-1,0,0
2012-09-26,C,True,False,-0.4092249506020843,-0.5695922298214597,0.41524064171123,0.2837846307200563,-0.5274465405759529,0.0124416746783857,0.0124416753632324,-0.5951965149045754,0.4596965655624835,2012-09-27,4.47082948143417e-07,0.0019968769623925,0.0055977763687701,0.0042249003156388,0.00832685409413765,0.2814055778311663,4.0,4.0,True,True,True,True,-0.11580743902001041,-0.1711239857185397,-0.09545657354851197,-0.15032442005966373,-0.14142456484190788,0,-1,0,-1,0,0,1,-1,0,0
2012-09-27,C,True,True,-1.5282065315932103,-0.8906386421874104,0.03841059602649,0.5794794932397975,-0.0441221179515693,0.0128591400199538,0.0128591407048751,-0.2485300288648802,-0.160285793646663,2012-09-28,3.1109284171703847e-06,0.0008075276007813,0.00462936049992,0.00419085539371545,0.0069626700277696,0.10522874968662586,4.0,4.0,True,True,True,True,-0.08157907981775295,-0.01105162881880473,0.061637136983010384,0.07018592445613281,-0.06355308941128068,1,-1,-1,0,0,0,1,-1,1,-1
2012-10-01,C,True,False,-0.590318228247702,-0.5119378986550394,0.3682119205298013,0.5480516101949202,-0.5131953574511297,0.0120725502922402,0.0120725509772163,-0.5803273633051454,0.4460633509121378,2012-10-02,4.2094848744478114e-08,0.0022023381744114,0.0067812093463391,0.0049946507898803,0.00649900534485485,0.30722234582401065,4.0,4.0,True,True,True,True,-0.12385347643245792,-0.1850851573233121,-0.11357102718991677,-0.1517650804980263,-0.0778268031944873,0,-1,0,-1,0,0,1,-1,0,0
2012-10-02,C,True,True,-1.7997819780424495,-0.9089261932209716,0.0226776923894181,0.8864006589519281,-0.0645548547841953,0.012720662819326,0.0127206635042877,-0.123501165164419,0.0056085437190099,2012-10-03,4.385623190671904e-06,0.0008171896573251,0.0059046127708579,0.0050960482742345,0.00755861047887465,0.14741137839308177,4.0,4.0,True,True,True,True,-0.1428946182602553,-0.012159900008489068,-0.1637359428117539,-0.18084485553616056,-0.12068926829154916,1,-1,-1,0,0,0,1,-1,1,-1
2012-10-03,C,True,False,-0.5564587725297943,-0.3655289355000041,0.5257321953465312,0.7117133383670924,-0.0448991029009148,0.0124087130030898,0.012408713687976,-0.1255609681417021,-0.0357627630247585,2012-10-04,1.8732442165806373e-05,0.0026766450702451,0.0056186246798496,0.00384712020576605,0.008216195531603951,0.38720213248079516,4.0,4.0,True,True,True,True,-0.18629608771897882,-0.11486125853719112,-0.16815765147120454,-0.11101829196805459,-0.17875431618857077,0,-1,0,-1,0,0,1,-1,0,0
2012-10-04,C,True,False,0.6417737484382755,0.02465114428372,0.4502355066048092,0.3967655679767284,-0.230550172521215,0.0074716249051175,0.0074716255900368,-0.2851401788018882,0.1759601655556225,2012-10-05,4.419352053241264e-08,0.0053893393136532,0.0136883552016878,0.00893691725502295,0.010236910494540251,0.4267127306298063,4.0,4.0,True,True,True,True,-0.10751872953593315,-0.08637599823152181,-0.17475702871311452,-0.1835206107547751,-0.10194480625876423,0,-1,0,-1,0,0,1,-1,0,0
