stage,policy,n_long,n_flat,n_short,n_trade,long_share_conditional_trade,short_share_conditional_trade
C,FLAT,0,805,0,0,,
C,ALWAYS_LONG,805,0,0,805,1.0,0.0
C,ALWAYS_SHORT,0,0,805,805,0.0,1.0
C,BASE,89,44,672,761,0.11695137976346912,0.8830486202365309
C,GATE_ONLY,7,740,58,65,0.1076923076923077,0.8923076923076924
C,HIDDEN_AWARE,8,743,54,62,0.12903225806451613,0.8709677419354839
C,GATED_ALWAYS_LONG,68,737,0,68,1.0,0.0
C,GATED_ALWAYS_SHORT,0,737,68,68,0.0,1.0
VALIDATION,FLAT,0,902,0,0,,
VALIDATION,ALWAYS_LONG,902,0,0,902,1.0,0.0
VALIDATION,ALWAYS_SHORT,0,0,902,902,0.0,1.0
VALIDATION,BASE,209,119,574,783,0.2669220945083014,0.7330779054916986
VALIDATION,GATE_ONLY,7,872,23,30,0.23333333333333334,0.7666666666666667
VALIDATION,HIDDEN_AWARE,4,871,27,31,0.12903225806451613,0.8709677419354839
VALIDATION,GATED_ALWAYS_LONG,34,868,0,34,1.0,0.0
VALIDATION,GATED_ALWAYS_SHORT,0,868,34,34,0.0,1.0
