stage,policy,n_long,n_flat,n_short,n_trade,long_share_conditional_trade,short_share_conditional_trade
C,FLAT,0,805,0,0,,
C,ALWAYS_LONG,805,0,0,805,1.0,0.0
C,ALWAYS_SHORT,0,0,805,805,0.0,1.0
C,BASE,67,33,705,772,0.08678756476683938,0.9132124352331606
C,GATE_ONLY,3,742,60,63,0.047619047619047616,0.9523809523809523
C,HIDDEN_AWARE,5,741,59,64,0.078125,0.921875
C,GATED_ALWAYS_LONG,68,737,0,68,1.0,0.0
C,GATED_ALWAYS_SHORT,0,737,68,68,0.0,1.0
VALIDATION,FLAT,0,902,0,0,,
VALIDATION,ALWAYS_LONG,902,0,0,902,1.0,0.0
VALIDATION,ALWAYS_SHORT,0,0,902,902,0.0,1.0
VALIDATION,BASE,172,106,624,796,0.21608040201005024,0.7839195979899497
VALIDATION,GATE_ONLY,7,870,25,32,0.21875,0.78125
VALIDATION,HIDDEN_AWARE,4,868,30,34,0.11764705882352941,0.8823529411764706
VALIDATION,GATED_ALWAYS_LONG,34,868,0,34,1.0,0.0
VALIDATION,GATED_ALWAYS_SHORT,0,868,34,34,0.0,1.0
