feature_family,max_depth,min_samples_leaf,fold_rmses,mean_rmse,mean_mae,selected
S_ONLY,1,20,"[0.7467859106840006, 0.6417828220946389, 0.7128983020066503, 0.7123733813912112]",0.7034601040441253,0.5293213404579888,True
S_ONLY,1,40,"[0.7561231706951774, 0.6419792833085136, 0.7112264950591306, 0.7134055109184432]",0.7056836149953163,0.531951031256498,False
S_ONLY,2,20,"[0.7485551025694726, 0.6439868449376308, 0.7142244361844013, 0.730550799255807]",0.7093292957368279,0.5355832219795751,False
S_ONLY,2,40,"[0.7561231706951774, 0.6410446941314389, 0.7089622522193167, 0.7263720314534744]",0.7081255371248519,0.5335491851712293,False
HIDDEN_ONLY,1,20,"[0.7481117479824718, 0.6530560548907828, 0.7154473631785017, 0.7371917861724535]",0.7134517380560524,0.5377299209775274,True
HIDDEN_ONLY,1,40,"[0.74934813536145, 0.6534690600748972, 0.7131686384219215, 0.7415558526711892]",0.7143854216323645,0.5392837778093407,False
HIDDEN_ONLY,2,20,"[0.7637820240587584, 0.6709412678204041, 0.7250683335813578, 0.7420116587521062]",0.7254508210531567,0.5455714725835963,False
HIDDEN_ONLY,2,40,"[0.74934813536145, 0.6607744071807164, 0.7261538261128744, 0.7454996669013478]",0.7204440088890971,0.5407804308277951,False
COMBINED,1,20,"[0.7292830567354358, 0.6432971883029096, 0.7052014472756803, 0.715302913924378]",0.6982711515596008,0.5262911233004176,True
COMBINED,1,40,"[0.730923157295023, 0.6430954707405134, 0.7049435376505583, 0.7156865787984583]",0.6986621861211383,0.5267401567656579,False
COMBINED,2,20,"[0.7378797634239854, 0.6583414930604069, 0.7038966093669601, 0.723652242280881]",0.7059425270330584,0.532450157819885,False
COMBINED,2,40,"[0.730923157295023, 0.6576360841311693, 0.707101231322726, 0.7209382994835256]",0.704149693058111,0.5293265412211019,False
