model_day,next_model_day,application_stage,S_next,D,Z_R,Z_I_prev,hidden_type,is_hidden,split,C_hat_S_ONLY,C_hat_HIDDEN_ONLY,C_hat_COMBINED,G_hat_S_ONLY,G_hat_COMBINED,ordinary_contribution,G_hat_HIDDEN_ONLY,final_G_hat,actual_final_action,ML_SIGN_diagnostic_action,iv_raw_var,weekday,model_day_fc,Rfc,S_raw_iv_diagnostic,weekday_norm_S_contribution,weekday_norm_Ghat_contribution,signal_scope
2012-08-08,2012-08-09,DEVELOPMENT,0.5145192807775181,,,,NOT_SCORED,False,DEVELOPMENT,-0.1981670581554844,,,-0.7126863389330025,,-0.5145192807775181,,,FLAT,0.0,0.0142683025,Wednesday,,,,,,HISTORICAL_OR_HIDDEN_TEST
2012-08-09,2012-08-10,DEVELOPMENT,-0.0835901448632609,,,,NOT_SCORED,False,DEVELOPMENT,-0.42244179357189804,,,-0.33885164870863715,,0.0835901448632609,,,FLAT,0.0,0.0057684025,Thursday,,,,,,HISTORICAL_OR_HIDDEN_TEST
2012-08-10,2012-08-13,DEVELOPMENT,,1.1202173526430097,-0.9556109246701736,-2.0758282773131835,NONE,False,DEVELOPMENT,,-0.637193912664067,,,,,,,FLAT,0.0,0.0017347225,Friday,,,,,,HISTORICAL_OR_HIDDEN_TEST
2012-08-13,2012-08-14,DEVELOPMENT,,,,,NOT_SCORED,False,DEVELOPMENT,,,,,,,,,FLAT,0.0,0.00473344,Monday,,,,,,HISTORICAL_OR_HIDDEN_TEST
2012-08-14,2012-08-15,DEVELOPMENT,0.0995652336725812,,,,NOT_SCORED,False,DEVELOPMENT,-0.2274502179836357,,,-0.3270154516562169,,-0.0995652336725812,,,FLAT,0.0,0.00606841,Tuesday,,,,,,HISTORICAL_OR_HIDDEN_TEST
2012-08-15,2012-08-16,DEVELOPMENT,0.2535291556361378,,,,NOT_SCORED,False,DEVELOPMENT,-0.20611963282977988,,,-0.4596487884659177,,-0.2535291556361378,,,FLAT,0.0,0.0080550625,Wednesday,,,,,,HISTORICAL_OR_HIDDEN_TEST
2012-08-16,2012-08-17,DEVELOPMENT,0.3720523681825474,,,,NOT_SCORED,False,DEVELOPMENT,-0.20274852028687418,,,-0.5748008884694216,,-0.3720523681825474,,,FLAT,0.0,0.0091011599999999,Thursday,,,,,,HISTORICAL_OR_HIDDEN_TEST
2012-08-17,2012-08-20,DEVELOPMENT,0.2134773345578309,,,,NOT_SCORED,False,DEVELOPMENT,-0.2169669131085689,,,-0.43044424766639977,,-0.2134773345578309,,,FLAT,0.0,0.002639390625,Friday,,,,,,HISTORICAL_OR_HIDDEN_TEST
2012-08-20,2012-08-21,DEVELOPMENT,,,,,NOT_SCORED,False,DEVELOPMENT,,,,,,,,,FLAT,0.0,0.00452929,Monday,,,,,,HISTORICAL_OR_HIDDEN_TEST
2012-08-21,2012-08-22,DEVELOPMENT,,,,,NOT_SCORED,False,DEVELOPMENT,,,,,,,,,FLAT,0.0,0.004799025625,Tuesday,,,,,,HISTORICAL_OR_HIDDEN_TEST
2012-08-22,2012-08-23,DEVELOPMENT,-0.4438146368273264,,,,NOT_SCORED,False,DEVELOPMENT,-0.8173573708016062,,,-0.3735427339742798,,0.4438146368273264,,,FLAT,0.0,0.0051337225,Wednesday,,,,,,HISTORICAL_OR_HIDDEN_TEST
2012-08-23,2012-08-24,DEVELOPMENT,-0.2678823234083335,,,,NOT_SCORED,False,DEVELOPMENT,-0.6808599828589984,,,-0.4129776594506649,,0.2678823234083335,,,FLAT,0.0,0.0045630025,Thursday,,,,,,HISTORICAL_OR_HIDDEN_TEST
2012-08-24,2012-08-27,DEVELOPMENT,-0.0470334351824532,,,,NOT_SCORED,False,DEVELOPMENT,-0.2274502179836357,,,-0.1804167828011825,,0.0470334351824532,,,FLAT,0.0,0.0016200625,Friday,,,,,,HISTORICAL_OR_HIDDEN_TEST
2012-08-27,2012-08-28,DEVELOPMENT,0.1417527062324135,,,,NOT_SCORED,False,DEVELOPMENT,-0.20681209511625542,,,-0.34856480134866896,,-0.1417527062324135,,,FLAT,0.0,0.0041634756249999,Monday,,,,,,HISTORICAL_OR_HIDDEN_TEST
2012-08-28,2012-08-29,DEVELOPMENT,0.0626110710812312,,,,NOT_SCORED,False,DEVELOPMENT,-0.2274502179836357,,,-0.29006128906486695,,-0.0626110710812312,,,FLAT,0.0,0.0042055225,Tuesday,,,,,,HISTORICAL_OR_HIDDEN_TEST
2012-08-29,2012-08-30,DEVELOPMENT,0.1151645774989292,-1.0680550819784176,-1.3907500947299392,-0.3226950127515214,NONE,False,DEVELOPMENT,-0.2274502179836357,-0.39600349412333447,-0.3533925159271084,-0.3426147954825649,-0.4685570934260376,-0.1151645774989292,-0.5111680716222636,-0.4685570934260376,FLAT,-1.0,0.0048441599999999,Wednesday,,,,,,HISTORICAL_OR_HIDDEN_TEST
2012-08-30,2012-08-31,DEVELOPMENT,0.2503959437499315,-0.5344069680773682,-1.6654426602053172,-1.131035692127949,NONE,False,DEVELOPMENT,-0.20611963282977988,-0.41979237310663864,-0.34739551861417006,-0.4565155765797114,-0.5977914623641016,-0.2503959437499315,-0.6701883168565701,-0.5977914623641016,FLAT,-1.0,0.00707281,Thursday,,,,,,HISTORICAL_OR_HIDDEN_TEST
2012-08-31,2012-09-03,DEVELOPMENT,0.2703714546468885,0.2790637344762664,-0.0780443766426987,-0.3571081111189652,NONE,False,DEVELOPMENT,-0.20611963282977988,-0.2127481141899544,-0.18516619515673147,-0.47649108747666835,-0.45553764980362,-0.2703714546468885,-0.4831195688368429,-0.45553764980362,FLAT,-1.0,0.002913300625,Friday,,,,,,HISTORICAL_OR_HIDDEN_TEST
2012-09-03,2012-09-04,DEVELOPMENT,0.1866949807305003,-1.5923597115244967,-1.8503922992551043,-0.2580325877306078,NONE,False,DEVELOPMENT,-0.2169669131085689,-0.4025363740572049,-0.3254145202248367,-0.4036618938390692,-0.512109500955337,-0.1866949807305003,-0.5892313547877052,-0.512109500955337,FLAT,-1.0,0.0047403225,Monday,,,,,,HISTORICAL_OR_HIDDEN_TEST
2012-09-04,2012-09-05,DEVELOPMENT,-0.1451138302616347,-0.3752739792799906,-1.7131415446620897,-1.337867565382099,NONE,False,DEVELOPMENT,-0.42244179357189804,-0.49129591976253306,-0.5293007184901714,-0.2773279633102633,-0.38418688822853664,0.1451138302616347,-0.34618208950089835,-0.38418688822853664,FLAT,-1.0,0.003326405625,Tuesday,,,,,,HISTORICAL_OR_HIDDEN_TEST
2012-09-05,2012-09-06,DEVELOPMENT,-0.042334170876221,0.5639461848388536,-1.3425350971974377,-1.906481282036291,NONE,False,DEVELOPMENT,-0.2274502179836357,-0.6666408184792483,-0.46544735415294314,-0.1851160471074147,-0.42311318327672215,0.042334170876221,-0.6243066476030272,-0.42311318327672215,FLAT,-1.0,0.0041056056249999,Wednesday,,,,,,HISTORICAL_OR_HIDDEN_TEST
