source,model,target,split,n_forecasts,n_finite,n_negative,n_zero,n_nonpositive,fraction_nonpositive,minimum,Q001,Q005,Q01,Q05,median
N17_PARAMETRIC,I_AR12,I,test,1071,1071,6,0,6,0.0056022408963585435,-0.0186361240731782,-0.014821045042717815,-0.0019111496681370182,0.00155002163062236,0.0030706771364396,0.0096539416760829
N17_PARAMETRIC,I_AR12,I,validation,1087,1087,2,0,2,0.0018399264029438822,-0.0019773291259397,-0.0004535025533376008,0.000968138378630771,0.001232413799163286,0.00181753570722491,0.003827443504989
N17_PARAMETRIC,I_AR12_Q,I,test,1071,1071,18,0,18,0.01680672268907563,-0.019593868627412,-0.019487325995928503,-0.010977034385184443,-0.00423683022165768,0.0025822343710532,0.0093607885592642
N17_PARAMETRIC,I_AR12_Q,I,validation,1087,1087,8,0,8,0.007359705611775529,-0.0064411952936954,-0.004327107824582924,-0.001376153508587232,0.0005466348031910079,0.00158916402053777,0.0039649440740999
N17_PARAMETRIC,I_AR12_R,I,test,1071,1071,17,0,17,0.015873015873015872,-0.0278880093876607,-0.0167743207854476,-0.005440221774451684,-0.00251361510283553,0.00275259623323545,0.0092310661704383
N17_PARAMETRIC,I_AR12_R,I,validation,1087,1087,4,0,4,0.0036798528058877645,-0.0043196293866721,-0.0024145699422498247,0.00055544043393023,0.0008047330389728379,0.0017216833982310299,0.0038000009690382
N17_PARAMETRIC,I_PERSISTENCE,I,test,1071,1071,0,0,0,0.0,0.001167255031339,0.001341168262515716,0.001624546830674505,0.00205608718261032,0.00294691050412225,0.008933216240217
N17_PARAMETRIC,I_PERSISTENCE,I,validation,1087,1087,0,0,0,0.0,0.000420815983134,0.0007667560174086782,0.001090599132465376,0.001191717446516574,0.00175514486802497,0.0037426254462675
N17_PARAMETRIC,I_PRIMARY_FULL_12,I,test,2142,2142,40,0,40,0.018674136321195144,-0.0275007527341318,-0.018754798254900718,-0.00902890294425078,-0.0036761144398642868,0.002554782635571265,0.00933605386406945
N17_PARAMETRIC,I_PRIMARY_FULL_12,I,validation,1087,1087,7,0,7,0.006439742410303588,-0.005913780051355,-0.003082811292417381,-0.0005159177636276881,0.000338432834170186,0.0015472026268949501,0.0038900434702453
N17_PARAMETRIC,R_AR1,R,test,1182,1182,0,0,0,0.0,0.0055514967162626,0.005556365011570063,0.005608305304590063,0.005654913092316022,0.005896861812686225,0.00782059046190715
N17_PARAMETRIC,R_AR1,R,validation,1181,1181,0,0,0,0.0,0.0068824109942327,0.006929155305139123,0.00697655787372814,0.00703042839788166,0.0071755758031703,0.0079538498606074
N17_PARAMETRIC,R_AR1_Q,R,test,1182,1182,0,0,0,0.0,0.0054936818675407,0.005517271594559641,0.005547583039025963,0.005583207350200509,0.00582546439941483,0.0077999491263023996
N17_PARAMETRIC,R_AR1_Q,R,validation,1181,1181,0,0,0,0.0,0.0068251080972627,0.006859416803507838,0.00690616762552273,0.00696451476915842,0.0070890230889418,0.0079087525416821
N17_PARAMETRIC,R_EXPANDED_Q_R_IV,R,test,1182,1182,0,0,0,0.0,0.0033489582119039,0.0034779934161493047,0.0036592472966172334,0.00379801484435022,0.004221118287932675,0.0070264197020365494
N17_PARAMETRIC,R_EXPANDED_Q_R_IV,R,validation,1181,1181,0,0,0,0.0,0.0038760271401766,0.003899871625244252,0.00399852537767348,0.0040666261783087205,0.0043159581483095,0.0052957124662804
N17_PARAMETRIC,R_PERSISTENCE,R,test,1182,1182,0,0,0,0.0,0.0002082382783398,0.0002200475528027729,0.000346041794570026,0.00045910070382040603,0.0010460081661614752,0.00571249575088425
N17_PARAMETRIC,R_PERSISTENCE,R,validation,1181,1181,0,0,0,0.0,7.197108632617968e-05,0.000193107170755306,0.00031594910465942,0.0004555524967204,0.0008316964167132,0.0028485637124873
N17_PARAMETRIC,R_PRIMARY_AR1_IV,R,test,2364,2364,0,0,0,0.0,0.0033779499155909,0.0035138611569357726,0.003703419423202237,0.003869976916603267,0.004343989377751675,0.0071830287933474
N17_PARAMETRIC,R_PRIMARY_AR1_IV,R,validation,1181,1181,0,0,0,0.0,0.0039146724625093,0.0039279392545604275,0.00403415640700635,0.00410262936096202,0.0043525446340257,0.0053314869951732
N18_EVENTLESS,N18_EVENTLESS,I,test,1071,1071,38,0,38,0.035480859010270774,-0.0381862981330923,-0.02794892237742013,-0.015274066431141898,-0.006927791378329679,0.00170695619322185,0.0091789603239927
N18_EVENTLESS,N18_EVENTLESS,I,train,2226,2226,23,0,23,0.010332434860736747,-0.0468898481221259,-0.015168066838632432,-0.003850845601087725,-2.075235171009412e-06,0.00304145802576205,0.0118168171725111
N18_EVENTLESS,N18_EVENTLESS,I,validation,1087,1087,16,0,16,0.014719411223551058,-0.0089569535340724,-0.007408240625227475,-0.0019584870325512374,-0.0007708943741674482,0.0009818537466025601,0.0035462887820649
N18_EVENTLESS,N18_EVENTLESS,R,test,1182,1182,0,0,0,0.0,0.003242869511377,0.0033760962441916234,0.003548949053132063,0.003661964932785705,0.00411073020004276,0.00681575022614385
N18_EVENTLESS,N18_EVENTLESS,R,train,3005,3005,0,0,0,0.0,0.0039849149591792,0.0040883645226423735,0.004276150310982634,0.004424300659705176,0.00521276153727276,0.0084030603582271
N18_EVENTLESS,N18_EVENTLESS,R,validation,1181,1181,0,0,0,0.0,0.0037573075396009,0.003774083219005194,0.0038776464854563403,0.00393689476994508,0.0041825099410648,0.0051266856166252
N19_EVENTLESS,GB,I,test,1208,1208,4,0,4,0.0033112582781456954,-0.039451190577562,-0.023171891079448014,0.0033138863992392,0.0033138863992392,0.0036807153989486,0.0095687050063437
N19_EVENTLESS,GB,I,validation,1209,1209,0,0,0,0.0,0.0051608730913414,0.0051608730913414,0.0051608730913414,0.0051608730913414,0.0051608730913414,0.0056791335754949
N19_EVENTLESS,GB,R,test,1169,1169,0,0,0,0.0,0.0029757279053784,0.0029757279053784,0.0029757279053784,0.0030134703420129,0.0030134703420129,0.0068028626186446
N19_EVENTLESS,GB,R,validation,1168,1168,1,0,1,0.0008561643835616438,-0.0094024546765085,0.0032855320970417,0.0032855320970417,0.0032855320970417,0.0032855320970417,0.0039109407665854
N19_EVENTLESS,MLP,I,test,1156,1156,3,0,3,0.0025951557093425604,-0.0137582027411305,-0.0048748679153136866,0.0024531260998122252,0.002890525568189455,0.003828855963039175,0.00948367188090035
N19_EVENTLESS,MLP,I,validation,1155,1155,0,0,0,0.0,0.0003508235221227,0.002229364832172353,0.003559881341849524,0.003786441310813816,0.00411491294840653,0.0056962550845732
N19_EVENTLESS,MLP,R,test,1182,1182,0,0,0,0.0,0.0015430196413827,0.0017317079543241719,0.001961706626570765,0.002144706644980052,0.00280393652295475,0.0066206581300885005
N19_EVENTLESS,MLP,R,validation,1181,1181,0,0,0,0.0,0.0014386668345626,0.001467944678951904,0.0015989348042058,0.0016582346130514399,0.0020038350055473,0.0033335990757415
N19_EVENTLESS,RF,I,test,1208,1208,0,0,0,0.0,0.0018501671660593,0.0020274283935471263,0.002252535280869968,0.0027396130561730637,0.00346752168728942,0.009671130691948599
N19_EVENTLESS,RF,I,validation,1209,1209,0,0,0,0.0,0.0025733551884301,0.0026023453033271584,0.002611981947466112,0.00261826280731062,0.00273493271779288,0.0048624460253688
N19_EVENTLESS,RF,R,test,1182,1182,0,0,0,0.0,0.0012737880616935,0.0013658398344557913,0.0017908067518571965,0.001844141643132651,0.00247636816163193,0.0066511282252620495
N19_EVENTLESS,RF,R,validation,1181,1181,0,0,0,0.0,0.0016451406351032,0.001646112079970842,0.00165514913411652,0.001664317390541,0.001701570859808,0.0033437460883061
N19_EVENTLESS,TRANSFORMER,I,test,1142,1142,0,0,0,0.0,0.0015529038632465,0.0017781219647994106,0.0021393050367351386,0.002394156790567227,0.003396302038196775,0.00977617377743115
N19_EVENTLESS,TRANSFORMER,I,validation,1143,1143,0,0,0,0.0,0.0019259652173632,0.0022645360494141405,0.002542533387743415,0.002673836261234362,0.0032002851790176403,0.0051346393608622
N19_EVENTLESS,TRANSFORMER,R,test,1182,1182,0,0,0,0.0,0.0018489323721803,0.0020342567683376426,0.002248875208437861,0.002461833469301988,0.003103165484150105,0.0068725640791351995
N19_EVENTLESS,TRANSFORMER,R,validation,1181,1181,0,0,0,0.0,0.0007976078219101,0.000834589615163156,0.00096116159837454,0.0010453143745374999,0.001432155373758,0.0029027466354116
N19_ORDINARY,GB,I,test,1208,1208,0,0,0,0.0,0.0038168001293935,0.0038168001293935,0.0038168001293935,0.0038168001293935,0.0040472060258106,0.0098350648745536
N19_ORDINARY,GB,I,validation,1209,1209,0,0,0,0.0,0.0062033479194115,0.0062033479194115,0.0062033479194115,0.0062033479194115,0.0062033479194115,0.0064842934518897
N19_ORDINARY,GB,R,test,1169,1169,0,0,0,0.0,0.0024868296405037,0.002919626901877,0.002919626901877,0.0030038771384469,0.0030038771384469,0.0066841159065869
N19_ORDINARY,GB,R,validation,1168,1168,0,0,0,0.0,0.0034146390403965,0.0034146390403965,0.0034146390403965,0.0034146390403965,0.0034146390403965,0.0040607660036273
