split,subset,hidden_type,n
DEVELOPMENT,DETECTED,NOT_SCORED,180
DEVELOPMENT,DETECTED,NONE,1025
DEVELOPMENT,DETECTED,REALISED_ONLY,4
DEVELOPMENT,DETECTED,IMPLIED_ONLY,0
TEST,DETECTED,NOT_SCORED,77
TEST,DETECTED,NONE,1118
TEST,DETECTED,REALISED_ONLY,4
TEST,DETECTED,IMPLIED_ONLY,10
VALIDATION,DETECTED,NOT_SCORED,76
VALIDATION,DETECTED,NONE,1121
VALIDATION,DETECTED,REALISED_ONLY,9
VALIDATION,DETECTED,IMPLIED_ONLY,3
VALIDATION,ECONOMICALLY_EVALUABLE,REALISED_ONLY,9
VALIDATION,ECONOMICALLY_EVALUABLE,IMPLIED_ONLY,3
TEST,ECONOMICALLY_EVALUABLE,REALISED_ONLY,3
TEST,ECONOMICALLY_EVALUABLE,IMPLIED_ONLY,9
