date,risk_reversal,currency_pair,tenor,ticker,source_workbook,source_sheet
2003-10-02,-3.2,USDJPY,1M,USDJPY25R1M BGN Curncy,25R - all currencies diff tenors.xlsx,1M
2003-10-03,-3.3,USDJPY,1M,USDJPY25R1M BGN Curncy,25R - all currencies diff tenors.xlsx,1M
2003-10-06,-2.7,USDJPY,1M,USDJPY25R1M BGN Curncy,25R - all currencies diff tenors.xlsx,1M
2003-10-07,-3.1,USDJPY,1M,USDJPY25R1M BGN Curncy,25R - all currencies diff tenors.xlsx,1M
2003-10-08,-3.1,USDJPY,1M,USDJPY25R1M BGN Curncy,25R - all currencies diff tenors.xlsx,1M
2003-10-09,-3.0,USDJPY,1M,USDJPY25R1M BGN Curncy,25R - all currencies diff tenors.xlsx,1M
2003-10-10,-3.0,USDJPY,1M,USDJPY25R1M BGN Curncy,25R - all currencies diff tenors.xlsx,1M
2003-10-13,-2.65,USDJPY,1M,USDJPY25R1M BGN Curncy,25R - all currencies diff tenors.xlsx,1M
2003-10-14,-2.35,USDJPY,1M,USDJPY25R1M BGN Curncy,25R - all currencies diff tenors.xlsx,1M
2003-10-15,-2.425,USDJPY,1M,USDJPY25R1M BGN Curncy,25R - all currencies diff tenors.xlsx,1M
2003-10-16,-1.575,USDJPY,1M,USDJPY25R1M BGN Curncy,25R - all currencies diff tenors.xlsx,1M
2003-10-17,-1.5,USDJPY,1M,USDJPY25R1M BGN Curncy,25R - all currencies diff tenors.xlsx,1M
2003-10-20,-1.375,USDJPY,1M,USDJPY25R1M BGN Curncy,25R - all currencies diff tenors.xlsx,1M
2003-10-21,-1.4,USDJPY,1M,USDJPY25R1M BGN Curncy,25R - all currencies diff tenors.xlsx,1M
2003-10-22,-1.5,USDJPY,1M,USDJPY25R1M BGN Curncy,25R - all currencies diff tenors.xlsx,1M
2003-10-23,-1.45,USDJPY,1M,USDJPY25R1M BGN Curncy,25R - all currencies diff tenors.xlsx,1M
2003-10-24,-1.4,USDJPY,1M,USDJPY25R1M BGN Curncy,25R - all currencies diff tenors.xlsx,1M
2003-10-27,-1.8,USDJPY,1M,USDJPY25R1M BGN Curncy,25R - all currencies diff tenors.xlsx,1M
2003-10-28,-1.9,USDJPY,1M,USDJPY25R1M BGN Curncy,25R - all currencies diff tenors.xlsx,1M
