alignment,bank,sample,outcome,representation,bin_count,lag,observed_mi,permutation_mean_mi,excess_mi,mi_p_value,mi_q_value,normalised_mi,continuous_point_biserial_correlation,correlation_p_value,correlation_q_value,mi_correlation_concordance,paired_observations,paired_event_count,valid_unique_shift_count,actual_permutation_count,support_category,inference_available
same_date,BoJ,all_usable_in_panel,atm_1m_div,raw_iv_change,3,-10,0.00036655740851096854,0.00044238573853447614,-7.58283300235076e-05,0.45949367088607596,0.7888324873096447,0.002515385872486899,-0.004895246545504193,0.7911392405063291,0.874417055296469,neither MI nor correlation supported,2951,98,789,789,standard support,True
same_date,BoJ,all_usable_in_panel,atm_1m_div,raw_iv_change,3,-9,0.0017101426588637843,0.0004222650211044995,0.0012878776377592848,0.012121212121212121,0.12727272727272726,0.011738375548876658,-0.04526158130944406,0.02181818181818182,0.22909090909090912,neither MI nor correlation supported,2952,98,824,824,standard support,True
same_date,BoJ,all_usable_in_panel,atm_1m_div,raw_iv_change,3,-8,0.00016065391525953317,0.0003998597757027499,-0.00023920586044321672,0.6674528301886793,0.7888324873096447,0.0011030113508518158,-0.0006608603103061767,0.972877358490566,0.9728773584905659,neither MI nor correlation supported,2953,98,847,847,standard support,True
same_date,BoJ,all_usable_in_panel,atm_1m_div,raw_iv_change,3,-7,0.0001301560654966439,0.0003746739160339055,-0.0002445178505372616,0.7021517553793885,0.7888324873096447,0.0008938528971363753,-0.006530650739640277,0.7315968289920725,0.874417055296469,neither MI nor correlation supported,2954,98,882,882,standard support,True
same_date,BoJ,all_usable_in_panel,atm_1m_div,raw_iv_change,3,-6,0.00014061235240634215,0.0003823517661755185,-0.00024173941376917635,0.7044491525423728,0.7888324873096447,0.0009659130899417001,0.007925481501505434,0.6758474576271186,0.874417055296469,neither MI nor correlation supported,2955,98,943,943,standard support,True
same_date,BoJ,all_usable_in_panel,atm_1m_div,raw_iv_change,3,-5,0.00010665542247947495,0.00042916859533338037,-0.0003225131728539054,0.7888324873096447,0.7888324873096447,0.0007328421160680064,0.003667449536340557,0.8527918781725888,0.8954314720812183,neither MI nor correlation supported,2956,98,984,984,standard support,True
same_date,BoJ,all_usable_in_panel,atm_1m_div,raw_iv_change,3,-4,0.00037198754608038084,0.00041676723548614026,-4.477968940575942e-05,0.4275724275724276,0.7888324873096447,0.0025566350974009396,0.022715717692119403,0.25674325674325676,0.673951048951049,neither MI nor correlation supported,2957,98,1019,1000,standard support,True
same_date,BoJ,all_usable_in_panel,atm_1m_div,raw_iv_change,3,-3,0.0005810246433451104,0.0003906959518417036,0.00019032869150340686,0.22077922077922077,0.6251346982758621,0.003994364843052593,-0.006442815349530372,0.7632367632367633,0.874417055296469,neither MI nor correlation supported,2958,98,1041,1000,standard support,True
same_date,BoJ,all_usable_in_panel,atm_1m_div,raw_iv_change,3,-2,0.0008402268788660658,0.0003788823318445601,0.00046134454702150565,0.11188811188811189,0.49854423292273237,0.005777800530217121,0.006451931052343877,0.7322677322677322,0.874417055296469,neither MI nor correlation supported,2959,98,1076,1000,standard support,True
same_date,BoJ,all_usable_in_panel,atm_1m_div,raw_iv_change,3,-1,0.00013597418279377824,0.0003797585611685804,-0.00024378437837480218,0.7172827172827173,0.7888324873096447,0.0009352660980685382,-0.008668942681052737,0.6463536463536463,0.874417055296469,neither MI nor correlation supported,2960,98,1137,1000,standard support,True
