alignment,target_bank,sample,outcome,cumulative_horizon,cumulative_weight,hac_standard_error,lower_bound,upper_bound
same_date,BoJ,all_events,atm_1m_div,0,-0.2366149124361863,0.09409640132229803,-0.4210404701027125,-0.05218935476966011
same_date,BoJ,all_events,atm_1m_div,1,-0.3128322394302301,0.10381669290899805,-0.5163092185259155,-0.10935526033454471
same_date,BoJ,all_events,atm_1m_div,2,-0.21668075734948444,0.11498800520435339,-0.4420531062041152,0.008691591505146284
same_date,BoJ,all_events,atm_1m_div,3,-0.1444803129791905,0.12901181536238152,-0.3973388246695826,0.10837819871120158
same_date,BoJ,all_events,atm_1m_div,4,-0.2532906225980553,0.14524226742617954,-0.5379602357862945,0.03137899059018384
same_date,BoJ,all_events,atm_1m_div,5,-0.33684392688346054,0.15766143079149622,-0.6458546529858389,-0.027833200781082146
same_date,BoJ,all_events,atm_1m_div,6,-0.3043490165553138,0.1801006804944593,-0.6573398639155997,0.048641830804972086
same_date,BoJ,all_events,atm_1m_div,7,-0.28274158794500914,0.1996285265200699,-0.6740063102111344,0.10852313432111615
same_date,BoJ,all_events,atm_1m_div,8,-0.2453102195365887,0.20667075303369123,-0.6503774521403844,0.1597570130672071
same_date,BoJ,all_events,atm_1m_div,9,-0.21175049512891794,0.22547748350577904,-0.6536782421249567,0.23017725186712087
same_date,BoJ,all_events,atm_1m_div,10,-0.1742714567400301,0.2321303699035409,-0.6292386214689183,0.280695707988858
same_date,BoJ,all_events,atm_1m_dlogiv,0,-0.023538607491698664,0.008344451250615604,-0.039893431413655006,-0.0071837835697423184
same_date,BoJ,all_events,atm_1m_dlogiv,1,-0.027755756117966754,0.009511724517028511,-0.046398393602208765,-0.009113118633724746
same_date,BoJ,all_events,atm_1m_dlogiv,2,-0.01476003469359696,0.011080711678129553,-0.036477830505802666,0.006957761118608751
same_date,BoJ,all_events,atm_1m_dlogiv,3,-0.0082152469831566,0.012616209324742627,-0.032942562881069865,0.01651206891475666
same_date,BoJ,all_events,atm_1m_dlogiv,4,-0.01734441038366691,0.014658552416444993,-0.04607464518539088,0.011385824418057067
same_date,BoJ,all_events,atm_1m_dlogiv,5,-0.024815282801627016,0.015547926408680267,-0.055288658596918686,0.005658092993664654
same_date,BoJ,all_events,atm_1m_dlogiv,6,-0.018928902222943786,0.017263193465906615,-0.05276413967426701,0.01490633522837944
same_date,BoJ,all_events,atm_1m_dlogiv,7,-0.013829273204746103,0.01906608351964048,-0.05119811022947309,0.02353956381998088
same_date,BoJ,all_events,atm_1m_dlogiv,8,-0.0067302274453951315,0.020501945489301295,-0.046913302217427975,0.03345284732663772
same_date,BoJ,all_events,atm_1m_dlogiv,9,-0.004811377626960314,0.02230245055106656,-0.04852337747403505,0.038900622220114416
same_date,BoJ,all_events,atm_1m_dlogiv,10,-0.00271539104561687,0.023426778050225566,-0.048631032297871184,0.043200250206637446
same_date,BoJ,common_comparison_period,atm_1m_div,0,-0.2422930204830677,0.1853970144379211,-0.6056644916226355,0.12107845065650005
same_date,BoJ,common_comparison_period,atm_1m_div,1,-0.21315824213569678,0.20766232078863445,-0.6201689118274125,0.1938524275560189
same_date,BoJ,common_comparison_period,atm_1m_div,2,-0.05172440517570073,0.23228403319200613,-0.5069927444157267,0.4035439340643252
same_date,BoJ,common_comparison_period,atm_1m_div,3,0.09042984382880737,0.2745207913012964,-0.4476210201291554,0.6284807077867701
same_date,BoJ,common_comparison_period,atm_1m_div,4,-0.043836848302792525,0.30851743138695065,-0.6485199024240065,0.5608462058184214
same_date,BoJ,common_comparison_period,atm_1m_div,5,-0.12471399810660927,0.3371442329623467,-0.7855045523081723,0.5360765560949539
same_date,BoJ,common_comparison_period,atm_1m_div,6,-0.12245412911244352,0.3707020784176592,-0.8490168518051784,0.6041085935802912
same_date,BoJ,common_comparison_period,atm_1m_div,7,-0.1656899312187638,0.39356637757011187,-0.9370658567820545,0.6056859943445267
same_date,BoJ,common_comparison_period,atm_1m_div,8,-0.17743906265139764,0.4261098448801617,-1.0125990120744408,0.6577208867716454
same_date,BoJ,common_comparison_period,atm_1m_div,9,-0.1301361603537788,0.4520323950865219,-1.0161033745687178,0.7558310538611601
same_date,BoJ,common_comparison_period,atm_1m_div,10,-0.07247276299308984,0.4726637413704075,-0.9988766728770178,0.8539311468908382
same_date,BoJ,post_window_clean,atm_1m_div,0,-0.27265684486102315,0.10633169300805814,-0.4810631335719808,-0.06425055615006545
same_date,BoJ,post_window_clean,atm_1m_div,1,-0.3961788100716807,0.1145693950582206,-0.6207306981163281,-0.17162692202703328
same_date,BoJ,post_window_clean,atm_1m_div,2,-0.29128254594498726,0.12371900908589302,-0.5337673479563146,-0.048797743933659904
same_date,BoJ,post_window_clean,atm_1m_div,3,-0.26294797610581433,0.13412939293113818,-0.5258367555190593,-5.919669256942983e-05
same_date,BoJ,post_window_clean,atm_1m_div,4,-0.34315879587427245,0.15312671065120226,-0.6432816338217064,-0.0430359579268384
same_date,BoJ,post_window_clean,atm_1m_div,5,-0.42531995049475274,0.16722423247896834,-0.7530734234958748,-0.09756647749363068
same_date,BoJ,post_window_clean,atm_1m_div,6,-0.3590344183434033,0.19325400417347363,-0.7378053063915545,0.01973646970474785
same_date,BoJ,post_window_clean,atm_1m_div,7,-0.30801204559816014,0.2140586709551981,-0.727559331248847,0.11153524005252669
same_date,BoJ,post_window_clean,atm_1m_div,8,-0.2451024023656949,0.2165046113133218,-0.6694436430266371,0.1792388382952473
same_date,BoJ,post_window_clean,atm_1m_div,9,-0.20747013376258233,0.2370382038998702,-0.672056476366377,0.2571162088412123
same_date,BoJ,post_window_clean,atm_1m_div,10,-0.17959915501024076,0.24110973976709432,-0.6521655612755575,0.29296725125507594
same_date,BoJ,strict_full_window_clean,atm_1m_div,0,-0.16805748238055687,0.13184061161140942,-0.4264603328386455,0.09034536807753171
same_date,BoJ,strict_full_window_clean,atm_1m_div,1,-0.2963211749089536,0.13663319660182027,-0.5641173193410944,-0.028525030476812763
same_date,BoJ,strict_full_window_clean,atm_1m_div,2,-0.240823051749461,0.14900861097531914,-0.5328745626474183,0.051228459148496275
same_date,BoJ,strict_full_window_clean,atm_1m_div,3,-0.17961131078503323,0.1597669685307656,-0.4927488150244694,0.13352619345440292
same_date,BoJ,strict_full_window_clean,atm_1m_div,4,-0.241568700354986,0.18470019415871464,-0.603574428843612,0.12043702813363999
same_date,BoJ,strict_full_window_clean,atm_1m_div,5,-0.3235734514449889,0.20281628024060308,-0.7210860561949426,0.07393915330496481
same_date,BoJ,strict_full_window_clean,atm_1m_div,6,-0.24931736644896751,0.23715962223166953,-0.7141416846101517,0.21550695171221668
same_date,BoJ,strict_full_window_clean,atm_1m_div,7,-0.18664786622392315,0.27167278809637163,-0.7191167464723788,0.34582101402453247
same_date,BoJ,strict_full_window_clean,atm_1m_div,8,-0.0924291587946603,0.2668704602045327,-0.6154856493331597,0.43062733174383916
same_date,BoJ,strict_full_window_clean,atm_1m_div,9,0.00038076458274971525,0.29523266306414025,-0.5782646220827979,0.5790261512482974
