alignment,evaluation_subset,nominal_coverage,event_model,benchmark_model,observation_count,mean_interval_score_difference,relative_interval_score_improvement,dm_statistic,dm_p_value,dm_q_value,bh_significant,formal_test_available,significant_interval_improvement,significant_interval_underperformance,comparison_classification
same_date,all_dates,0.8,event_nonparametric,background_arx,639,-0.035398893540791385,-0.022552741092114692,-1.7161192085868537,0.08614022621402506,0.17228045242805012,False,True,False,False,no corrected difference
same_date,all_dates,0.8,event_parametric,background_arx,639,-0.013805331138813222,-0.008795417814564832,-1.0769931610893317,0.2814833209879487,0.2814833209879487,False,True,False,False,no corrected difference
same_date,all_dates,0.95,event_nonparametric,background_arx,639,-0.05960574930486602,-0.023115285034861488,-1.3743904909970586,0.16932048663827937,0.33864097327655873,False,True,False,False,no corrected difference
same_date,all_dates,0.95,event_parametric,background_arx,639,-0.025902610165452755,-0.010045108468629937,-0.9213067041993515,0.35689032189316316,0.35689032189316316,False,True,False,False,no corrected difference
same_date,non_event,0.8,event_nonparametric,background_arx,288,0.003924615483058842,0.0024410678578057343,0.9543663261686278,0.3398982452825573,0.4066460612927052,False,True,False,False,no corrected difference
same_date,non_event,0.8,event_parametric,background_arx,288,0.005056601933948826,0.003145151035550686,0.829810273638886,0.4066460612927052,0.4066460612927052,False,True,False,False,no corrected difference
same_date,non_event,0.95,event_nonparametric,background_arx,288,0.00844804175731895,0.003248458607497562,0.5447681572879721,0.5859129816596291,0.8571880060582625,False,True,False,False,no corrected difference
same_date,non_event,0.95,event_parametric,background_arx,288,-0.004227961642593186,-0.001625744614502267,-0.1799548600333599,0.8571880060582625,0.8571880060582625,False,True,False,False,no corrected difference
same_date,any_event_window,0.8,event_nonparametric,background_arx,351,-0.06766433684241208,-0.04398614511556542,-1.9060473190731257,0.05664406667172434,0.11328813334344869,False,True,False,False,no corrected difference
same_date,any_event_window,0.8,event_parametric,background_arx,351,-0.029281789044669247,-0.019035035031258696,-1.3212719968620426,0.1864106876475251,0.1864106876475251,False,True,False,False,no corrected difference
same_date,any_event_window,0.95,event_nonparametric,background_arx,351,-0.11544475735588955,-0.04508545408825593,-1.5704922595826027,0.11630063376620435,0.2326012675324087,False,True,False,False,no corrected difference
same_date,any_event_window,0.95,event_parametric,background_arx,351,-0.04368693715856829,-0.017061367225600366,-1.0423533194716665,0.297247900395918,0.297247900395918,False,True,False,False,no corrected difference
same_date,pre_event,0.8,event_nonparametric,background_arx,136,-0.14935504034468797,-0.10726004755038487,-3.5714503544807856,0.0003550098478068442,0.0007100196956136884,True,True,False,True,significant underperformance
same_date,pre_event,0.8,event_parametric,background_arx,136,-0.06385498873553155,-0.04585777026537419,-2.076896179115306,0.03781114249304444,0.03781114249304444,True,True,False,True,significant underperformance
same_date,pre_event,0.95,event_nonparametric,background_arx,136,-0.14286392459302047,-0.05853725325780679,-1.0315237286206393,0.30229528669502304,0.30229528669502304,False,True,False,False,no corrected difference
same_date,pre_event,0.95,event_parametric,background_arx,136,-0.0929917608615082,-0.038102566984257846,-1.057596627326679,0.2902393807987257,0.30229528669502304,False,True,False,False,no corrected difference
same_date,response_age_0,0.8,event_nonparametric,background_arx,36,-0.5213490841161476,-0.3068082471282827,-1.7941967102253973,0.07278177705774214,0.13451048187037834,False,True,False,False,no corrected difference
same_date,response_age_0,0.8,event_parametric,background_arx,36,-0.35077034366888876,-0.2064245197017771,-1.4965496415457373,0.13451048187037834,0.13451048187037834,False,True,False,False,no corrected difference
same_date,response_age_0,0.95,event_nonparametric,background_arx,36,-0.580843006591279,-0.25529597735484044,-1.338413918408616,0.18076154423156043,0.22327730230797938,False,True,False,False,no corrected difference
same_date,response_age_0,0.95,event_parametric,background_arx,36,-0.353039240561064,-0.15517015259007638,-1.2178596753416477,0.22327730230797938,0.22327730230797938,False,True,False,False,no corrected difference
same_date,post_event,0.8,event_nonparametric,background_arx,237,-0.0033636525576796147,-0.0020114906652470843,-0.08132722334461238,0.9351817245956439,0.9351817245956439,False,True,False,False,no corrected difference
same_date,post_event,0.8,event_parametric,background_arx,237,0.006691138217289496,0.0040013532412037645,0.2825275415493022,0.7775390312898333,0.9351817245956439,False,True,False,False,no corrected difference
same_date,post_event,0.95,event_nonparametric,background_arx,237,-0.07137874946223455,-0.025757981977347688,-0.923744161552395,0.3556195335495629,0.44054588777082715,False,True,False,False,no corrected difference
same_date,post_event,0.95,event_parametric,background_arx,237,-0.020270259789815222,-0.007314795934026064,-0.7712717257081813,0.44054588777082715,0.44054588777082715,False,True,False,False,no corrected difference
