alignment,model,evaluation_subset,nominal_coverage,observation_count,empirical_coverage,coverage_error,absolute_coverage_error,average_interval_width,median_interval_width,mean_interval_score,undercoverage_count,overcoverage_count
same_date,zero_change,all_dates,0.8,639,0.7902973395931142,-0.009702660406885832,0.009702660406885832,0.9769170579029741,0.9750000000000014,1.5550860719874806,57,77
same_date,zero_change,all_dates,0.95,639,0.9702660406885759,0.02026604068857596,0.02026604068857596,2.0344992175273866,2.044999999999999,2.554374021909233,11,8
same_date,background_arx,all_dates,0.8,639,0.7887323943661971,-0.011267605633802913,0.011267605633802913,0.9785433278394551,0.9767515278032683,1.5696049272329278,58,77
same_date,background_arx,all_dates,0.95,639,0.9640062597809077,0.014006259780907748,0.014006259780907748,2.068065055961118,2.0727770141593034,2.5786292150397867,15,8
same_date,event_nonparametric,all_dates,0.8,639,0.7762128325508607,-0.023787167449139335,0.023787167449139335,0.9684561518923389,0.9711181001748524,1.6050038207737194,66,77
same_date,event_nonparametric,all_dates,0.95,639,0.9608763693270735,0.010876369327073587,0.010876369327073587,2.0235642521127915,2.0277216861820007,2.6382349643446528,16,9
same_date,event_parametric,all_dates,0.8,639,0.7918622848200313,-0.008137715179968752,0.008137715179968752,0.9758222656317458,0.974410455670419,1.583410258371741,55,78
same_date,event_parametric,all_dates,0.95,639,0.9624413145539906,0.012441314553990668,0.012441314553990668,2.023308373963224,2.0275548403887584,2.6045318252052394,15,9
same_date,zero_change,non_event,0.8,288,0.7708333333333334,-0.029166666666666674,0.029166666666666674,0.9771440972222228,0.9750000000000014,1.5938975694444446,28,38
same_date,zero_change,non_event,0.95,288,0.9618055555555556,0.011805555555555625,0.011805555555555625,2.0336631944444448,2.044999999999999,2.568732638888888,5,6
same_date,background_arx,non_event,0.8,288,0.7708333333333334,-0.029166666666666674,0.029166666666666674,0.978863855205695,0.9782303541866167,1.6077453441162268,28,38
same_date,background_arx,non_event,0.95,288,0.9548611111111112,0.004861111111111205,0.004861111111111205,2.0674451721294975,2.0729097291577396,2.6006308770013575,7,6
same_date,event_nonparametric,non_event,0.8,288,0.7743055555555556,-0.025694444444444464,0.025694444444444464,0.9681760837179267,0.9707340166047567,1.6038207286331678,29,36
same_date,event_nonparametric,non_event,0.95,288,0.9513888888888888,0.001388888888888884,0.001388888888888884,2.0235323510136345,2.0273768205704337,2.5921828352440386,8,6
same_date,event_parametric,non_event,0.8,288,0.7777777777777778,-0.022222222222222254,0.022222222222222254,0.9757302407214361,0.9743790712249412,1.602688742182278,29,35
same_date,event_parametric,non_event,0.95,288,0.9513888888888888,0.001388888888888884,0.001388888888888884,2.0228401289828475,2.025573572295578,2.604858838643951,8,6
same_date,zero_change,any_event_window,0.8,351,0.8062678062678063,0.0062678062678062085,0.0062678062678062085,0.9767307692307698,0.9750000000000014,1.5232407407407411,29,39
same_date,zero_change,any_event_window,0.95,351,0.9772079772079773,0.027207977207977296,0.027207977207977296,2.0351851851851857,2.044999999999999,2.5425925925925923,6,2
