comparison_type,alignment,target_bank,sample,outcome,correlation_age_range,kernel_correlation,mean_absolute_difference,age_0_comparison,cumulative_plus_5_comparison,cumulative_plus_10_comparison,half_life_comparison,stable,classification
same-date versus next-observation,same_date minus next_observation,BoJ,all_events,atm_1m_div,-5 to +10,0.3346961533498617,0.07264066272444561,-0.15195848936145062,-0.22511511936363507,-0.16757918144292674,-2.225743021538821,True,weight profile alignment-stable
same-date versus next-observation,same_date minus next_observation,BoJ,common_comparison_period,atm_1m_div,-5 to +10,0.12427953162103064,0.09470269673198126,-0.2566826324882049,-0.14984631186917316,0.027782864716637934,1.3348089164232855,False,weight profile alignment-sensitive
same-date versus next-observation,same_date minus next_observation,BoJ,post_window_clean,atm_1m_div,-5 to +10,0.39713992584217944,0.07759658394236618,-0.14040768636644735,-0.2882039226660961,-0.22936455550656695,0.42135520276907085,False,weight profile alignment-sensitive
same-date versus next-observation,same_date minus next_observation,BoJ,strict_full_window_clean,atm_1m_div,-5 to +10,0.2966603845494312,0.08005826691254797,-0.03337749342264948,-0.20213046319783876,-0.06716001014620451,0.487790246247466,False,weight profile alignment-sensitive
same-date versus next-observation,same_date minus next_observation,FOMC,all_events,atm_1m_div,-5 to +10,-0.11145948488876108,0.1661880765403526,-0.4537393351139202,-0.649928676483911,-0.4931363224564206,,False,weight profile alignment-sensitive
same-date versus next-observation,same_date minus next_observation,FOMC,common_comparison_period,atm_1m_div,-5 to +10,-0.11145948488876108,0.1661880765403526,-0.4537393351139202,-0.649928676483911,-0.4931363224564206,,False,weight profile alignment-sensitive
same-date versus next-observation,same_date minus next_observation,FOMC,post_window_clean,atm_1m_div,-5 to +10,0.05497531099302064,0.1737599736612138,-0.6341901970389823,-0.9099671218208698,-0.6951156749821257,-1.0040822277283081,False,weight profile alignment-sensitive
all events versus post-window clean,same_date,BoJ,all_events,atm_1m_div,-5 to +10,0.9655597678152822,0.023110094364901534,0.03604193242483686,0.0884760236112922,0.005327698270210651,-0.09301510976285865,True,descriptive comparison
all events versus strict clean,same_date,BoJ,all_events,atm_1m_div,-5 to +10,0.8693806756453163,0.04444698617821373,-0.06855743005562942,-0.013270475438471652,-0.15889787071114947,-0.15927243481653397,True,descriptive comparison
early versus late,same_date,BoJ,early_events,atm_1m_div,0 to +10,0.7643643231189761,0.05586628239812223,-0.04286918292350783,-0.1615473478802329,0.03201241228092319,0.4397819628007533,True,time-stable
raw IV versus log IV,same_date,BoJ,all_events,atm_1m_div,0 to +10,0.9810129383748915,0.0681930961001557,-0.21307630494448762,-0.3120286440818335,-0.17155606569441323,0.07092891189347178,True,descriptive comparison
all events versus post-window clean,same_date,FOMC,all_events,atm_1m_div,-5 to +10,0.90711054664117,0.062346163890142484,0.14983465683541214,0.2071341868831752,0.26539370479747726,-1.7559301304875445,True,descriptive comparison
early versus late,same_date,FOMC,early_events,atm_1m_div,0 to +10,0.4670557873897843,0.16835057386058797,-0.35032445769994114,-0.1912144934024128,-0.11725243141801327,-2.4152107155616034,True,time-stable
raw IV versus log IV,same_date,FOMC,all_events,atm_1m_div,0 to +10,0.9929870798801809,0.11231174595260583,-0.2250228704938676,-0.42560652894367784,-0.09461450013458786,-0.004425768420799118,True,descriptive comparison
all events versus post-window clean,next_observation,BoJ,all_events,atm_1m_div,-5 to +10,0.9614300103158129,0.022019951792862546,0.047592735419840146,0.025387220308831143,-0.05645767579342956,2.5540831145450333,False,descriptive comparison
all events versus strict clean,next_observation,BoJ,all_events,atm_1m_div,-5 to +10,0.8629551963665832,0.039727289913348854,0.050023565883171736,0.009714180727324662,-0.05847869941442725,2.5542608329697534,False,descriptive comparison
early versus late,next_observation,BoJ,early_events,atm_1m_div,0 to +10,0.5551100933251418,0.05343574906381165,-0.15353460375992972,-0.05834630519974668,0.08114857530486602,-171.20961877295179,False,time-sensitive
raw IV versus log IV,next_observation,BoJ,all_events,atm_1m_div,0 to +10,0.9561943226784286,0.04804246805186821,-0.08016997961022286,-0.1151448196380773,-0.02792800692530107,,False,descriptive comparison
all events versus post-window clean,next_observation,FOMC,all_events,atm_1m_div,-5 to +10,0.9033365762605698,0.06772864770808701,-0.03061620508964996,-0.05290425845378366,0.06341435227177211,,True,descriptive comparison
early versus late,next_observation,FOMC,early_events,atm_1m_div,0 to +10,0.4935332101938277,0.13787268424500326,0.3183619151297863,0.25228957782279027,0.23208383977109792,-1.952064390547551,True,time-stable
raw IV versus log IV,next_observation,FOMC,all_events,atm_1m_div,0 to +10,0.9911999784854079,0.10432130102977638,0.18644605875373377,0.16117926708925626,0.3504774584464056,,True,descriptive comparison
common-period BoJ versus FOMC,same_date,BoJ versus FOMC,common_comparison_period,atm_1m_div,0 to +10,0.2015943081557121,0.13705473739655474,0.008989701989532445,0.35729389316368315,0.044192313018531174,2.2079606529139797,True,descriptive comparison
common-period BoJ versus FOMC,next_observation,BoJ versus FOMC,common_comparison_period,atm_1m_div,0 to +10,-0.21371277701217323,0.15457748838564075,-0.1880670006361829,-0.14278847145105464,-0.47672687415452736,,False,descriptive comparison
