alignment,context,window,source_channel,target_channel,pair,method,lag_type,block_length,surrogate_draws,context_coverage,lag_zero_mi,positive_peak,positive_peak_lag,negative_peak,negative_peak_lag,overall_peak,overall_peak_lag,lag_asymmetry,p_value,source_bins,target_bins,effective_sample_size,lag_values,lag_sample_sizes,fallback_windows,seed,peak_lag,statistic,observation_count,selected_ar_order,incremental_r2,chronology_preserved,bh_q_value,bh_supported_5pct
not_applicable,full_sample,full_sample,ATM,RR,ATM-RR,tdmi_nonzero_peak,nonzero_signed_unordered,5.0,999.0,1.0,,0.012158546698607484,1.0,0.009249892370519451,-1.0,0.012158546698607484,1.0,0.0029086543280880325,0.001,4.0,4.0,5876.0,"[0.005234113736921573, 0.003947996545108523, 0.004841467501990701, 0.007544079231040172, 0.009249892370519451, 0.012158546698607484, 0.006485670043204351, 0.006386007581091329, 0.0061069248574057555, 0.005429008893542898]","[5872, 5873, 5874, 5875, 5876, 5876, 5875, 5874, 5873, 5872]",0.0,51815.0,,,,,,,0.001,True
not_applicable,full_sample,full_sample,ATM,RR,ATM-RR,tdmi_contemporaneous,zero_contemporaneous_unordered,5.0,999.0,1.0,0.08231772318983177,,,,,,,,0.001,4.0,4.0,5877.0,,,0.0,51816.0,,,,,,,0.001,True
not_applicable,full_sample,full_sample,ATM,BF,ATM-BF,tdmi_nonzero_peak,nonzero_signed_unordered,5.0,999.0,1.0,,0.008394960156966901,1.0,0.006734185331654942,-1.0,0.008394960156966901,1.0,0.0016607748253119588,0.001,4.0,4.0,5876.0,"[0.006068461008140726, 0.004956220466070844, 0.006283754568596958, 0.004591800413525961, 0.006734185331654942, 0.008394960156966901, 0.008129095755310164, 0.005109038913533144, 0.0037697376533296642, 0.005275047521579824]","[5872, 5873, 5874, 5875, 5876, 5876, 5875, 5874, 5873, 5872]",0.0,51826.0,,,,,,,0.001,True
not_applicable,full_sample,full_sample,ATM,BF,ATM-BF,tdmi_contemporaneous,zero_contemporaneous_unordered,5.0,999.0,1.0,0.058371511543868874,,,,,,,,0.001,4.0,4.0,5877.0,,,0.0,51827.0,,,,,,,0.001,True
not_applicable,full_sample,full_sample,RR,BF,RR-BF,tdmi_nonzero_peak,nonzero_signed_unordered,5.0,999.0,1.0,,0.008617737025734743,1.0,0.009717967276531042,-1.0,0.009717967276531042,-1.0,-0.0011002302507962993,0.001,4.0,4.0,5876.0,"[0.0046019878786073545, 0.004097188594168508, 0.004726726043008209, 0.006690019262154591, 0.009717967276531042, 0.008617737025734743, 0.007884254078406256, 0.005403453524998705, 0.00525331485273801, 0.0048546501568405495]","[5872, 5873, 5874, 5875, 5876, 5876, 5875, 5874, 5873, 5872]",0.0,51837.0,,,,,,,0.001,True
not_applicable,full_sample,full_sample,RR,BF,RR-BF,tdmi_contemporaneous,zero_contemporaneous_unordered,5.0,999.0,1.0,0.05382958791419347,,,,,,,,0.001,4.0,4.0,5877.0,,,0.0,51838.0,,,,,,,0.001,True
same_date,actual_event_windows,main_-5_to_+5,ATM,RR,ATM-RR,correlation,nonzero_directional,,,0.20313031643416127,,0.04698235879725526,,0.19583519730825033,,,,,,,,,,,,,-4.0,0.19583519730825033,1194.0,,,,,False
same_date,actual_event_windows,main_-5_to_+5,ATM,RR,ATM-RR,granger_interaction,interaction_source_lags,,,0.20313031643416127,,,,,,,,,0.08006388432336525,,,,,,,,,3.063604419434215,5876.0,1.0,0.0016141366132853552,True,0.4803833059401915,False
same_date,actual_event_windows,main_-5_to_+5,ATM,BF,ATM-BF,correlation,nonzero_directional,,,0.20313031643416127,,0.07751211069712459,,0.2253243704337864,,,,,,,,,,,,,-5.0,0.2253243704337864,1194.0,,,,,False
same_date,actual_event_windows,main_-5_to_+5,ATM,BF,ATM-BF,granger_interaction,interaction_source_lags,,,0.20313031643416127,,,,,,,,,0.7813954862822883,,,,,,,,,0.07700677014888471,5876.0,1.0,4.173184525846363e-05,True,0.937674583538746,False
