alignment,bank,sample,channel,estimand,event_count,actual_native_estimate,placebo_mean,actual_minus_placebo,placebo_lower,placebo_upper,empirical_p_value,bh_q_value,bh_significant_5pct
same_date,BoJ,all_complete,ATM,pre_5_to_1,98,-0.054464285714285646,0.15802524463238754,-0.21248953034667317,0.06128571428571435,0.25453954081632657,0.001,0.0015,True
same_date,BoJ,all_complete,ATM,immediate_0,98,-0.27584183673469403,-0.0008985516128372208,-0.27494328512185684,-0.04957015306122437,0.052020408163265315,0.001,0.0015,True
same_date,BoJ,all_complete,ATM,short_0_to_2,98,-0.20058673469387758,0.09551191497620079,-0.2960986496700784,0.005093112244898047,0.18160204081632658,0.001,0.0012000000000000001,True
same_date,BoJ,all_complete,ATM,medium_0_to_5,98,-0.3404081632653061,0.05494456190884769,-0.39535272517415376,-0.06758928571428569,0.17562117346938777,0.001,0.0012000000000000001,True
same_date,BoJ,all_complete,ATM,selected_0_to_10,98,-0.11903061224489796,0.39920627259912994,-0.5182368848440279,0.11298724489795937,0.7527538265306121,0.003,0.0030000000000000005,True
same_date,BoJ,all_complete,ATM,full_minus20_to_plus10,98,-0.31987244897959183,0.7495553972339687,-1.0694278462135605,0.4192767857142859,1.1339668367346938,0.001,0.003,True
same_date,BoJ,all_complete,RR,pre_5_to_1,98,0.00040816326530614377,0.008516807623950476,-0.008108644358644333,-0.04846045918367348,0.06691581632653061,0.76,0.809,False
same_date,BoJ,all_complete,RR,immediate_0,98,0.035127551020408154,-0.01972388204531061,0.05485143306571877,-0.04260586734693877,0.0015994897959183572,0.001,0.0015,True
same_date,BoJ,all_complete,RR,short_0_to_2,98,-0.012959183673469382,-0.0828405190905191,0.06988133541704972,-0.11903316326530612,-0.046233418367346964,0.001,0.0012000000000000001,True
same_date,BoJ,all_complete,RR,medium_0_to_5,98,-0.021122448979591823,-0.16723882045310617,0.14611637147351436,-0.21989413265306124,-0.11315816326530612,0.001,0.0012000000000000001,True
same_date,BoJ,all_complete,RR,selected_0_to_10,98,-0.014005102040816337,-0.30032231210802635,0.28631721006721,-0.4791288265306123,-0.1519732142857143,0.001,0.0015,True
same_date,BoJ,all_complete,RR,full_minus20_to_plus10,98,-0.009974489795918383,-0.2221958948744663,0.21222140507854792,-0.4076135204081632,-0.06326785714285717,0.023,0.0345,True
same_date,BoJ,all_complete,BF,pre_5_to_1,98,0.007372448979591836,-0.00699944842801986,0.014371897407611696,-0.012121173469387759,-0.001428571428571434,0.001,0.0015,True
same_date,BoJ,all_complete,BF,immediate_0,98,-0.002525510204081634,0.004661396089967519,-0.007186906294049153,0.0007142857142857134,0.008980867346938776,0.001,0.0015,True
same_date,BoJ,all_complete,BF,short_0_to_2,98,-0.003443877551020409,0.008091663091663091,-0.0115355406426835,0.003720663265306121,0.012704081632653063,0.001,0.0012000000000000001,True
same_date,BoJ,all_complete,BF,medium_0_to_5,98,0.002066326530612247,0.020501624073052643,-0.018435297542440394,0.012262755102040813,0.02949107142857142,0.001,0.0012000000000000001,True
same_date,BoJ,all_complete,BF,selected_0_to_10,98,0.0009438775510204093,0.02915221343792772,-0.028208335886907313,0.01744642857142857,0.042119897959183646,0.001,0.0015,True
same_date,BoJ,all_complete,BF,full_minus20_to_plus10,98,0.00038265306122449016,0.005017696267696267,-0.004635043206471777,-0.008121173469387757,0.018483418367346925,0.481,0.5772,False
same_date,BoJ,common_period,ATM,pre_5_to_1,38,-0.010460526315789379,0.13097426373742171,-0.14143479005321108,0.025986842105263166,0.24248355263157884,0.01,0.015,True
same_date,BoJ,common_period,ATM,immediate_0,38,-0.3433552631578949,-0.030232140034771413,-0.31312312312312346,-0.10666447368421032,0.052042763157894745,0.001,0.0015,True
