seed,case_name,parameter,setting,parameter_value,event_age,profile_method,event_weight,volatility_multiplier
20260721,benchmark,benchmark,benchmark,,0,truth,1.0099999999999998,1.004987562112089
20260721,benchmark,benchmark,benchmark,,1,truth,1.008703247258334,1.0043421962948356
20260721,benchmark,benchmark,benchmark,,2,truth,1.0075746512839696,1.0037801807587006
20260721,benchmark,benchmark,benchmark,,3,truth,1.0065924063020046,1.003290788506505
20260721,benchmark,benchmark,benchmark,,4,truth,1.0057375342073742,1.0028646639539027
20260721,benchmark,benchmark,benchmark,,5,truth,1.004993517885993,1.002493649798338
20260721,benchmark,benchmark,benchmark,,6,truth,1.0043459820850709,1.0021706352139195
20260721,benchmark,benchmark,benchmark,,7,truth,1.0037824156666662,1.0018894228739348
20260721,benchmark,benchmark,benchmark,,8,truth,1.003291929878079,1.001644612563797
20260721,benchmark,benchmark,benchmark,,9,truth,1.0028650479686019,1.0014314993890505
20260721,benchmark,benchmark,benchmark,,10,truth,1.0024935220877726,1.0012459848048194
20260721,benchmark,benchmark,benchmark,,11,truth,1.0021701739274003,1.0010844988947738
20260721,benchmark,benchmark,benchmark,,12,truth,1.0018887560283753,1.000943932509896
20260721,benchmark,benchmark,benchmark,,0,parametric,1.0084056611700276,1.0041940356176329
20260721,benchmark,benchmark,benchmark,,1,parametric,1.0072841843513392,1.0036354838044235
20260721,benchmark,benchmark,benchmark,,2,parametric,1.0063123341032933,1.0031512020145783
20260721,benchmark,benchmark,benchmark,,3,parametric,1.0054701473644434,1.002731343563391
20260721,benchmark,benchmark,benchmark,,4,parametric,1.0047403245295774,1.002367360067943
20260721,benchmark,benchmark,benchmark,,5,parametric,1.0041078740934428,1.0020518320393625
20260721,benchmark,benchmark,benchmark,,6,parametric,1.0035598047058363,1.0017783211398799
20260721,benchmark,benchmark,benchmark,,7,parametric,1.0030848583124592,1.0015412414436358
20260721,benchmark,benchmark,benchmark,,8,parametric,1.0026732788999202,1.0013357473394826
20260721,benchmark,benchmark,benchmark,,9,parametric,1.002316612094596,1.001157635986759
20260721,benchmark,benchmark,benchmark,,10,parametric,1.0020075314988606,1.0010032624816267
20260721,benchmark,benchmark,benchmark,,11,parametric,1.0017396881973977,1.000869466113038
20260721,benchmark,benchmark,benchmark,,12,parametric,1.001507580342267,1.0007535062852726
20260721,benchmark,benchmark,benchmark,,0,nonparametric,1.0080311935990822,1.0040075665048955
20260721,benchmark,benchmark,benchmark,,1,nonparametric,1.0053462846777994,1.0026695790128468
20260721,benchmark,benchmark,benchmark,,2,nonparametric,1.0064863002700841,1.0032379081105758
20260721,benchmark,benchmark,benchmark,,3,nonparametric,1.0097603939294366,1.004868346565577
20260721,benchmark,benchmark,benchmark,,4,nonparametric,1.004793940459781,1.0023941043620423
20260721,benchmark,benchmark,benchmark,,5,nonparametric,1.0033877947835494,1.0016924651725945
20260721,benchmark,benchmark,benchmark,,6,nonparametric,1.0036157368607341,1.0018062371839846
20260721,benchmark,benchmark,benchmark,,7,nonparametric,1.0014363064704992,1.0007178955482405
20260721,benchmark,benchmark,benchmark,,8,nonparametric,1.0035457624786825,1.0017713124654162
20260721,benchmark,benchmark,benchmark,,9,nonparametric,1.004391735044691,1.0021934618848254
20260721,benchmark,benchmark,benchmark,,10,nonparametric,1.0001589366012908,1.000079465143291
20260721,benchmark,benchmark,benchmark,,11,nonparametric,1.0002735712832431,1.000136776287745
20260721,benchmark,benchmark,benchmark,,12,nonparametric,1.0011326963475597,1.0005661878894168
20260721,kappa_low,kappa,low,0.75,0,truth,1.0099999999999998,1.004987562112089
20260721,kappa_low,kappa,low,0.75,1,truth,1.008703247258334,1.0043421962948356
20260721,kappa_low,kappa,low,0.75,2,truth,1.0075746512839696,1.0037801807587006
20260721,kappa_low,kappa,low,0.75,3,truth,1.0065924063020046,1.003290788506505
20260721,kappa_low,kappa,low,0.75,4,truth,1.0057375342073742,1.0028646639539027
20260721,kappa_low,kappa,low,0.75,5,truth,1.004993517885993,1.002493649798338
20260721,kappa_low,kappa,low,0.75,6,truth,1.0043459820850709,1.0021706352139195
20260721,kappa_low,kappa,low,0.75,7,truth,1.0037824156666662,1.0018894228739348
20260721,kappa_low,kappa,low,0.75,8,truth,1.003291929878079,1.001644612563797
20260721,kappa_low,kappa,low,0.75,9,truth,1.0028650479686019,1.0014314993890505
20260721,kappa_low,kappa,low,0.75,10,truth,1.0024935220877726,1.0012459848048194
20260721,kappa_low,kappa,low,0.75,11,truth,1.0021701739274003,1.0010844988947738
20260721,kappa_low,kappa,low,0.75,12,truth,1.0018887560283753,1.000943932509896
20260721,kappa_low,kappa,low,0.75,0,parametric,1.0084512307410542,1.0042167249857246
20260721,kappa_low,kappa,low,0.75,1,parametric,1.0073234729440745,1.0036550567521068
20260721,kappa_low,kappa,low,0.75,2,parametric,1.0063462065592477,1.0031680848986613
20260721,kappa_low,kappa,low,0.75,3,parametric,1.005499349557265,1.0027459047820964
20260721,kappa_low,kappa,low,0.75,4,parametric,1.0047654997155617,1.0023799178532866
20260721,kappa_low,kappa,low,0.75,5,parametric,1.0041295770167973,1.0020626612227388
20260721,kappa_low,kappa,low,0.75,6,parametric,1.0035785137667672,1.001787659020996
20260721,kappa_low,kappa,low,0.75,7,parametric,1.0031009860639128,1.0015492928777459
20260721,kappa_low,kappa,low,0.75,8,parametric,1.0026871811023568,1.0013426891441095
20260721,kappa_low,kappa,low,0.75,9,parametric,1.0023285955267247,1.0011636207567296
