experiment,seed,case_name,parameter,parameter_value,initial_event_weight,failure_stage,exception_type,failure_message,simulation_valid,first_failed_transition,active_event_id_at_failure,active_event_age_at_failure,active_event_weight_at_failure,maximum_volatility_before_failure,minimum_euler_price_update_factor,nonpositive_price_transition
common_weight_scalar,20260721,weight_1_10,amplitude,0.1,1.1,simulation,ValueError,S_next is non-positive at transition 365.,False,365,16.0,8.0,1.0329192987807905,7.575368490207168,-0.18233146004130907,True
common_weight_scalar,20260721,weight_1_20,amplitude,0.2,1.2,simulation,ValueError,S_next is non-positive at transition 194.,False,194,8.0,5.0,1.0998703577198552,15.786755142816585,-0.32618390609390646,True
common_weight_scalar,20260721,weight_1_30,amplitude,0.3,1.3,simulation,ValueError,S_next is non-positive at transition 115.,False,115,4.0,10.0,1.0748056626331888,9.756148503148559,-0.04505487501905825,True
common_weight_scalar,20260721,weight_1_40,amplitude,0.4,1.4,simulation,ValueError,S_next is non-positive at transition 95.,False,95,3.0,11.0,1.0868069570960202,12.901142716831647,-0.14137934119343276,True
common_weight_scalar,20260721,weight_1_50,amplitude,0.5,1.5,simulation,ValueError,S_next is non-positive at transition 78.,False,78,,,,10.33126132426414,-0.24823577634902305,True
common_weight_scalar,20260722,weight_1_10,amplitude,0.1,1.1,simulation,ValueError,S_next is non-positive at transition 366.,False,366,16.0,9.0,1.028650479686019,7.617677619859855,-0.21657745954177443,True
common_weight_scalar,20260722,weight_1_20,amplitude,0.2,1.2,simulation,ValueError,S_next is non-positive at transition 181.,False,181,,,,11.913415778165717,-0.3532811193789449,True
common_weight_scalar,20260722,weight_1_30,amplitude,0.3,1.3,simulation,ValueError,S_next is non-positive at transition 124.,False,124,,,,10.56936205482878,-0.6857016244398519,True
common_weight_scalar,20260722,weight_1_40,amplitude,0.4,1.4,simulation,ValueError,S_next is non-positive at transition 95.,False,95,3.0,11.0,1.0868069570960202,12.952889489557297,-0.06856330174662562,True
common_weight_scalar,20260722,weight_1_50,amplitude,0.5,1.5,simulation,ValueError,S_next is non-positive at transition 82.,False,82,,,,10.400849214919207,-0.21489443910577832,True
common_weight_scalar,20260723,weight_1_10,amplitude,0.1,1.1,simulation,ValueError,S_next is non-positive at transition 400.,False,400,18.0,1.0,1.0870324725833391,9.5533636427302,-0.13107649883939776,True
common_weight_scalar,20260723,weight_1_20,amplitude,0.2,1.2,simulation,ValueError,S_next is non-positive at transition 187.,False,187,,,,11.802789121203894,-0.07502177378846686,True
common_weight_scalar,20260723,weight_1_30,amplitude,0.3,1.3,simulation,ValueError,S_next is non-positive at transition 138.,False,138,5.0,12.0,1.0566626808512682,21.933139610330024,-0.808713292997463,True
common_weight_scalar,20260723,weight_1_40,amplitude,0.4,1.4,simulation,ValueError,S_next is non-positive at transition 96.,False,96,3.0,12.0,1.0755502411350248,13.264782279156544,-1.277733876368952,True
common_weight_scalar,20260723,weight_1_50,amplitude,0.5,1.5,simulation,ValueError,S_next is non-positive at transition 78.,False,78,,,,10.27946578172885,-0.1355137715993786,True
common_weight_scalar,20260724,weight_1_10,amplitude,0.1,1.1,simulation,ValueError,S_next is non-positive at transition 369.,False,369,16.0,12.0,1.0188875602837562,8.322587181285366,-0.3909322308700909,True
common_weight_scalar,20260724,weight_1_20,amplitude,0.2,1.2,simulation,ValueError,S_next is non-positive at transition 171.,False,171,7.0,3.0,1.1318481260400883,9.099927349031223,-0.25417991896374237,True
common_weight_scalar,20260724,weight_1_30,amplitude,0.3,1.3,simulation,ValueError,S_next is non-positive at transition 127.,False,127,5.0,1.0,1.2610974177500167,11.725652242961164,-0.740947046881071,True
common_weight_scalar,20260724,weight_1_40,amplitude,0.4,1.4,simulation,ValueError,S_next is non-positive at transition 101.,False,101,,,,14.130216634744324,-0.033011915031117,True
common_weight_scalar,20260724,weight_1_50,amplitude,0.5,1.5,simulation,ValueError,S_next is non-positive at transition 76.,False,76,,,,10.584491615803604,-0.007134156028514527,True
common_weight_scalar,20260725,weight_1_10,amplitude,0.1,1.1,simulation,ValueError,S_next is non-positive at transition 377.,False,377,,,,8.31066581449955,-0.055260212433234646,True
