case_name,parameter,setting,parameter_value,metric,count,successes,rate,ci_95_lower,ci_95_upper
benchmark,benchmark,benchmark,,gc_level_detected_5pct,50,50,1.0,0.9286524008666414,1.0
benchmark,benchmark,benchmark,,gc_change_detected_5pct,50,50,1.0,0.9286524008666414,1.0
benchmark,benchmark,benchmark,,tdmi_change_peak_at_plus_1,50,23,0.46,0.3296965219222435,0.5960112860084253
benchmark,benchmark,benchmark,,tdmi_level_peak_in_direct_window,50,50,1.0,0.9286524008666414,1.0
benchmark,benchmark,benchmark,,parametric_positive_MAE_gain,50,50,1.0,0.9286524008666414,1.0
benchmark,benchmark,benchmark,,nonparametric_positive_MAE_gain,50,49,0.98,0.8950455641036219,0.9964607407283539
decay_fast,decay_rate,fast,70.0,gc_level_detected_5pct,50,50,1.0,0.9286524008666414,1.0
decay_fast,decay_rate,fast,70.0,gc_change_detected_5pct,50,50,1.0,0.9286524008666414,1.0
decay_fast,decay_rate,fast,70.0,tdmi_change_peak_at_plus_1,50,36,0.72,0.5833487630404344,0.8252582933408878
decay_fast,decay_rate,fast,70.0,tdmi_level_peak_in_direct_window,50,50,1.0,0.9286524008666414,1.0
decay_fast,decay_rate,fast,70.0,parametric_positive_MAE_gain,50,49,0.98,0.8950455641036219,0.9964607407283539
decay_fast,decay_rate,fast,70.0,nonparametric_positive_MAE_gain,50,46,0.92,0.8116175308165717,0.968450485911407
decay_slow,decay_rate,slow,17.5,gc_level_detected_5pct,50,50,1.0,0.9286524008666414,1.0
decay_slow,decay_rate,slow,17.5,gc_change_detected_5pct,50,50,1.0,0.9286524008666414,1.0
decay_slow,decay_rate,slow,17.5,tdmi_change_peak_at_plus_1,50,13,0.26,0.15871527493552393,0.39553157264848837
decay_slow,decay_rate,slow,17.5,tdmi_level_peak_in_direct_window,50,50,1.0,0.9286524008666414,1.0
decay_slow,decay_rate,slow,17.5,parametric_positive_MAE_gain,50,50,1.0,0.9286524008666414,1.0
decay_slow,decay_rate,slow,17.5,nonparametric_positive_MAE_gain,50,50,1.0,0.9286524008666414,1.0
kappa_high,kappa,high,3.0,gc_level_detected_5pct,50,50,1.0,0.9286524008666414,1.0
kappa_high,kappa,high,3.0,gc_change_detected_5pct,50,50,1.0,0.9286524008666414,1.0
kappa_high,kappa,high,3.0,tdmi_change_peak_at_plus_1,50,23,0.46,0.3296965219222435,0.5960112860084253
kappa_high,kappa,high,3.0,tdmi_level_peak_in_direct_window,50,50,1.0,0.9286524008666414,1.0
kappa_high,kappa,high,3.0,parametric_positive_MAE_gain,50,50,1.0,0.9286524008666414,1.0
kappa_high,kappa,high,3.0,nonparametric_positive_MAE_gain,50,49,0.98,0.8950455641036219,0.9964607407283539
kappa_low,kappa,low,0.75,gc_level_detected_5pct,50,50,1.0,0.9286524008666414,1.0
kappa_low,kappa,low,0.75,gc_change_detected_5pct,50,50,1.0,0.9286524008666414,1.0
kappa_low,kappa,low,0.75,tdmi_change_peak_at_plus_1,50,26,0.52,0.38511744890044614,0.6520286471342196
kappa_low,kappa,low,0.75,tdmi_level_peak_in_direct_window,50,50,1.0,0.9286524008666414,1.0
kappa_low,kappa,low,0.75,parametric_positive_MAE_gain,50,50,1.0,0.9286524008666414,1.0
kappa_low,kappa,low,0.75,nonparametric_positive_MAE_gain,50,49,0.98,0.8950455641036219,0.9964607407283539
nu_high,nu,high,0.0225,gc_level_detected_5pct,50,49,0.98,0.8950455641036219,0.9964607407283539
nu_high,nu,high,0.0225,gc_change_detected_5pct,50,49,0.98,0.8950455641036219,0.9964607407283539
nu_high,nu,high,0.0225,tdmi_change_peak_at_plus_1,50,13,0.26,0.15871527493552393,0.39553157264848837
nu_high,nu,high,0.0225,tdmi_level_peak_in_direct_window,50,50,1.0,0.9286524008666414,1.0
nu_high,nu,high,0.0225,parametric_positive_MAE_gain,50,48,0.96,0.8653990931249297,0.9889611156723802
nu_high,nu,high,0.0225,nonparametric_positive_MAE_gain,50,46,0.92,0.8116175308165717,0.968450485911407
nu_low,nu,low,0.0075,gc_level_detected_5pct,50,50,1.0,0.9286524008666414,1.0
nu_low,nu,low,0.0075,gc_change_detected_5pct,50,50,1.0,0.9286524008666414,1.0
nu_low,nu,low,0.0075,tdmi_change_peak_at_plus_1,50,42,0.84,0.7148578393696501,0.916625793219666
nu_low,nu,low,0.0075,tdmi_level_peak_in_direct_window,50,50,1.0,0.9286524008666414,1.0
nu_low,nu,low,0.0075,parametric_positive_MAE_gain,50,50,1.0,0.9286524008666414,1.0
nu_low,nu,low,0.0075,nonparametric_positive_MAE_gain,50,50,1.0,0.9286524008666414,1.0
rho_more_negative,rho,more_negative,-0.7,gc_level_detected_5pct,50,50,1.0,0.9286524008666414,1.0
rho_more_negative,rho,more_negative,-0.7,gc_change_detected_5pct,50,50,1.0,0.9286524008666414,1.0
rho_more_negative,rho,more_negative,-0.7,tdmi_change_peak_at_plus_1,50,23,0.46,0.3296965219222435,0.5960112860084253
rho_more_negative,rho,more_negative,-0.7,tdmi_level_peak_in_direct_window,50,50,1.0,0.9286524008666414,1.0
rho_more_negative,rho,more_negative,-0.7,parametric_positive_MAE_gain,50,50,1.0,0.9286524008666414,1.0
rho_more_negative,rho,more_negative,-0.7,nonparametric_positive_MAE_gain,50,50,1.0,0.9286524008666414,1.0
rho_near_zero,rho,near_zero,-0.05,gc_level_detected_5pct,50,50,1.0,0.9286524008666414,1.0
rho_near_zero,rho,near_zero,-0.05,gc_change_detected_5pct,50,50,1.0,0.9286524008666414,1.0
rho_near_zero,rho,near_zero,-0.05,tdmi_change_peak_at_plus_1,50,22,0.44,0.3116219921125717,0.5769397197834315
rho_near_zero,rho,near_zero,-0.05,tdmi_level_peak_in_direct_window,50,50,1.0,0.9286524008666414,1.0
rho_near_zero,rho,near_zero,-0.05,parametric_positive_MAE_gain,50,49,0.98,0.8950455641036219,0.9964607407283539
rho_near_zero,rho,near_zero,-0.05,nonparametric_positive_MAE_gain,50,49,0.98,0.8950455641036219,0.9964607407283539
theta_high,theta,high,0.25,gc_level_detected_5pct,50,50,1.0,0.9286524008666414,1.0
theta_high,theta,high,0.25,gc_change_detected_5pct,50,50,1.0,0.9286524008666414,1.0
theta_high,theta,high,0.25,tdmi_change_peak_at_plus_1,50,30,0.6,0.4618143774758936,0.7239161026974346
theta_high,theta,high,0.25,tdmi_level_peak_in_direct_window,50,50,1.0,0.9286524008666414,1.0
theta_high,theta,high,0.25,parametric_positive_MAE_gain,50,50,1.0,0.9286524008666414,1.0
theta_high,theta,high,0.25,nonparametric_positive_MAE_gain,50,49,0.98,0.8950455641036219,0.9964607407283539
theta_low,theta,low,0.15,gc_level_detected_5pct,50,50,1.0,0.9286524008666414,1.0
theta_low,theta,low,0.15,gc_change_detected_5pct,50,50,1.0,0.9286524008666414,1.0
theta_low,theta,low,0.15,tdmi_change_peak_at_plus_1,50,16,0.32,0.20758216260656845,0.45810297308144077
theta_low,theta,low,0.15,tdmi_level_peak_in_direct_window,50,50,1.0,0.9286524008666414,1.0
theta_low,theta,low,0.15,parametric_positive_MAE_gain,50,45,0.9,0.7863976856252035,0.9565242350681096
theta_low,theta,low,0.15,nonparametric_positive_MAE_gain,50,44,0.88,0.7619518261679701,0.9438239984906773
weight_1_05,amplitude,weight_1_05,0.05,gc_level_detected_5pct,50,50,1.0,0.9286524008666414,1.0
weight_1_05,amplitude,weight_1_05,0.05,gc_change_detected_5pct,50,50,1.0,0.9286524008666414,1.0
