seed,case_name,parameter,setting,parameter_value,metric,case_value,benchmark_value,paired_difference
20260721,decay_fast,decay_rate,fast,70.0,conditional_partial_r_squared,0.0809372710419704,0.1138283984766434,-0.032891127434673
20260721,decay_fast,decay_rate,fast,70.0,parametric_profile_RMSE,0.000469188174075,0.0004696306842779,-4.425102028999682e-07
20260721,decay_fast,decay_rate,fast,70.0,nonparametric_profile_RMSE,0.0009922938470663,0.0009570648767819,3.5228970284399913e-05
20260721,decay_fast,decay_rate,fast,70.0,parametric_active_MAE_gain_pct,17.637296913930957,26.858506982831383,-9.221210068900426
20260721,decay_fast,decay_rate,fast,70.0,nonparametric_active_MAE_gain_pct,18.83345982606753,28.56376748789577,-9.730307661828242
20260721,decay_fast,decay_rate,fast,70.0,parametric_active_RMSE_gain_pct,17.13366940827905,26.55185685895913,-9.41818745068008
20260721,decay_fast,decay_rate,fast,70.0,nonparametric_active_RMSE_gain_pct,15.485433100135824,25.358069103985027,-9.872636003849204
20260721,decay_fast,decay_rate,fast,70.0,parametric_95_state_coverage_error,0.0049450549450549275,0.0049450549450549275,0.0
20260721,decay_fast,decay_rate,fast,70.0,nonparametric_95_state_coverage_error,0.0049450549450549275,0.01593406593406599,-0.010989010989011061
20260721,decay_fast,decay_rate,fast,70.0,parametric_active_95_state_interval_score,0.0042480979251758,0.0040715099517479,0.00017658797342789967
20260721,decay_fast,decay_rate,fast,70.0,nonparametric_active_95_state_interval_score,0.0044209471472469,0.0042391382979573,0.0001818088492895999
20260721,decay_fast,decay_rate,fast,70.0,parametric_known_dgp_active_RMSE_gap,9.55764213032e-05,6.880353583170007e-05,2.6772885471499936e-05
20260721,decay_fast,decay_rate,fast,70.0,nonparametric_known_dgp_active_RMSE_gap,0.00011402837931410005,8.345942388050006e-05,3.056895543359999e-05
20260721,decay_slow,decay_rate,slow,17.5,conditional_partial_r_squared,0.16315658164145,0.1138283984766434,0.0493281831648066
20260721,decay_slow,decay_rate,slow,17.5,parametric_profile_RMSE,0.0004525461879126,0.0004696306842779,-1.7084496365299992e-05
20260721,decay_slow,decay_rate,slow,17.5,nonparametric_profile_RMSE,0.0009188210224995,0.0009570648767819,-3.824385428240001e-05
20260721,decay_slow,decay_rate,slow,17.5,parametric_active_MAE_gain_pct,38.15628528731258,26.858506982831383,11.297778304481195
20260721,decay_slow,decay_rate,slow,17.5,nonparametric_active_MAE_gain_pct,39.54334092411735,28.56376748789577,10.979573436221582
20260721,decay_slow,decay_rate,slow,17.5,parametric_active_RMSE_gain_pct,36.95053121826775,26.55185685895913,10.398674359308618
20260721,decay_slow,decay_rate,slow,17.5,nonparametric_active_RMSE_gain_pct,35.73739761135577,25.358069103985027,10.37932850737074
20260721,decay_slow,decay_rate,slow,17.5,parametric_95_state_coverage_error,0.0049450549450549275,0.0049450549450549275,0.0
20260721,decay_slow,decay_rate,slow,17.5,nonparametric_95_state_coverage_error,0.01593406593406599,0.01593406593406599,0.0
20260721,decay_slow,decay_rate,slow,17.5,parametric_active_95_state_interval_score,0.0040170272451674,0.0040715099517479,-5.44827065805005e-05
20260721,decay_slow,decay_rate,slow,17.5,nonparametric_active_95_state_interval_score,0.0042030488278964,0.0042391382979573,-3.608947006090036e-05
20260721,decay_slow,decay_rate,slow,17.5,parametric_known_dgp_active_RMSE_gap,6.0127301950900036e-05,6.880353583170007e-05,-8.676233880800031e-06
20260721,decay_slow,decay_rate,slow,17.5,nonparametric_known_dgp_active_RMSE_gap,7.732598611470004e-05,8.345942388050006e-05,-6.133437765800027e-06
20260721,kappa_high,kappa,high,3.0,conditional_partial_r_squared,0.1059747357592938,0.1138283984766434,-0.007853662717349608
20260721,kappa_high,kappa,high,3.0,parametric_profile_RMSE,0.0004751367536037,0.0004696306842779,5.506069325799995e-06
20260721,kappa_high,kappa,high,3.0,nonparametric_profile_RMSE,0.0009758147704919,0.0009570648767819,1.8749893709999973e-05
20260721,kappa_high,kappa,high,3.0,parametric_active_MAE_gain_pct,24.97150569510751,26.858506982831383,-1.8870012877238729
20260721,kappa_high,kappa,high,3.0,nonparametric_active_MAE_gain_pct,26.537866795704332,28.56376748789577,-2.0259006921914384
20260721,kappa_high,kappa,high,3.0,parametric_active_RMSE_gain_pct,24.424375724644463,26.55185685895913,-2.1274811343146673
20260721,kappa_high,kappa,high,3.0,nonparametric_active_RMSE_gain_pct,23.37673804041781,25.358069103985027,-1.981331063567218
