seed,case_name,n,state_interpretation,event_age,profile_method,event_weight,state_multiplier,volatility_multiplier
20260721,n1_reference,1,volatility,0,nonparametric,1.0080311935990822,1.0040075665048955,1.0040075665048955
20260721,n1_reference,1,volatility,1,nonparametric,1.0053462846777994,1.0026695790128468,1.0026695790128468
20260721,n1_reference,1,volatility,2,nonparametric,1.006486300270084,1.0032379081105758,1.0032379081105758
20260721,n1_reference,1,volatility,3,nonparametric,1.0097603939294366,1.004868346565577,1.004868346565577
20260721,n1_reference,1,volatility,4,nonparametric,1.004793940459781,1.0023941043620423,1.0023941043620423
20260721,n1_reference,1,volatility,5,nonparametric,1.0033877947835494,1.0016924651725945,1.0016924651725945
20260721,n1_reference,1,volatility,6,nonparametric,1.003615736860734,1.0018062371839846,1.0018062371839846
20260721,n1_reference,1,volatility,7,nonparametric,1.0014363064704992,1.0007178955482405,1.0007178955482405
20260721,n1_reference,1,volatility,8,nonparametric,1.0035457624786823,1.0017713124654162,1.0017713124654162
20260721,n1_reference,1,volatility,9,nonparametric,1.004391735044691,1.0021934618848254,1.0021934618848254
20260721,n1_reference,1,volatility,10,nonparametric,1.0001589366012908,1.000079465143291,1.000079465143291
20260721,n1_reference,1,volatility,11,nonparametric,1.0002735712832431,1.000136776287745,1.000136776287745
20260721,n1_reference,1,volatility,12,nonparametric,1.0011326963475595,1.0005661878894168,1.0005661878894168
20260721,n1_reference,1,volatility,0,parametric,1.0084056611700276,1.0041940356176329,1.0041940356176329
20260721,n1_reference,1,volatility,1,parametric,1.0072841843513392,1.0036354838044235,1.0036354838044235
20260721,n1_reference,1,volatility,2,parametric,1.0063123341032931,1.0031512020145783,1.0031512020145783
20260721,n1_reference,1,volatility,3,parametric,1.0054701473644434,1.002731343563391,1.002731343563391
20260721,n1_reference,1,volatility,4,parametric,1.0047403245295774,1.002367360067943,1.002367360067943
20260721,n1_reference,1,volatility,5,parametric,1.0041078740934428,1.0020518320393625,1.0020518320393625
20260721,n1_reference,1,volatility,6,parametric,1.0035598047058365,1.00177832113988,1.00177832113988
20260721,n1_reference,1,volatility,7,parametric,1.0030848583124592,1.0015412414436358,1.0015412414436358
20260721,n1_reference,1,volatility,8,parametric,1.0026732788999202,1.0013357473394826,1.0013357473394826
20260721,n1_reference,1,volatility,9,parametric,1.002316612094596,1.001157635986759,1.001157635986759
20260721,n1_reference,1,volatility,10,parametric,1.0020075314988606,1.0010032624816267,1.0010032624816267
20260721,n1_reference,1,volatility,11,parametric,1.0017396881973977,1.000869466113038,1.000869466113038
20260721,n1_reference,1,volatility,12,parametric,1.001507580342267,1.0007535062852726,1.0007535062852726
20260721,n1_reference,1,volatility,0,truth,1.0099999999999998,1.004987562112089,1.004987562112089
20260721,n1_reference,1,volatility,1,truth,1.008703247258334,1.0043421962948356,1.0043421962948356
20260721,n1_reference,1,volatility,2,truth,1.0075746512839696,1.0037801807587006,1.0037801807587006
20260721,n1_reference,1,volatility,3,truth,1.0065924063020046,1.003290788506505,1.003290788506505
20260721,n1_reference,1,volatility,4,truth,1.0057375342073742,1.0028646639539027,1.0028646639539027
20260721,n1_reference,1,volatility,5,truth,1.004993517885993,1.002493649798338,1.002493649798338
20260721,n1_reference,1,volatility,6,truth,1.0043459820850709,1.0021706352139195,1.0021706352139195
