seed,case_name,n,state_interpretation,calibration_interpretation,run_success,profile_converged,common_test_rows,failure_stage,exception_type,failure_message,seed_pair_runtime_seconds,theta_state,implied_target_sigma,nu_state,local_sigma_innovation_scale,rho_0,event_amplitude,event_decay_rate,conditional_partial_r_squared,conditional_p_value,gc_forward_level_p_value,gc_forward_level_partial_r_squared,gc_forward_change_p_value,gc_forward_change_partial_r_squared,gc_reverse_level_p_value,gc_reverse_level_partial_r_squared,gc_reverse_change_p_value,gc_reverse_change_partial_r_squared,tdmi_level_direct_peak,tdmi_level_direct_peak_lag,tdmi_change_direct_peak,tdmi_change_direct_peak_lag,A_true,A_hat,A_relative_error,lambda_true,lambda_hat,lambda_relative_error,known_dgp_active_95_state_coverage,known_dgp_active_95_state_interval_score,parametric_profile_MAE,parametric_profile_RMSE,nonparametric_profile_MAE,nonparametric_profile_RMSE,baseline_active_sigma_MAE,baseline_active_sigma_RMSE,parametric_active_sigma_MAE,parametric_active_sigma_RMSE,nonparametric_active_sigma_MAE,nonparametric_active_sigma_RMSE,parametric_active_MAE_gain_pct,parametric_active_RMSE_gain_pct,nonparametric_active_MAE_gain_pct,nonparametric_active_RMSE_gain_pct,parametric_active_95_state_coverage,parametric_active_95_state_interval_score,nonparametric_active_95_state_coverage,nonparametric_active_95_state_interval_score,known_dgp_active_state_MAE,known_dgp_active_state_RMSE
20260721,n1_reference,1,volatility,frozen n=1 volatility-state calibration,True,True,True,,,,0.8565732000861317,0.2,0.2,0.015,0.015,-0.35,0.01,35.0,0.1138283984766434,0.0001185708265249,4.061131806373013e-06,0.1020054772192204,5.836733996141994e-06,0.100397428859345,,,,,0.0109927680218493,8.0,0.0241924772431058,1.0,0.01,0.0084056611700278,-0.1594338829972143,35.0,36.08638917293145,0.0310396906551842,0.956043956043956,0.0035889685755148,0.0004307069059643,0.0004696306842779,0.0008431355735417,0.0009570648767819,0.0010147292385397,0.0012276795425108,0.0007421881151497,0.0009017078276966,0.0007248843382115,0.0009163637157454,26.858506982831383,26.55185685895913,28.56376748789577,25.358069103985027,0.945054945054945,0.0040715099517479,0.934065934065934,0.0042391382979573,0.000673965800038,0.0008329042918649
20260721,n2_benchmark,2,variance,dedicated n=2 variance-state calibration,True,True,True,,,,0.8589721000753343,0.04,0.2,0.002,0.005,-0.25,0.01,35.0,0.6122355468585966,8.57056633963308e-60,2.0883721796605826e-51,0.4536259630371,9.208325933870322e-50,0.4448267613308582,,,,,0.0033227394195909,12.0,0.0719285728984212,1.0,0.01,0.0095026484521507,-0.0497351547849283,35.0,35.10504053053293,0.0030011580152266,0.956043956043956,0.0004958334977811,0.0002546746103108,0.0002824234969223,0.0005045891933349,0.0005833298655081,0.0006774054888903,0.0007860474754819,0.0001934512373793,0.0002336778742921,0.0001888013860696,0.0002389469058236,71.44232803660269,70.27178617310673,72.12874870870407,69.60146641560472,0.934065934065934,0.0005435262583733,0.934065934065934,0.0005777023805405,9.310143139129926e-05,0.0001150457488388
20260722,n1_reference,1,volatility,frozen n=1 volatility-state calibration,True,True,True,,,,0.7523333999561146,0.2,0.2,0.015,0.015,-0.35,0.01,35.0,0.1951696556837014,2.6549231456177967e-10,3.9640256993971246e-10,0.1450103475264741,6.909240832245342e-10,0.14285151990688,,,,,0.0142218330416524,9.0,0.0267667663010418,1.0,0.01,0.0121505111724168,0.215051117241683,35.0,36.65319497043016,0.0472341420122904,0.967032967032967,0.0041392088274831,0.000451150835035,0.0005384434056007,0.0008163665348682,0.0009735172869252,0.0011388755005711,0.0013929811340283,0.0007102913078823,0.0009065690178293,0.0007334608780548,0.0009375035541078,37.632225161915045,34.91878707591104,35.59779996259799,32.69804369878745,0.956043956043956,0.0040599091162605,0.9230769230769232,0.0045386003924691,0.0006913059439219,0.0008907903648393
20260722,n2_benchmark,2,variance,dedicated n=2 variance-state calibration,True,True,True,,,,0.7545447999145836,0.04,0.2,0.002,0.005,-0.25,0.01,35.0,0.6716090813476316,1.9006292547359414e-71,6.745355439871715e-64,0.5205086129700242,8.2482545158168e-60,0.5003846379248826,,,,,0.0039417882845396,1.0,0.0810138532308103,2.0,0.01,0.0107047865593609,0.0704786559360973,35.0,35.91095908498399,0.026027402428114,0.967032967032967,0.0005719594306797,0.0002706720675643,0.000338117946482,0.0004918493484479,0.0005817046765595,0.0007154094430037,0.000832142251172,0.0001839320799856,0.0002342973827279,0.0001949884263103,0.0002447462559949,74.28995636213686,71.84407084269841,72.74449922108613,70.58841133829176,0.967032967032967,0.0005535462066338,0.934065934065934,0.0005975485208926,9.550885806258872e-05,0.0001230787198362
20260723,n1_reference,1,volatility,frozen n=1 volatility-state calibration,True,True,True,,,,1.5204457000363618,0.2,0.2,0.015,0.015,-0.35,0.01,35.0,0.1490607111504482,6.10218389553755e-07,5.658341268526979e-06,0.1003452256632705,5.150474754555816e-06,0.101026399083702,,,,,0.007896621586862,8.0,0.0170327931343163,1.0,0.01,0.0093463532033854,-0.0653646796614575,35.0,50.54084736066857,0.4440242103048163,0.934065934065934,0.0046061505757063,0.0006448555784537,0.000657207378422,0.0009337394212116,0.0011509667550521,0.0007154579413107,0.0009519588249696,0.0006966247771183,0.0009125258732669,0.0007623815588869,0.0009536957329771,2.6323230346572912,4.142295934281071,-6.558543118587545,-0.18245621154509,0.934065934065934,0.0046306335772371,0.9230769230769232,0.0044588896709521,0.0006628399951777,0.000868803290627
20260723,n2_benchmark,2,variance,dedicated n=2 variance-state calibration,True,True,True,,,,1.5232994999969378,0.04,0.2,0.002,0.005,-0.25,0.01,35.0,0.659033948267054,8.29476045138501e-69,2.251236465463049e-57,0.4867270214623642,3.4160585302024874e-55,0.4756229774388813,,,,,0.0049560074395896,9.0,0.0835628474458115,1.0,0.01,0.0097957054058535,-0.0204294594146487,35.0,38.52528547162965,0.1007224420465614,0.934065934065934,0.0006364321734265,0.0003700867083214,0.0003754222970087,0.0005370683728586,0.0006614384281351,0.0005537710588197,0.000660882650205,0.0001826617763835,0.000238784696559,0.0002019691135425,0.0002516907905247,67.01492909852522,63.86882051073308,63.528409380404405,61.91596337917431,0.9230769230769232,0.0006420286821548,0.9230769230769232,0.0006190115566392,9.15825970131314e-05,0.0001200465447503
20260724,n1_reference,1,volatility,frozen n=1 volatility-state calibration,True,True,True,,,,0.851453399984166,0.2,0.2,0.015,0.015,-0.35,0.01,35.0,0.2142330053941972,8.452807156031718e-12,1.596315272837567e-14,0.1873893947045244,4.498150608263662e-15,0.1928191546639268,,,,,0.0079166468320997,1.0,0.0285863641079397,1.0,0.01,0.0107529079298129,0.0752907929812971,35.0,35.95843866072816,0.0273839617350903,0.934065934065934,0.0041761666531326,0.0001445454424205,0.0001801394993732,0.0008067027933049,0.0010113569864462,0.0009310954330926,0.0011621379270493,0.0007164918830396,0.000874160766508,0.0007323066946169,0.000892734540975,23.048502057429467,24.779946840944845,21.3499853409703,23.181705011412102,0.945054945054945,0.0041872238453317,0.945054945054945,0.0039897728981447,0.0007154196423866,0.0008728156049164
20260724,n2_benchmark,2,variance,dedicated n=2 variance-state calibration,True,True,True,,,,0.8541701000649482,0.04,0.2,0.002,0.005,-0.25,0.01,35.0,0.6861885239406569,1.2173432945820038e-74,2.8775241937466925e-70,0.5512614372494932,3.9797911928804497e-69,0.5466940949717594,,,,,0.0061128674398742,1.0,0.0819311943632277,1.0,0.01,0.010162406440053,0.0162406440053065,35.0,35.11509363721448,0.0032883896346993,0.934065934065934,0.0005769724534774,7.096050009257506e-05,8.342640573967646e-05,0.0004852619574153,0.0006096752743386,0.0006847189619152,0.0007870308613181,0.0001866510623351,0.0002282170942866,0.000194233694515,0.0002363177325223,72.74048584648489,71.00277695535601,71.63307790224648,69.97351131485229,0.945054945054945,0.0005823724047868,0.934065934065934,0.0005527752489396,9.884060614970666e-05,0.0001205796341007
20260725,n1_reference,1,volatility,frozen n=1 volatility-state calibration,True,True,True,,,,1.1821796000003817,0.2,0.2,0.015,0.015,-0.35,0.01,35.0,0.2320174589516473,2.995125111769251e-13,1.0920207191754603e-10,0.1506352367913535,6.351286930894687e-11,0.1532858495231331,,,,,0.0131712367960163,5.0,0.0274433941277077,2.0,0.01,0.0119259259108636,0.1925925910863629,35.0,42.55163472737126,0.2157609922106073,0.956043956043956,0.0045803323111548,0.0002606553842517,0.0003739183939653,0.0006822173716684,0.001016057733262,0.0008886111332159,0.0011414095151248,0.0006537912591215,0.0008628479581719,0.0006855983964171,0.0008772378011137,26.425493145076707,24.40504948150852,22.84607171914015,23.14434131751746,0.967032967032967,0.004681980693531,0.956043956043956,0.0045235338358292,0.0006528279120278,0.0008542684408031
20260725,n2_benchmark,2,variance,dedicated n=2 variance-state calibration,True,True,True,,,,1.1859894000226632,0.04,0.2,0.002,0.005,-0.25,0.01,35.0,0.705156500023709,4.963220717287203e-79,5.3928906930201215e-64,0.5209939143162272,4.135370926849019e-60,0.5019495901440154,,,,,0.0039377655957957,2.0,0.0819311943632277,1.0,0.01,0.0105880539102684,0.0588053910268426,35.0,37.716419755159336,0.0776119930045524,0.956043956043956,0.0006326929681371,0.0001715342054062,0.000232433096606,0.0004157525941689,0.0006019337587056,0.0006700331112174,0.000776252420854,0.0001701905436845,0.0002261293616548,0.0001801656355384,0.0002327605009156,74.59968159254713,70.86909417865598,73.11093548628786,70.01484379789692,0.967032967032967,0.0006533744000499,0.956043956043956,0.0006322795287317,9.019019997676704e-05,0.000117999853262
