parameter_family,case_name,parameter_level,parameter_value,metric,count,mean,standard_deviation,monte_carlo_standard_error,ci_95_lower,ci_95_upper,median,q05,q25,q75,q95
amplitude,n2_amplitude_high,high,0.03,conditional_partial_r_squared,50,0.7991043547097355,0.004720200588281631,0.0006675371689069344,0.7977628885452368,0.8004458208742342,0.799102845998146,0.7923818870338014,0.7962023041939577,0.8015419873122982,0.807027746232832
amplitude,n2_amplitude_high,high,0.03,gc_forward_level_partial_r_squared,50,0.7171721326545167,0.005615628871058131,0.0007941698510704322,0.715576188587731,0.7187680767213025,0.7166790182545344,0.7093740801619294,0.7137705748593515,0.7211635420815365,0.727188823833268
amplitude,n2_amplitude_high,high,0.03,gc_forward_change_partial_r_squared,50,0.693257026595796,0.005717025992059433,0.0008085095694409948,0.6916322657860654,0.6948817874055266,0.693565794285825,0.6834783887514024,0.6897742131227558,0.6962655432287221,0.7030836460135249
amplitude,n2_amplitude_high,high,0.03,tdmi_level_direct_peak,50,0.0020568928913743223,0.00015812723787013075,2.236256843765354e-05,0.002011953627603406,0.0021018321551452388,0.0020964415193108,0.0017339124298930853,0.0020964415193108,0.0020964415193108,0.0020964415193108
amplitude,n2_amplitude_high,high,0.03,tdmi_change_direct_peak,50,0.08751886879108463,0.005438182711152635,0.0007690751744774943,0.08597335436496381,0.08906438321720545,0.0881719577262345,0.07936671309784976,0.08334705031326463,0.09050711774611347,0.09557344878943919
amplitude,n2_amplitude_high,high,0.03,A_hat,50,0.03002478394534773,0.0003195800129242577,4.5195438854085427e-05,0.02993396031059537,0.03011560758010009,0.03001102134541645,0.029511558935043695,0.029827576466369975,0.030241516149266175,0.030542507098734517
amplitude,n2_amplitude_high,high,0.03,A_relative_error,50,0.0008261315115926832,0.010652667097474889,0.001506514628469462,-0.0022013229801525046,0.0038535860033378708,0.0003673781805498248,-0.016281368831875264,-0.005747451120998601,0.00805053830887395,0.018083569957817756
amplitude,n2_amplitude_high,high,0.03,lambda_hat,50,34.93922500028174,0.5768767231855086,0.0815826885746296,34.775278449543734,35.10317155101974,34.90418635274764,33.98243437481899,34.59669395189178,35.35965116992639,35.96932622038459
amplitude,n2_amplitude_high,high,0.03,lambda_relative_error,50,-0.0017364285633789222,0.016482192091014498,0.0023309339592751262,-0.006420615727321831,0.0029477586005639865,-0.0027375327786389996,-0.029073303576600235,-0.0115230299459491,0.010275747712182249,0.027695034868130963
amplitude,n2_amplitude_high,high,0.03,parametric_profile_MAE,50,0.00014647581423521953,7.389402448359207e-05,1.0450193160302543e-05,0.0001254753648370582,0.00016747626363338087,0.00014549646748455,3.751915246939354e-05,8.768185331431117e-05,0.000194450249227725,0.000264158578546885
amplitude,n2_amplitude_high,high,0.03,parametric_profile_RMSE,50,0.00016623931455783146,8.17309277064263e-05,1.1558498642776304e-05,0.00014301164190691628,0.00018946698720874664,0.00016179886223289999,4.374818828065547e-05,9.584713121110083e-05,0.00022246395409075,0.0003101003772934449
amplitude,n2_amplitude_high,high,0.03,nonparametric_profile_MAE,50,0.000302285845668468,6.803258658226594e-05,9.621260662796235e-06,0.000282951198490547,0.00032162049284638897,0.0002988474232956,0.0001992237595895,0.00025516410227335,0.000340533113208775,0.00042640602731472497
amplitude,n2_amplitude_high,high,0.03,nonparametric_profile_RMSE,50,0.00037447681908869595,7.667703553781928e-05,1.0843770358014781e-05,0.00035268544670011336,0.00039626819147727855,0.00038060664476195,0.00025899762658958,0.00032382173356432497,0.00041830007073275,0.0004952379798454599
amplitude,n2_amplitude_high,high,0.03,parametric_profile_advantage,50,0.00020823750453086455,6.860886014870684e-05,9.702758052126016e-06,0.00018873908221745577,0.00022773592684427333,0.00021130524145405002,9.849154781668503e-05,0.00016208433978282498,0.00025930142430574996,0.0003201995617609763
amplitude,n2_amplitude_high,high,0.03,baseline_active_sigma_MAE,50,0.0043430730772918095,4.766279017066809e-05,6.740536427990186e-06,0.004329527462201153,0.004356618692382466,0.0043411964471583,0.004271840347293191,0.0043089001188168,0.004374175364749549,0.00441401931339411
amplitude,n2_amplitude_high,high,0.03,baseline_active_sigma_RMSE,50,0.004841058265485118,4.802180077282312e-05,6.791308194250523e-06,0.004827410620710239,0.004854705910259997,0.00484023554348485,0.0047656441228367055,0.0048044984670463494,0.0048705316452648,0.004914801396300865
amplitude,n2_amplitude_high,high,0.03,parametric_active_sigma_MAE,50,9.714728639796568e-05,1.621702518806881e-05,2.2934336962313003e-06,9.253845883402148e-05,0.00010175611396190989,9.304723505240668e-05,8.00312051320725e-05,8.655150197576929e-05,0.0001037491982575,0.000120394083068035
