seed,parameter_family,case_name,parameter_level,parameter_value,metric,benchmark_value,case_value,paired_difference_case_minus_benchmark
20260721,amplitude,n2_amplitude_low,low,0.005,conditional_partial_r_squared,0.6122355468585966,0.2182943495110701,-0.39394119734752653
20260722,amplitude,n2_amplitude_low,low,0.005,conditional_partial_r_squared,0.6716090813476316,0.3097157466884547,-0.36189333465917695
20260723,amplitude,n2_amplitude_low,low,0.005,conditional_partial_r_squared,0.659033948267054,0.2605295616614478,-0.39850438660560616
20260724,amplitude,n2_amplitude_low,low,0.005,conditional_partial_r_squared,0.6861885239406569,0.3281385946412669,-0.35804992929939
20260725,amplitude,n2_amplitude_low,low,0.005,conditional_partial_r_squared,0.705156500023709,0.3488490011705691,-0.3563074988531399
20260726,amplitude,n2_amplitude_low,low,0.005,conditional_partial_r_squared,0.66011636048545,0.2553157359482151,-0.40480062453723487
20260727,amplitude,n2_amplitude_low,low,0.005,conditional_partial_r_squared,0.6724196773329338,0.303673321087902,-0.3687463562450318
20260728,amplitude,n2_amplitude_low,low,0.005,conditional_partial_r_squared,0.6631458652625932,0.2776970092344781,-0.3854488560281151
20260729,amplitude,n2_amplitude_low,low,0.005,conditional_partial_r_squared,0.7026734748600674,0.3507428398687911,-0.35193063499127625
20260730,amplitude,n2_amplitude_low,low,0.005,conditional_partial_r_squared,0.6882965345589103,0.3300207960819857,-0.35827573847692457
20260731,amplitude,n2_amplitude_low,low,0.005,conditional_partial_r_squared,0.7002535096180897,0.3145071784667514,-0.38574633115133833
20260732,amplitude,n2_amplitude_low,low,0.005,conditional_partial_r_squared,0.6067607704356948,0.1962341155626724,-0.41052665487302237
20260733,amplitude,n2_amplitude_low,low,0.005,conditional_partial_r_squared,0.6657070289593678,0.2792202100087852,-0.3864868189505826
20260734,amplitude,n2_amplitude_low,low,0.005,conditional_partial_r_squared,0.6548547328913489,0.2961367627297923,-0.3587179701615566
20260735,amplitude,n2_amplitude_low,low,0.005,conditional_partial_r_squared,0.6352559351082354,0.2666117765435803,-0.3686441585646551
20260736,amplitude,n2_amplitude_low,low,0.005,conditional_partial_r_squared,0.6808233857603927,0.3110339558277929,-0.3697894299325998
20260737,amplitude,n2_amplitude_low,low,0.005,conditional_partial_r_squared,0.6628327756840828,0.2658653630151937,-0.39696741266888913
20260738,amplitude,n2_amplitude_low,low,0.005,conditional_partial_r_squared,0.6871098434433685,0.3062740325853519,-0.38083581085801654
20260739,amplitude,n2_amplitude_low,low,0.005,conditional_partial_r_squared,0.6459302300293486,0.2733533872747002,-0.37257684275464836
20260740,amplitude,n2_amplitude_low,low,0.005,conditional_partial_r_squared,0.5988328811681528,0.213289012511506,-0.3855438686566468
20260741,amplitude,n2_amplitude_low,low,0.005,conditional_partial_r_squared,0.6688857027118797,0.3179095763749637,-0.35097612633691605
20260742,amplitude,n2_amplitude_low,low,0.005,conditional_partial_r_squared,0.673196499037583,0.2899347866141037,-0.38326171242347934
20260743,amplitude,n2_amplitude_low,low,0.005,conditional_partial_r_squared,0.6650553733021791,0.2959214014300316,-0.3691339718721475
20260744,amplitude,n2_amplitude_low,low,0.005,conditional_partial_r_squared,0.6915135214210244,0.304216792580173,-0.3872967288408514
20260745,amplitude,n2_amplitude_low,low,0.005,conditional_partial_r_squared,0.6295686108691272,0.2265962760506889,-0.4029723348184383
20260746,amplitude,n2_amplitude_low,low,0.005,conditional_partial_r_squared,0.6738903425449022,0.3006762712884716,-0.37321407125643064
20260747,amplitude,n2_amplitude_low,low,0.005,conditional_partial_r_squared,0.7148565539458666,0.3784340598714082,-0.33642249407445834
20260748,amplitude,n2_amplitude_low,low,0.005,conditional_partial_r_squared,0.6595985665555784,0.2850225214495372,-0.37457604510604114
20260749,amplitude,n2_amplitude_low,low,0.005,conditional_partial_r_squared,0.6628342151318971,0.2548458129776518,-0.4079884021542453
20260750,amplitude,n2_amplitude_low,low,0.005,conditional_partial_r_squared,0.6859827440862791,0.3379305405929465,-0.3480522034933326
20260751,amplitude,n2_amplitude_low,low,0.005,conditional_partial_r_squared,0.6628762401780439,0.3029461363846439,-0.3599301037934
20260752,amplitude,n2_amplitude_low,low,0.005,conditional_partial_r_squared,0.671624971331022,0.3208853354434827,-0.35073963588753926
20260753,amplitude,n2_amplitude_low,low,0.005,conditional_partial_r_squared,0.6742969145420644,0.3189362731342021,-0.35536064140786233
20260754,amplitude,n2_amplitude_low,low,0.005,conditional_partial_r_squared,0.7166195306462737,0.3711674742406531,-0.3454520564056206
20260755,amplitude,n2_amplitude_low,low,0.005,conditional_partial_r_squared,0.6885002938757263,0.3302097753570687,-0.3582905185186576
20260756,amplitude,n2_amplitude_low,low,0.005,conditional_partial_r_squared,0.6323396692577644,0.2257416868737103,-0.4065979823840541
20260757,amplitude,n2_amplitude_low,low,0.005,conditional_partial_r_squared,0.6608779732875671,0.2638738253046812,-0.39700414798288597
20260758,amplitude,n2_amplitude_low,low,0.005,conditional_partial_r_squared,0.6723239544697366,0.3141276605345689,-0.35819629393516766
20260759,amplitude,n2_amplitude_low,low,0.005,conditional_partial_r_squared,0.6395621298783702,0.2643504155766555,-0.37521171430171474
20260760,amplitude,n2_amplitude_low,low,0.005,conditional_partial_r_squared,0.6810973794221511,0.2879054575208854,-0.3931919219012657
20260761,amplitude,n2_amplitude_low,low,0.005,conditional_partial_r_squared,0.6988342221793538,0.331879839748829,-0.36695438243052475
20260762,amplitude,n2_amplitude_low,low,0.005,conditional_partial_r_squared,0.6717469996390828,0.3201977120478451,-0.3515492875912377
20260763,amplitude,n2_amplitude_low,low,0.005,conditional_partial_r_squared,0.6783187409439735,0.301208976157251,-0.3771097647867225
20260764,amplitude,n2_amplitude_low,low,0.005,conditional_partial_r_squared,0.6786385500460457,0.3072644482095208,-0.37137410183652486
20260765,amplitude,n2_amplitude_low,low,0.005,conditional_partial_r_squared,0.6361564122356237,0.23592305369275,-0.4002333585428737
20260766,amplitude,n2_amplitude_low,low,0.005,conditional_partial_r_squared,0.6780823600333448,0.2907476823233345,-0.3873346777100103
20260767,amplitude,n2_amplitude_low,low,0.005,conditional_partial_r_squared,0.7008423545042629,0.3603736517546539,-0.340468702749609
20260768,amplitude,n2_amplitude_low,low,0.005,conditional_partial_r_squared,0.6872924931384162,0.2982752406850193,-0.3890172524533969
20260769,amplitude,n2_amplitude_low,low,0.005,conditional_partial_r_squared,0.6845696137927535,0.3374671158254529,-0.3471024979673006
20260770,amplitude,n2_amplitude_low,low,0.005,conditional_partial_r_squared,0.689346216297624,0.3335023550734213,-0.35584386122420275
20260721,amplitude,n2_amplitude_low,low,0.005,gc_forward_level_partial_r_squared,0.4536259630371,0.1752234318585159,-0.2784025311785841
20260722,amplitude,n2_amplitude_low,low,0.005,gc_forward_level_partial_r_squared,0.5205086129700242,0.2327721297228831,-0.2877364832471411
20260723,amplitude,n2_amplitude_low,low,0.005,gc_forward_level_partial_r_squared,0.4867270214623642,0.1793809894899409,-0.3073460319724233
20260724,amplitude,n2_amplitude_low,low,0.005,gc_forward_level_partial_r_squared,0.5512614372494932,0.2705479268240696,-0.2807135104254236
20260725,amplitude,n2_amplitude_low,low,0.005,gc_forward_level_partial_r_squared,0.5209939143162272,0.229296280995604,-0.2916976333206232
