parameter_family,case_name,parameter_level,parameter_value,metric,count,mean_difference,standard_deviation,monte_carlo_standard_error,ci_95_lower,ci_95_upper,median_difference,q05,q25,q75,q95
amplitude,n2_amplitude_low,low,0.005,mean_sigma,50,-0.023436223522198176,0.00019587257490609572,2.7700565192914052e-05,-0.02349188989206434,-0.02338055715233201,-0.023437496563502927,-0.023746133529434898,-0.023547442174678877,-0.023330701824837513,-0.023121970307358464
amplitude,n2_amplitude_low,low,0.005,standard_deviation_sigma,50,-0.011742163265301902,0.00012711227722491595,1.7976390639560483e-05,-0.011778288174784124,-0.01170603835581968,-0.01174737791220155,-0.011891468656171657,-0.011825214773392791,-0.011684078705703479,-0.011522009656276307
amplitude,n2_amplitude_low,low,0.005,q05_sigma,50,-0.0016213241249065074,0.0002298978679052386,3.251246827522467e-05,-0.0016866603760503488,-0.001555987873762666,-0.00169776662736576,-0.0018917507580472586,-0.0017130270392105296,-0.0015844764608542034,-0.0011336860527274063
amplitude,n2_amplitude_low,low,0.005,median_sigma,50,-0.025481595929785758,0.0005224173277290676,7.388096700931574e-05,-0.02563006529158284,-0.025333126567988674,-0.025465689715982218,-0.026391042825141677,-0.025721942948644584,-0.025192613622636237,-0.02477543521578747
amplitude,n2_amplitude_low,low,0.005,q95_sigma,50,-0.038314466598198225,0.00050038448863991,7.076505302356865e-05,-0.038456674296408526,-0.038172258899987925,-0.03839053563944335,-0.03892877134479664,-0.038654476945494495,-0.03804469428639654,-0.037334810403973316
amplitude,n2_amplitude_high,high,0.03,mean_sigma,50,0.1772832927371272,0.00142404457728569,0.00020139031546212837,0.17687858374617688,0.17768800172807753,0.1772641672169633,0.17513497389008498,0.17624580748456192,0.17808769058939444,0.17964184057562801
amplitude,n2_amplitude_high,high,0.03,standard_deviation_sigma,50,0.12060877875122276,0.0009624423861465195,0.00013610990754911313,0.12033525565148412,0.12088230185096141,0.12064771538821856,0.11907662000080502,0.12005747363943096,0.12123981797733244,0.12206417048443517
amplitude,n2_amplitude_high,high,0.03,q05_sigma,50,0.006841695794167965,8.046216391679419e-05,1.1379068346901742e-05,0.00681882870019643,0.0068645628881395,0.006836688603315572,0.006768052402457486,0.006817767840735935,0.006879445347931126,0.006921754988134637
amplitude,n2_amplitude_high,high,0.03,median_sigma,50,0.16061896574810045,0.0014893556405659366,0.0002106266946085216,0.16019569555833676,0.16104223593786413,0.16042411007324442,0.1584284365125946,0.1595320298596707,0.16162478016190043,0.16320132722508118
amplitude,n2_amplitude_high,high,0.03,q95_sigma,50,0.3843599465133048,0.0034516598661878213,0.0004881384195461719,0.3833789956330934,0.3853408973935162,0.38472505109496036,0.3784900490950365,0.38221715383620913,0.38672421001595175,0.38968220132348497
innovation_scale,n2_nu_low,low,0.001,mean_sigma,50,-0.00017774755367532425,0.0009644424750078518,0.00013639276282847787,-0.0004518390723790748,9.634396502842629e-05,-0.00023563032210649482,-0.0016270069370601062,-0.0009122517985448789,0.0005565781642565201,0.0012780727257556408
innovation_scale,n2_nu_low,low,0.001,standard_deviation_sigma,50,-0.00011199655970467542,0.0005995564915206562,8.479009217173416e-05,-0.0002823886292868982,5.8395509877547355e-05,-0.00011815976595426318,-0.0010445199571697701,-0.0005801068329512327,0.0003877355012589182,0.0008884557478348111
innovation_scale,n2_nu_low,low,0.001,q05_sigma,50,1.0062619445385668e-05,0.0008582117854449826,0.0001213694746364723,-0.0002338384713274544,0.00025396371021822576,0.00012795823891532943,-0.0014034078673675371,-0.0005194138854849595,0.0005806708323177825,0.0012271051226279937
innovation_scale,n2_nu_low,low,0.001,median_sigma,50,-0.00010518198400805757,0.001285387136048149,0.00018178119206992027,-0.00047048496616760346,0.0002601209981514883,-0.0002951716570882834,-0.0017502191467195117,-0.000992749410634708,0.0007480929200122388,0.002204091469790794
innovation_scale,n2_nu_low,low,0.001,q95_sigma,50,-0.0003557623186768988,0.001503712677229882,0.00021265708620508552,-0.0007831127331146966,7.158809576089908e-05,-0.0001224444791008139,-0.0031807718472568634,-0.0013494444842552106,0.0006144340903884993,0.001894906561166952
innovation_scale,n2_nu_high,high,0.003,mean_sigma,50,0.0001704870608093234,0.0009630877823713132,0.0001362011803585339,-0.00010321945850695968,0.00044419358012560647,0.00023328010284108525,-0.0012892955048664791,-0.0005607330602012059,0.0009067059720936979,0.0016116331608349225
innovation_scale,n2_nu_high,high,0.003,standard_deviation_sigma,50,0.00013480819621809552,0.0005938098842383811,8.397739917611161e-05,-3.39507056447358e-05,0.0003035670980809269,0.00015153032087689665,-0.000855575344683354,-0.00035367563796768857,0.0006455603241829339,0.0010538425460965722
innovation_scale,n2_nu_high,high,0.003,q05_sigma,50,3.897072638965326e-05,0.0008010331816881592,0.00011328319894542663,-0.00018868038499386127,0.0002666218377731678,-0.00011930639227743234,-0.0009946212726612267,-0.0005279675407038886,0.0005926171037031053,0.001393897298520474
innovation_scale,n2_nu_high,high,0.003,median_sigma,50,0.00016244174676864842,0.0013294078473150626,0.00018800666075981823,-0.0002153717831096398,0.0005402552766469366,0.0002785463489116402,-0.002154888855552921,-0.000668368768743724,0.0010161341916298042,0.0019589029720687334
innovation_scale,n2_nu_high,high,0.003,q95_sigma,50,0.00034371642175578534,0.0015039134058007454,0.0002126854735118126,-8.369103911066013e-05,0.0007711238826222308,4.744292266684047e-05,-0.0019307933859907588,-0.0006553646674265085,0.0012801599731289831,0.0029882133695854707
decay,n2_decay_slow,slow,17.5,mean_sigma,50,0.02136755521275706,0.0001790142517191816,2.5316438263933773e-05,0.021316679925329547,0.02141843050018457,0.021370335490616565,0.02109484307346094,0.02126876299060626,0.02147404529344351,0.021647571708076182
decay,n2_decay_slow,slow,17.5,standard_deviation_sigma,50,0.01200217259764496,0.00010368894656437476,1.4663831449951792e-05,0.0119727045250817,0.01203164067020822,0.01200980220680479,0.011815482409156445,0.011933895176830526,0.012073387003720255,0.012136094205600446
decay,n2_decay_slow,slow,17.5,q05_sigma,50,0.00036444385226796106,4.036505782335344e-05,5.708481221976064e-06,0.0003529722297626607,0.00037591547477326144,0.0003663359820947343,0.0003623300777457317,0.00036479375249275775,0.00036942811542950427,0.0003800715542818966
decay,n2_decay_slow,slow,17.5,median_sigma,50,0.022319129189037824,0.00030136946154234737,4.2620077979826455e-05,0.022233480935725046,0.0224047774423506,0.022334468188233106,0.021851932341127086,0.022090360749232027,0.022497363036664185,0.022809351996150504
decay,n2_decay_slow,slow,17.5,q95_sigma,50,0.038581405810338615,0.0004590718705316799,6.492256654098874e-05,0.038450939028286966,0.03871187259239026,0.038577701222458544,0.03774658344544739,0.038254011679476424,0.03888325450145061,0.03925764894208802
decay,n2_decay_fast,fast,70.0,mean_sigma,50,-0.01809657270528361,0.00015226515265210597,2.153354439574179e-05,-0.018139845982868916,-0.018053299427698306,-0.018099591608564614,-0.018329301741719935,-0.018186711164696022,-0.018012869785610564,-0.01785795559742197
decay,n2_decay_fast,fast,70.0,standard_deviation_sigma,50,-0.009290214725226778,9.339492017408825e-05,1.3208036276694818e-05,-0.009316757267859528,-0.009263672182594027,-0.009294397935506418,-0.009404006149587932,-0.009352916069046587,-0.009248080941596109,-0.009130440257926649
decay,n2_decay_fast,fast,70.0,q05_sigma,50,-0.0006337237986923594,0.00013889996037260994,1.9643420777203043e-05,-0.0006731987306587367,-0.0005942488667259821,-0.0005803193958814901,-0.0009188838820507167,-0.0006732822556848247,-0.0005725828958630802,-0.0005135400030509954
decay,n2_decay_fast,fast,70.0,median_sigma,50,-0.01958249363724567,0.00038905362929829115,5.502049190441179e-05,-0.019693061455311446,-0.01947192581917989,-0.019601505267690764,-0.02030449849611224,-0.019745626257751704,-0.01936052107676288,-0.01892079279634495
decay,n2_decay_fast,fast,70.0,q95_sigma,50,-0.03011496368378901,0.0003795744985029441,5.3679940371382955e-05,-0.030222837562689914,-0.030007089804888105,-0.030162250795728554,-0.030566862985566018,-0.030370627637140053,-0.029919756098777263,-0.029382117258359115
