seed,case_name,parameter_family,parameter_level,varied_parameter,parameter_value,simulation_success,failure_stage,exception_type,failure_message,minimum_price,maximum_price,minimum_sigma,maximum_sigma,mean_sigma,standard_deviation_sigma,q05_sigma,median_sigma,q95_sigma,minimum_state,maximum_state,minimum_F,all_finite,all_prices_positive,all_states_positive,all_transition_quantities_positive,state_identity_max_absolute_error,transition_identity_max_absolute_error
20260721,n2_benchmark,benchmark,benchmark,none,benchmark,True,,,,80.12760605983094,125.37340010253087,0.19798042814303793,0.26879114980556656,0.23978514330074716,0.020051851196322686,0.20208183103032695,0.24360339523122923,0.2664206881113885,0.0391962499277006,0.07224868221379852,0.0391962499277006,True,True,True,True,1.3877787807814457e-17,0.0
20260721,n2_amplitude_low,amplitude,low,events.amplitude,0.005,True,,,,82.06443984496309,121.44852917617267,0.19798042814303793,0.22957982067055158,0.21666740240825527,0.008471201956160425,0.20031844819127714,0.2182643310054043,0.22831057501101365,0.0391962499277006,0.05270689405912262,0.0391962499277006,True,True,True,True,6.938893903907228e-18,0.0
20260721,n2_amplitude_high,amplitude,high,events.amplitude,0.03,True,,,,67.56064049894944,165.6554061984392,0.19798042814303793,0.6731268507497828,0.41504533208260813,0.1390792758609316,0.20887780369958162,0.40270060120793694,0.6448335295807003,0.0391962499277006,0.4530997572003204,0.0391962499277006,True,True,True,True,5.551115123125783e-17,0.0
20260721,n2_nu_low,innovation_scale,low,model.nu_0,0.001,True,,,,80.01592271758177,125.40267863106858,0.19899277615996588,0.26887365334006413,0.24100050580165197,0.020166842050785904,0.20273205270991396,0.24521433334552245,0.26668817533005623,0.03959812496385029,0.07229304146043297,0.03959812496385029,True,True,True,True,1.3877787807814457e-17,0.0
20260721,n2_nu_high,innovation_scale,high,model.nu_0,0.003,True,,,,80.23934962464978,125.34286686411164,0.1969628769376374,0.2687086209394179,0.23856155058331172,0.019960625405434872,0.2013912319657421,0.2418992343773322,0.266178249956371,0.03879437489155089,0.07220432296716378,0.03879437489155089,True,True,True,True,1.3877787807814457e-17,0.0
20260721,n2_decay_slow,decay,slow,events.decay_rate,17.5,True,,,,78.46257920534477,129.38196939117793,0.19798042814303793,0.30847754930506693,0.2608781046386855,0.0318810425847167,0.202446143868566,0.2655116507744738,0.3041760381083593,0.0391962499277006,0.09515839842526001,0.0391962499277006,True,True,True,True,1.3877787807814457e-17,0.0
20260721,n2_decay_fast,decay,fast,events.decay_rate,70.0,True,,,,81.59322944173846,122.2673493803529,0.19798042814303793,0.23833402209591176,0.22193166214305152,0.010890437863936026,0.20145445914759466,0.22426141791375728,0.2364174751263383,0.0391962499277006,0.05680310608841455,0.0391962499277006,True,True,True,True,6.938893903907228e-18,0.0
20260722,n2_benchmark,benchmark,benchmark,none,benchmark,True,,,,55.65192436502261,100.92717951336007,0.19896134396222734,0.268672192462143,0.2386561724254675,0.019475936077020275,0.20246082052951792,0.2409390843592582,0.2652355003158562,0.03958561639125573,0.07218474700241483,0.03958561639125573,True,True,True,True,1.3877787807814457e-17,0.0
20260722,n2_amplitude_low,amplitude,low,events.amplitude,0.005,True,,,,58.74733566710825,100.92717951336007,0.19896134396222734,0.22992012778189438,0.21560339157828048,0.008019985892887868,0.2007741429444245,0.21575903263810095,0.22716704693407352,0.03958561639125573,0.052863265159242646,0.03958561639125573,True,True,True,True,6.938893903907228e-18,0.0
20260722,n2_amplitude_high,amplitude,high,events.amplitude,0.03,True,,,,36.67071897899585,100.92717951336007,0.19896134396222734,0.6706553130160199,0.4136030485676011,0.13812065340662638,0.20928166485372363,0.40004176372127376,0.6420299181709893,0.03958561639125573,0.44977854887661556,0.03958561639125573,True,True,True,True,5.551115123125783e-17,0.0
