case_label,n,event_amplitude,event_decay_rate,event_period,response_horizon,event_period_steps,response_horizon_steps,training_count,testing_count,active_testing_count,event_free_testing_count,gc_level_F,gc_level_p_value,gc_level_partial_r_squared,gc_change_F,gc_change_p_value,gc_change_partial_r_squared,conditional_event_history_partial_r_squared,direct_tdmi_level_peak,direct_tdmi_level_lag,direct_tdmi_change_peak,direct_tdmi_change_lag,A_hat,lambda_hat,profile_converged,active_sigma_unaware_MAE,active_sigma_unaware_RMSE,active_sigma_parametric_MAE,active_sigma_parametric_RMSE,active_sigma_nonparametric_MAE,active_sigma_nonparametric_RMSE,active_sigma_parametric_MAE_gain_pct,active_sigma_parametric_RMSE_gain_pct,active_sigma_nonparametric_MAE_gain_pct,active_sigma_nonparametric_RMSE_gain_pct,active_state_unaware_MAE,active_state_unaware_RMSE,active_state_parametric_MAE,active_state_parametric_RMSE,active_state_nonparametric_MAE,active_state_nonparametric_RMSE,active_state_parametric_MAE_gain_pct,active_state_parametric_RMSE_gain_pct,active_state_nonparametric_MAE_gain_pct,active_state_nonparametric_RMSE_gain_pct,active_95_state_unaware_coverage,active_95_state_unaware_width,active_95_state_unaware_interval_score,active_95_sigma_unaware_coverage_valid,active_95_state_parametric_coverage,active_95_state_parametric_width,active_95_state_parametric_interval_score,active_95_sigma_parametric_coverage_valid,active_95_state_nonparametric_coverage,active_95_state_nonparametric_width,active_95_state_nonparametric_interval_score,active_95_sigma_nonparametric_coverage_valid,parametric_profile_MAE,parametric_profile_RMSE,nonparametric_profile_MAE,nonparametric_profile_RMSE,known_dgp_active_state_MAE,known_dgp_active_state_RMSE,known_dgp_active_95_state_coverage,known_dgp_active_sigma_MAE,known_dgp_active_sigma_RMSE,known_dgp_active_transformed_variance_sigma_MAE,known_dgp_active_transformed_variance_sigma_RMSE,market_seed,case_name,schedule_type,calendar_seed,number_of_events,minimum_gap_steps,mean_gap_steps,standard_deviation_gap_steps,train_event_count,test_event_count,split_i,paired_shock_group,pipeline_success
dense_periodic,1,0.01,35.0,0.08333333333333333,0.047619047619047616,21,12,345,147,91,56,4.755583193374944,9.184278146307206e-08,0.12031892668423902,4.768474363776984,8.662664422430993e-08,0.12084084793351699,0.15214764548807036,0.013854442076994895,2.0,0.03418481995425665,1.0,0.009304152767968636,33.37410084705194,True,0.0010751487823540578,0.0013088339611959268,0.0007615897298469027,0.0009335893544937504,0.0008057529529726681,0.0009980630863266962,29.16424755842739,28.670145933507296,25.056609262165807,23.744102314190297,0.0010751487823540578,0.0013088339611959268,0.0007615897298469027,0.0009335893544937504,0.0008057529529726681,0.0009980630863266962,29.16424755842739,28.670145933507296,25.056609262165807,23.744102314190297,0.8461538461538461,0.003761892396338617,0.0066058936573438745,0.8461538461538461,0.967032967032967,0.0037707921061429996,0.004252368759851925,0.967032967032967,0.9560439560439561,0.003770809032097774,0.004480829405315398,0.9560439560439561,0.00010960459773191343,0.00015362967664653255,0.000690895309310888,0.0009628211016479568,0.0007204577716026512,0.0008985814135022415,0.9230769230769231,0.0007204577716026512,0.0008985814135022415,,,20261001,dense_periodic,dense periodic,not applicable,23,21,21.0,0.0,16,7,345,20261001,True
sparse_periodic,1,0.01,35.0,0.16666666666666666,0.047619047619047616,42,12,345,147,52,95,3.8664806921941985,5.970637338766153e-06,0.10007530716898036,4.1326441490145225,1.7326457922392104e-06,0.10644299485301775,0.0934820162904918,0.014120869444480766,13.0,0.021014679981012595,4.0,0.00703833603651068,24.143880687504343,True,0.0010791842780917304,0.0012615008654406098,0.0008037686608573519,0.0009820471994166993,0.0008614918990260342,0.0010556141300838847,25.52072179196149,22.152475172999942,20.171937590735766,16.320776386056156,0.0010791842780917304,0.0012615008654406098,0.0008037686608573519,0.0009820471994166993,0.0008614918990260342,0.0010556141300838847,25.52072179196149,22.152475172999942,20.171937590735766,16.320776386056156,0.8076923076923077,0.003529921082906118,0.0059523091868021885,0.8076923076923077,0.9615384615384616,0.0035373613073225174,0.004219171676030662,0.9615384615384616,0.9615384615384616,0.0035373478769207705,0.00461409910121914,0.9615384615384616,0.00043880339500136965,0.0006278142322179727,0.0012851022050329132,0.0015057701798871538,0.0007223698584096627,0.0009140782689747434,0.9230769230769231,0.0007223698584096627,0.0009140782689747434,,,20261001,sparse_periodic,sparse periodic,not applicable,12,42,42.0,0.0,8,4,345,20261001,True
sparse_irregular,1,0.01,35.0,0.16666666666666666,0.047619047619047616,42,12,352,140,52,88,4.062490373430075,2.39983430189668e-06,0.10461782928717499,4.1834791677139656,1.3659279429095154e-06,0.1076114338927013,0.10910584039161435,0.018272880727779287,9.0,0.02386656252404932,1.0,0.01129158383170508,53.995473607496564,True,0.0009959295267312057,0.0011950572556029475,0.0008138217635195541,0.0010093945865893574,0.0008492271414515764,0.0010323559713272053,18.285205762435563,15.535880657024826,14.730197402734834,13.61451792480468,0.0009959295267312057,0.0011950572556029475,0.0008138217635195541,0.0010093945865893574,0.0008492271414515764,0.0010323559713272053,18.285205762435563,15.535880657024826,14.730197402734834,13.61451792480468,0.8076923076923077,0.0034921303374575996,0.005421998063901289,0.8076923076923077,0.8846153846153846,0.00349949641770654,0.004485653398721564,0.8846153846153846,0.9038461538461539,0.003499322838403297,0.004641695271384505,0.9038461538461539,0.0004955188953941374,0.000522919372481224,0.0011239766496295646,0.001314439553354118,0.0007696642360157188,0.0009896017130458967,0.9230769230769231,0.0007696642360157188,0.0009896017130458967,,,20261001,sparse_irregular,sparse irregular,20260726,12,21,42.0,16.834488409215172,8,4,352,20261001,True
dense_periodic,1,0.01,35.0,0.08333333333333333,0.047619047619047616,21,12,345,147,91,56,4.881274132097607,5.057569233626121e-08,0.12310748991077977,4.736736795343241,1.0069139107932559e-07,0.12013318752440914,0.1237153347598803,0.007598997623446901,10.0,0.03201483399189849,2.0,0.007481500664818434,26.46726703387817,True,0.0009850315527347954,0.0012239428847664279,0.0007269291457641054,0.0009321362426976487,0.0007736685443315636,0.0009590746243722308,26.202450698569656,23.841524445355656,21.45748608929464,21.640573566857533,0.0009850315527347954,0.0012239428847664279,0.0007269291457641054,0.0009321362426976487,0.0007736685443315636,0.0009590746243722308,26.202450698569656,23.841524445355656,21.45748608929464,21.640573566857533,0.9010989010989011,0.0038600601857454713,0.006394714516347643,0.9010989010989011,0.945054945054945,0.0038683465249870273,0.0045490792410489015,0.945054945054945,0.9560439560439561,0.0038683849462789956,0.004533025625340606,0.9560439560439561,0.00037282896530946085,0.000536101151030178,0.0007741726834509841,0.0009799233452398074,0.0007007204840784668,0.0008956771288384662,0.945054945054945,0.0007007204840784668,0.0008956771288384662,,,20261002,dense_periodic,dense periodic,not applicable,23,21,21.0,0.0,16,7,345,20261002,True
sparse_periodic,1,0.01,35.0,0.16666666666666666,0.047619047619047616,42,12,345,147,52,95,4.833012176872835,6.360456892298142e-08,0.1220388497553103,4.902757860494666,4.579720730347703e-08,0.12382244585392967,0.09335782683978969,0.012049565992970768,1.0,0.030038312536846735,1.0,0.008788460699069455,35.28608257647738,True,0.0009178602133556921,0.0011875237294099138,0.000709888257181369,0.0009567588171504318,0.0007291373793639643,0.0009184085867828626,22.658347442033545,19.432446404599446,20.561173830790437,22.66187495560832,0.0009178602133556921,0.0011875237294099138,0.000709888257181369,0.0009567588171504318,0.0007291373793639643,0.0009184085867828626,22.658347442033545,19.432446404599446,20.561173830790437,22.66187495560832,0.8846153846153846,0.003705668151675723,0.007087186360805081,0.8846153846153846,0.9230769230769231,0.003713690833756833,0.005022297754797941,0.9230769230769231,0.9423076923076923,0.003713908201894711,0.004598382401935026,0.9423076923076923,0.00030961088755487864,0.0003430776150474237,0.0009760301442676999,0.001209216208073146,0.0007093716011207801,0.000943002143531314,0.9230769230769231,0.0007093716011207801,0.000943002143531314,,,20261002,sparse_periodic,sparse periodic,not applicable,12,42,42.0,0.0,8,4,345,20261002,True
sparse_irregular,1,0.01,35.0,0.16666666666666666,0.047619047619047616,42,12,352,140,52,88,4.650462417054559,1.511273054770305e-07,0.11797307490644095,4.688486292081196,1.2655054895659098e-07,0.1190551489119234,0.12761107681220912,0.015049097756312168,3.0,0.03106364580853779,1.0,0.01072811575953558,31.339898946000307,True,0.0009493048180167768,0.0012219002217479962,0.0007159486889313099,0.0009319371157904551,0.0007841314656579026,0.00098298779897412,24.581791291545187,23.730506042689214,17.399401037902994,19.552531255956296,0.0009493048180167768,0.0012219002217479962,0.0007159486889313099,0.0009319371157904551,0.0007841314656579026,0.00098298779897412,24.581791291545187,23.730506042689214,17.399401037902994,19.552531255956296,0.8846153846153846,0.0035680849640639667,0.00730232807099003,0.8846153846153846,0.9615384615384616,0.0035781578522766965,0.004671699276333226,0.9615384615384616,0.9615384615384616,0.0035783110558391716,0.004601850022308442,0.9615384615384616,0.00034846492474174606,0.0003512059400177879,0.0008640152822295774,0.001090458816821678,0.0007055611825305813,0.0009201004164561072,0.9615384615384616,0.0007055611825305813,0.0009201004164561072,,,20261002,sparse_irregular,sparse irregular,20260726,12,21,42.0,16.834488409215172,8,4,352,20261002,True
dense_periodic,1,0.01,35.0,0.08333333333333333,0.047619047619047616,21,12,345,147,91,56,7.350205810346359,3.8110010785635054e-13,0.17450864511113443,7.39328191201788,3.125050865042087e-13,0.1756725278539996,0.15326911283205263,0.008588558710536631,4.0,0.033264649052525956,1.0,0.009194505511204742,27.374202929955867,True,0.0012195458765850305,0.001432104446731366,0.0007737971308653726,0.0009452236084759174,0.000807006700305271,0.0009682267222944109,36.55038767117499,33.99757883349257,33.82727818611882,32.39133329246406,0.0012195458765850305,0.001432104446731366,0.0007737971308653726,0.0009452236084759174,0.000807006700305271,0.0009682267222944109,36.55038767117499,33.99757883349257,33.82727818611882,32.39133329246406,0.7032967032967034,0.003310444641251272,0.009271860123286423,0.7032967032967034,0.9230769230769231,0.003319034077268233,0.004015887718733859,0.9230769230769231,0.9230769230769231,0.0033190084520593986,0.004033143042833673,0.9230769230769231,0.0002300513224828314,0.0002516600184937046,0.0007005251344877147,0.000832796859790702,0.0006661240495236556,0.0008446559746848846,0.978021978021978,0.0006661240495236556,0.0008446559746848846,,,20261003,dense_periodic,dense periodic,not applicable,23,21,21.0,0.0,16,7,345,20261003,True
sparse_periodic,1,0.01,35.0,0.16666666666666666,0.047619047619047616,42,12,345,147,52,95,4.192930869073236,1.3042045212171118e-06,0.10761545799222631,4.227589935003728,1.1109267707535336e-06,0.10862284314019066,0.08691394843674212,0.018244626208424847,7.0,0.021025114420246932,7.0,0.009506434405934424,53.16830547861547,True,0.000943072717039938,0.0011462813422162227,0.0007498068814861216,0.0009280426984187499,0.0007611474169787341,0.0009728315224997872,20.49320609766212,19.038837653549322,19.29069697109047,15.131522544115327,0.000943072717039938,0.0011462813422162227,0.0007498068814861216,0.0009280426984187499,0.0007611474169787341,0.0009728315224997872,20.49320609766212,19.038837653549322,19.29069697109047,15.131522544115327,0.8269230769230769,0.0033869354448708977,0.005541132631336109,0.8269230769230769,0.9230769230769231,0.0033930181742340203,0.003868044375685472,0.9230769230769231,0.8846153846153846,0.003392744871624511,0.004626927485128038,0.8846153846153846,0.0006786477716059011,0.0006976202600360307,0.0010448694462079462,0.0013483562328920583,0.0007191286062168417,0.0009068484270288313,0.9615384615384616,0.0007191286062168417,0.0009068484270288313,,,20261003,sparse_periodic,sparse periodic,not applicable,12,42,42.0,0.0,8,4,345,20261003,True
sparse_irregular,1,0.01,35.0,0.16666666666666666,0.047619047619047616,42,12,352,140,52,88,4.330333508249167,6.844039324348449e-07,0.11075145179413921,4.334494435264531,6.725862986624788e-07,0.1110645556122118,0.1601674309212536,0.012968679553466277,11.0,0.03355014089836757,1.0,0.013051087814067986,46.425302794477254,True,0.0008655377741379494,0.0010986073740976649,0.0007338599374856597,0.0009289165404334464,0.0007854997212321695,0.0009621931429637596,15.213413046407698,15.445994416667109,9.247205066872489,12.417013971524483,0.0008655377741379494,0.0010986073740976649,0.0007338599374856597,0.0009289165404334464,0.0007854997212321695,0.0009621931429637596,15.213413046407698,15.445994416667109,9.247205066872489,12.417013971524483,0.8269230769230769,0.0033831303544301083,0.006206713158953533,0.8269230769230769,0.9230769230769231,0.0033922855349444556,0.004383151460306967,0.9230769230769231,0.9230769230769231,0.003392464160926427,0.004398605960250459,0.9230769230769231,0.000402733811312907,0.0005864135806771869,0.001275373517309083,0.001536853962564551,0.0007306206193436604,0.0009338923495290304,0.9615384615384616,0.0007306206193436604,0.0009338923495290304,,,20261003,sparse_irregular,sparse irregular,20260726,12,21,42.0,16.834488409215172,8,4,352,20261003,True
dense_periodic,1,0.01,35.0,0.08333333333333333,0.047619047619047616,21,12,345,147,91,56,6.693115115833551,8.77907916401956e-12,0.16142634896701694,6.61481480465164,1.283596652628565e-11,0.16013739047396885,0.18154415860727544,0.011711968959198873,12.0,0.027717117087292464,1.0,0.01052035662363294,34.7683011055917,True,0.0009835793575149459,0.0012474550520285982,0.0007557173639441121,0.0009508822537806823,0.0007774804292729854,0.0009639132634795336,23.166609977108156,23.77422719685429,20.953970482125406,22.72961964344703,0.0009835793575149459,0.0012474550520285982,0.0007557173639441121,0.0009508822537806823,0.0007774804292729854,0.0009639132634795336,23.166609977108156,23.77422719685429,20.953970482125406,22.72961964344703,0.8461538461538461,0.0033855236564785396,0.007606830090918463,0.8461538461538461,0.9230769230769231,0.0033943704141893936,0.0047058493794322745,0.9230769230769231,0.9340659340659341,0.0033943806839290716,0.0047012588469162115,0.9340659340659341,0.00013852679702523846,0.00015161753388186368,0.0006236315874566736,0.0008672916275429046,0.0007484745132210876,0.0009478163128496678,0.945054945054945,0.0007484745132210876,0.0009478163128496678,,,20261004,dense_periodic,dense periodic,not applicable,23,21,21.0,0.0,16,7,345,20261004,True
