contrast_name,reference_case,comparison_case,scientific_role,metric,favourable_direction,units,count,mean,standard_deviation,monte_carlo_standard_error,ci_95_lower,ci_95_upper,median,q05,q25,q75,q95,q05_q95_width,fraction_above_zero,fraction_below_zero,fraction_equal_zero,interval_excludes_zero
Sparse irregular minus sparse periodic,sparse_periodic,sparse_irregular,regularity,active_sigma_nonparametric_MAE_gain_pct,context dependent,percent,50,-3.6178090469266637,9.84365299350294,1.3921027566706374,-6.4153442742713285,-0.8202738195819994,-2.800297329760571,-17.132071509703366,-10.790447118776438,1.6461538745256683,14.456975983208302,31.589047492911668,0.34,0.66,0.0,True
Sparse irregular minus sparse periodic,sparse_periodic,sparse_irregular,regularity,active_sigma_parametric_MAE_gain_pct,context dependent,percent,50,-0.6993557765456718,6.947327694305919,0.9825005047537634,-2.6737644613658134,1.27505290827447,-0.2824672099476295,-14.740213906457491,-3.9577979003440538,4.354326873227938,8.624204032566748,23.36441793902424,0.48,0.52,0.0,False
Sparse irregular minus sparse periodic,sparse_periodic,sparse_irregular,regularity,nonparametric_absolute_coverage_error,context dependent,native,50,0.00046153846153846657,0.0428968539604074,0.006066531265394615,-0.011729612544668864,0.012652689467745797,0.0,-0.05596153846153844,-0.022115384615384648,0.019230769230769162,0.07692307692307698,0.13288461538461543,0.34,0.44,0.22,False
Sparse irregular minus sparse periodic,sparse_periodic,sparse_irregular,regularity,nonparametric_profile_RMSE,context dependent,native,50,0.00011094986166972952,0.0006053081754793166,8.560350311781628e-05,-6.107681840734973e-05,0.00028297654174680876,0.00010178052485234745,-0.0008354372430672331,-0.0003543012748287019,0.0005120436631705504,0.0010484278666350634,0.0018838651097022965,0.6,0.4,0.0,False
Sparse irregular minus sparse periodic,sparse_periodic,sparse_irregular,regularity,parametric_absolute_coverage_error,context dependent,native,50,-0.0016923076923076952,0.025012495367836104,0.0035373010177988033,-0.008800780223948226,0.005416164839332836,0.0,-0.03461538461538449,-0.019230769230769273,0.0,0.04692307692307687,0.08153846153846137,0.22,0.48,0.3,False
Sparse irregular minus sparse periodic,sparse_periodic,sparse_irregular,regularity,parametric_profile_RMSE,context dependent,native,50,2.891179072594149e-05,0.00039812306862268583,5.630310431397967e-05,-8.423353347693651e-05,0.00014205711492881948,6.664265871039228e-05,-0.0005757996030276396,-0.00019998257952711295,0.00027198073902421564,0.0005288770463247114,0.0011046766493523512,0.56,0.44,0.0,False
Sparse periodic minus dense periodic,dense_periodic,sparse_periodic,frequency/spacing,active_sigma_nonparametric_MAE_gain_pct,context dependent,percent,50,-5.323761725641147,9.749727189256262,1.378819642048392,-8.094603534768998,-2.5529199165132965,-5.460103672349914,-20.20108437893714,-11.476586390675491,1.3758964834845657,9.680853546013841,29.881937924950982,0.3,0.7,0.0,True
Sparse periodic minus dense periodic,dense_periodic,sparse_periodic,frequency/spacing,active_sigma_parametric_MAE_gain_pct,context dependent,percent,50,-5.385694051047773,6.877969505084002,0.972691775567836,-7.340391356588168,-3.430996745507378,-4.176237698672219,-16.121047881382292,-11.045610333264277,-0.7368459684725857,5.636556388379993,21.757604269762286,0.24,0.76,0.0,True
Sparse periodic minus dense periodic,dense_periodic,sparse_periodic,frequency/spacing,nonparametric_absolute_coverage_error,context dependent,native,50,0.00421978021978022,0.034734244188093885,0.004912163920958122,-0.005651582756496894,0.014091143196057334,0.0,-0.04071428571428568,-0.019230769230769162,0.027472527472527486,0.06497252747252744,0.10568681318681311,0.48,0.48,0.04,False
Sparse periodic minus dense periodic,dense_periodic,sparse_periodic,frequency/spacing,nonparametric_profile_RMSE,context dependent,native,50,0.00027022319653554727,0.0005552208035744508,7.852007905266765e-05,0.00011243119005387603,0.0004280152030172185,0.0002764627500923422,-0.0005668328125133745,-1.6834407190159e-05,0.0005231862634142528,0.001128392320204837,0.0016952251327182115,0.74,0.26,0.0,True
Sparse periodic minus dense periodic,dense_periodic,sparse_periodic,frequency/spacing,parametric_absolute_coverage_error,context dependent,native,50,0.002703296703296687,0.0170562241297102,0.00241211434871114,-0.0021440285609973437,0.007550621967590718,0.0027472527472527375,-0.02711538461538469,-0.008241758241758212,0.013049450549450503,0.026236263736263695,0.053351648351648386,0.54,0.4,0.06,False
Sparse periodic minus dense periodic,dense_periodic,sparse_periodic,frequency/spacing,parametric_profile_RMSE,context dependent,native,50,0.00020679995588749055,0.00032465868604524825,4.591367169474187e-05,0.00011453297820405559,0.0002990669335709255,0.0002479636801841366,-0.00028366225164485774,-1.396391040793652e-05,0.00042162302354026906,0.0007038384690180173,0.000987500720662875,0.74,0.26,0.0,True
